cohort,method,output_tokens,status,seconds,min_seconds,max_seconds,repeats,devices,peak_allocated_bytes
published,AttnLRP,10,ok,2.5338366826375327,2.4910621643066406,2.5911078453063965,3,8,34470887424.0
published,AttnLRP,100,ok,18.87550163269043,18.133955240249634,19.926230669021606,3,8,35618029568.0
published,AttnLRP,500,ok,95.62905716896057,95.62905716896057,95.62905716896057,1,6,49868177408.0
published,AttnLRP,1000,ok,292.3284115791321,292.3284115791321,292.3284115791321,1,6,74732011520.0
published,AttnLRP,2000,ok,1152.6435787677765,1152.6435787677765,1152.6435787677765,1,6,97731477504.0
published,AttnLRP,5000,ok,9832.780079841614,9832.780079841614,9832.780079841614,1,6,353867137024.0
published,CLP,10,ok,1.1640970706939697,1.000605583190918,1.4300734996795654,3,8,34682699776.0
published,CLP,100,ok,15.155133565266928,14.664300203323364,16.100517511367798,3,8,53380907008.0
published,CLP,500,ok,284.7837414741516,284.7837414741516,284.7837414741516,1,6,74165780480.0
published,CLP,1000,ok,1411.3073930740356,1411.3073930740356,1411.3073930740356,1,6,153243090944.0
published,CLP,2000,ok,12165.333572149277,12165.333572149277,12165.333572149277,1,6,428917915648.0
published,IFR,10,ok,0.6073726018269857,0.6019012928009033,0.6101698875427246,3,8,34594619392.0
published,IFR,100,ok,3.8386150201161704,3.7293355464935303,3.924586534500122,3,8,52407828480.0
published,IFR,500,ok,34.9071147441864,34.9071147441864,34.9071147441864,1,6,61060677632.0
published,IFR,1000,ok,111.18362951278687,111.18362951278687,111.18362951278687,1,6,117906079744.0
published,IFR,2000,ok,391.56280994415283,391.56280994415283,391.56280994415283,1,6,135891255296.0
published,IFR,5000,ok,2294.8040568828583,2294.8040568828583,2294.8040568828583,1,6,166868287488.0
published,IG,10,ok,7.7783645788828535,7.0641632080078125,9.000084400177002,3,8,39602618368.0
published,IG,100,ok,107.80812223752339,106.98123669624329,109.22926640510559,3,8,61356376064.0
published,IG,500,ok,1154.050291776657,1154.050291776657,1154.050291776657,1,6,183844732928.0
published,IG,1000,ok,4334.202370405197,4334.202370405197,4334.202370405197,1,6,407411621888.0
published,IG × Attention,10,ok,8.558468500773111,8.501598119735718,8.618671894073486,3,8,39550189568.0
published,IG × Attention,100,ok,118.45725242296855,117.44098258018494,120.33685398101807,3,8,60924362752.0
published,IG × Attention,500,ok,1213.1849825382233,1213.1849825382233,1213.1849825382233,1,6,251949744128.0
published,IG × Attention,1000,ok,4510.529144287109,4510.529144287109,4510.529144287109,1,6,462963081216.0
published,Perturbation,10,ok,1.285354455312093,1.083836317062378,1.4368832111358643,3,8,33233567744.0
published,Perturbation,100,ok,20.17747934659322,18.08539366722107,23.916614770889282,3,8,34670116864.0
published,Perturbation,500,ok,344.15932059288025,344.15932059288025,344.15932059288025,1,6,60156805120.0
published,Perturbation,1000,ok,1507.4076030254364,1507.4076030254364,1507.4076030254364,1,6,82556485632.0
published,Perturbation,2000,ok,12187.562428236008,12187.562428236008,12187.562428236008,1,6,429089882112.0
published,REAGENT,10,ok,1.5782148838043213,1.3501899242401123,1.848527193069458,3,8,33285996544.0
published,REAGENT,100,ok,25.60586937268575,25.470690965652466,25.809046983718872,3,8,34590425088.0
published,REAGENT,500,ok,465.3287510871887,465.3287510871887,465.3287510871887,1,6,61060677632.0
published,REAGENT,1000,ok,2173.440418243408,2173.440418243408,2173.440418243408,1,6,117906079744.0
published,REAGENT,2000,ok,16030.955978631973,16030.955978631973,16030.955978631973,1,6,429085687808.0
measured,DeltaTrace,10,ok,0.28100663982331753,0.27553861401975155,0.28859300352633,3,1,16521750016
measured,DeltaTrace,100,ok,0.3143687956035137,0.3130931109189987,0.316820465028286,3,1,16810880512
measured,DeltaTrace,500,ok,0.5165040642023087,0.5161190964281559,0.5169502645730972,3,1,18165898240
measured,DeltaTrace,1000,ok,0.868376461789012,0.8663907404989004,0.8702596016228199,3,1,19861326336
measured,DeltaTrace,2000,ok,1.6910531651228666,1.6892565302550793,1.6944057121872902,3,1,23265340416
measured,DeltaTrace,5000,ok,5.148847563192248,5.142940495163202,5.151978189125657,3,1,33429794816
measured,DeltaTrace,10000,ok,14.330144379287958,14.32906410843134,14.331037599593401,3,1,50381014016
measured,FlashTrace,10,ok,0.17986118234694004,0.179093761369586,0.18222934938967228,3,1,16580428288
measured,FlashTrace,100,ok,0.25482720509171486,0.25407340191304684,0.25781948305666447,3,1,16843050496
measured,FlashTrace,500,ok,1.4730758499354124,1.4630575440824032,1.483081515878439,3,1,17851092480
measured,FlashTrace,1000,ok,5.193435367196798,5.0110491048544645,5.244976054877043,3,1,20159742464
measured,FlashTrace,2000,ok,19.091107808053493,18.92874307744205,19.13863413967192,3,1,28585815552
measured,FlashTrace,5000,oom,,,,0,1,
measured,FlashTrace,10000,oom,,,,0,1,
