series,method,output_tokens,status,seconds,min_seconds,max_seconds,repeats,devices,actual_formatted_prompt_tokens,actual_generation_tokens,actual_total_tokens,peak_allocated_gb,peak_reserved_gb,source,source_sha256
same_C550_measured,DeltaTrace,10,ok,0.0818479855855306,0.07964539527893066,0.0850522518157959,3,1,27,11,38,16.524218368,16.708009984,memory_v4_rollout/deltatrace_streamed_10/results.json,503c1e0019656a688c47cfa3b29dd90330bd9271b34b838309a46caa0b87c91c
same_C550_measured,DeltaTrace,100,ok,0.12141903241475423,0.12118411064147949,0.12154746055603027,3,1,27,101,128,16.76384256,17.03936,memory_v4_rollout/deltatrace_streamed_100/results.json,147a87f3bd0bacce26aa1d431e27f4ff2b84cb47c7d4a278af9c6f443e23c5fd
same_C550_measured,DeltaTrace,500,ok,0.32996360460917157,0.3291585445404053,0.3303952217102051,3,1,27,501,528,18.157723648,18.694012928,memory_v4_rollout/deltatrace_streamed_500/results.json,899470092f792a91a1dbb861745964d417264fd36166287a9186f18b71e04369
same_C550_measured,DeltaTrace,1000,ok,0.6023265520731608,0.6017687320709229,0.6027843952178955,3,1,27,1001,1028,21.00594176,21.6530944,memory_v4_rollout/deltatrace_streamed_1000/results.json,33fccc7e44ad00536b4defe37bbbfbab29af0c7f9bd9ee95199c4ee16b50559d
same_C550_measured,DeltaTrace,2000,ok,1.2155849933624268,1.2149827480316162,1.2166948318481445,3,1,27,2001,2028,25.540788736,26.12002816,memory_v4_rollout/deltatrace_streamed_2000/results.json,4c7f63c13cf82502444e9c1f326b4ae857cdc9d887209b28bafef3ea9d824c31
same_C550_measured,DeltaTrace,5000,ok,3.5580498377482095,3.553065299987793,3.5660088062286377,3,1,27,5001,5028,38.97325568,40.164655104,memory_v4_rollout/deltatrace_streamed_5000/results.json,38609f809ce7b3bb63531947827df00099b084f645a59d8bae6906a0e7521813
same_C550_measured,DeltaTrace,10000,ok,9.430000146230062,9.419639348983765,9.438268661499023,3,1,27,10001,10028,61.392939008,63.682117632,memory_v4_rollout/deltatrace_streamed_10000/results.json,85c759ac86d314d57aa8ff698e328deebf7bd48328c97a30bb2623b7c166a052
same_C550_measured,FT multi-hop,10,ok,0.18131605784098306,0.17644977569580078,0.1893463134765625,3,1,27,11,38,16.586200576,16.78770176,memory_v4_rollout/ifr_multi_hop_10/results.json,f37fa7bea181d982b5d4f98e1b85247ee96f99fcbf2fd659d042fc6c19e1af76
same_C550_measured,FT multi-hop,100,ok,0.16336520512898764,0.16278934478759766,0.16441607475280762,3,1,27,101,128,16.844116992,17.068720128,memory_v4_rollout/ifr_multi_hop_100/results.json,037b6388f41b31e7736a4dba66a7cc5796fc5ea8bcbda5db85b2913a07d28715
same_C550_measured,FT multi-hop,500,ok,0.3734857241312663,0.37232542037963867,0.3745713233947754,3,1,27,501,528,17.850929152,18.25570816,memory_v4_rollout/ifr_multi_hop_500/results.json,0d526fa8014ff86695edc034d06bd69e309481263e6a9c7c163d7baaa315afaa
