dataset,metric,count,DT_mean,FT_mean,mean_DT_minus_FT,median_DT_minus_FT,p10_DT_minus_FT,p90_DT_minus_FT,DT_better_cases,equal_cases,DT_worse_cases
niah_mq_q2,rise,100,0.06453802435702695,0.06813640345510187,-0.003598379098074927,-0.002371216951895211,-0.027227063288742887,0.020304450576545178,62,1,37
niah_mq_q2,mas,100,0.09245413206783024,0.1627823189341098,-0.07032818686627956,-0.07349656123874318,-0.0901283203090868,-0.04324383824804899,100,0,0
niah_mq_q2,needle,100,0.6676079822491964,0.48343500191471656,0.18417298033447987,0.1842105263157895,0.10526315789473684,0.2505813953488373,100,0,0
niah_mq_q4,rise,100,0.13096283677971438,0.11336556467324728,0.01759727210646712,0.013819414068630246,-0.007444800030298394,0.051366772304181824,23,0,77
niah_mq_q4,mas,100,0.18252517617144878,0.19353213510879205,-0.011006958937343214,-0.03508376220589004,-0.060337571494139035,0.08426224256370372,69,0,31
niah_mq_q4,needle,100,0.47829279248816675,0.41326017644649404,0.06503261604167282,0.0641025641025641,0.013124156545209214,0.11407010710808185,95,2,3
niah_mq_q8,rise,100,0.3757347068411366,0.3518479661929677,0.02388674064816893,0.02420242563303343,-0.009878991045281576,0.05794059378699737,22,0,78
niah_mq_q8,mas,100,0.5449215075668503,0.42698742661862066,0.11793408094822974,0.1234629766463084,0.03641171947911389,0.18138542345741593,5,0,95
niah_mq_q8,needle,100,0.13239495652659394,0.0749830000032805,0.05741195652331342,0.058632543926661576,0.03768897222547756,0.07547169811320754,100,0,0
niah_mv_v2,rise,100,0.05210960699518794,0.06852138960275629,-0.01641178260756834,-0.007774973311306409,-0.05030404339003432,0.00911656220689074,75,1,24
niah_mv_v2,mas,100,0.08102188579564061,0.15696500163200655,-0.07594311583636597,-0.07748486284327541,-0.09508079674171724,-0.05671021457352561,99,0,1
niah_mv_v2,needle,100,0.7515996468443837,0.5556180071390598,0.19598163970532392,0.1842105263157895,0.11052631578947363,0.2905263157894738,100,0,0
niah_mv_v4,rise,100,0.05252561420548979,0.07040176102100952,-0.017876146815519734,-0.010860579277934625,-0.04624408113628482,0.0028255265888476196,83,0,17
niah_mv_v4,mas,100,0.08353846834921179,0.16044831779260535,-0.07690984944339359,-0.07789398278839824,-0.0949810279698393,-0.05643680397074582,100,0,0
niah_mv_v4,needle,100,0.5752426710716183,0.5158856706159337,0.059357000455684664,0.0625,0.0,0.11842105263157895,84,8,8
niah_mv_v8,rise,100,0.10222419701728311,0.18261880200489067,-0.08039460498760752,-0.06686198319236517,-0.17958830854789934,-0.007595206998645206,94,0,6
niah_mv_v8,mas,100,0.1441648770230809,0.24761399610338442,-0.1034491190803035,-0.10003458270383835,-0.164021170887153,-0.056713030340115995,98,0,2
niah_mv_v8,needle,100,0.24322885338345868,0.2036087330067593,0.039620120376699326,0.03947368421052633,0.006907894736842134,0.07236842105263158,93,4,3
vt_h2_c3,rise,100,0.09001004550633601,0.13155474487832042,-0.041544699371984385,-0.04331535956376021,-0.05986079618171668,-0.017009472091525275,99,0,1
vt_h2_c3,mas,100,0.1156866913929899,0.1871832461937548,-0.07149655480076487,-0.07478803298928492,-0.09317322461043853,-0.04263906622883185,99,0,1
vt_h2_c3,needle,100,0.5074334124245136,0.6976457114652332,-0.1902122990407195,-0.19292803970223327,-0.3448275862068966,-0.03559113300492609,2,2,96
vt_h4_c1,rise,100,0.10991299976379536,0.1102470879813133,-0.00033408821751796313,-0.005171756213241251,-0.020786770781959344,0.02558147689601502,63,0,37
vt_h4_c1,mas,100,0.1451365635461711,0.16545040467703118,-0.020313841130860055,-0.027426480154430388,-0.05418504827997891,0.028382509428161097,81,0,19
vt_h4_c1,needle,100,0.5870986811452812,0.7547793834766146,-0.16768070233133336,-0.1684397163120568,-0.25053191489361704,-0.08677150786308967,0,1,99
vt_h6_c1,rise,100,0.11446931626310419,0.12244432407093876,-0.007975007807834618,-0.010903579014955617,-0.025021609843400204,0.014048237724329478,76,0,24
vt_h6_c1,mas,100,0.14834495845539525,0.17868011505693243,-0.03033515660153717,-0.03614873548373794,-0.05976595471923823,0.005257212329730993,89,0,11
vt_h6_c1,needle,100,0.5014667517614252,0.6585060973752498,-0.15703934561382446,-0.1515151515151515,-0.2121212121212121,-0.10559947299077732,0,0,100
vt_h10_c1,rise,100,0.14484865647528364,0.1425728738076607,0.0022757826676228824,0.002588998010676122,-0.015110235592762696,0.02045200755480673,42,0,58
vt_h10_c1,mas,100,0.18509154844048406,0.1981511447664196,-0.013059596325935546,-0.015394886089051749,-0.04028849429069978,0.01386664283836557,77,0,23
vt_h10_c1,needle,100,0.4023745137577838,0.5141755016048608,-0.11180098784707687,-0.11538461538461539,-0.14875770595927518,-0.06849547511312214,1,0,99
hotpotqa_long,rise,48,0.02806646191632371,0.03304531235309393,-0.004978850436770222,0.0,-0.019201811440958894,0.0,21,24,3
hotpotqa_long,mas,48,0.06267716681545336,0.1276547651392594,-0.06497759832380604,-0.06786467507647179,-0.0842964154876552,-0.04024081260897565,48,0,0
hotpotqa_long,needle,48,0.34906636253548756,0.38372331799997966,-0.034656955464492066,-0.046785225718194254,-0.18298701298701303,0.09407114624505936,18,1,29
math,rise,100,0.20291267339101368,0.3484257432816919,-0.14551306989067825,-0.13600985678705171,-0.31915042400406474,-0.0003164546587109488,90,1,9
math,mas,100,0.2888278462900191,0.4455736688218333,-0.15674582253181413,-0.16685650104751018,-0.37373477292127716,0.029862732105947518,85,0,15
morehopqa,rise,95,0.06969680363177658,0.12802036734089967,-0.05832356370912307,-0.05682408705379267,-0.12560519479010715,-0.005502198451057885,86,2,7
morehopqa,mas,95,0.1186320948997166,0.2049064350302128,-0.08627434013049626,-0.08765533559949722,-0.13901923568956326,-0.035459098744087265,92,0,3
