dataset,count,DT_RISE,FT_RISE,DT_MAS,FT_MAS,DT_Recall10,FT_Recall10
niah_mq_q2,100,0.06453802435702695,0.06813640345510188,0.09245413206783022,0.1627823189341098,0.6676079822491964,0.4834350019147166
niah_mq_q4,100,0.1309628367797144,0.11336556467324722,0.1825251761714488,0.19353213510879214,0.47829279248816686,0.4132601764464942
niah_mq_q8,100,0.37573470684113663,0.3518479661929679,0.5449215075668503,0.42698742661862055,0.13239495652659392,0.07498300000328047
niah_mv_v2,100,0.05210960699518794,0.0685213896027563,0.0810218857956406,0.15696500163200658,0.7515996468443837,0.5556180071390603
niah_mv_v4,100,0.05252561420548978,0.07040176102100953,0.08353846834921176,0.1604483177926053,0.5752426710716184,0.5158856706159335
niah_mv_v8,100,0.10222419701728311,0.18261880200489064,0.1441648770230809,0.24761399610338444,0.24322885338345865,0.2036087330067593
vt_h2_c3,100,0.09001004550633603,0.13155474487832042,0.11568669139298991,0.1871832461937548,0.5074334124245137,0.6976457114652332
vt_h4_c1,100,0.10991299976379534,0.11024708798131334,0.14513656354617108,0.1654504046770312,0.5870986811452811,0.7547793834766143
vt_h6_c1,100,0.11446931626310418,0.12244432407093879,0.14834495845539528,0.17868011505693246,0.5014667517614252,0.6585060973752498
vt_h10_c1,100,0.1448486564752836,0.1425728738076607,0.18509154844048406,0.19815114476641965,0.40237451375778394,0.514175501604861
hotpotqa_long,48,0.028066461916323712,0.033045312353093916,0.06267716681545338,0.1276547651392594,0.3490663625354876,0.38372331799997966
