dataset,method,attribution_variant,count,Recovery,RecoveryBudgetFraction,RecoveryMetric,RecoveryBudgetUnit,RecoveryTargetMode,RecoveryProtocol
vt_h2_c3,DT,DT,100,0.8561683667365675,0.1,body_token_recall,eligible_body_tokens,answer_only,user-selected-vt-budgets-10-10-20-30-v1
vt_h2_c3,FT,FT_K3,100,0.7241013162207546,0.1,body_token_recall,eligible_body_tokens,answer_only,user-selected-vt-budgets-10-10-20-30-v1
vt_h2_c3,Perturbation,Perturbation,100,0.266926594743266,0.1,body_token_recall,eligible_body_tokens,answer_only,user-selected-vt-budgets-10-10-20-30-v1
vt_h2_c3,REAGENT,REAGENT,100,0.2665932614099327,0.1,body_token_recall,eligible_body_tokens,answer_only,user-selected-vt-budgets-10-10-20-30-v1
vt_h2_c3,CLP,CLP,100,0.29100392066117875,0.1,body_token_recall,eligible_body_tokens,answer_only,user-selected-vt-budgets-10-10-20-30-v1
vt_h2_c3,IFR,IFR,100,0.811586187797186,0.1,body_token_recall,eligible_body_tokens,answer_only,user-selected-vt-budgets-10-10-20-30-v1
vt_h2_c3,AttnLRP,AttnLRP,100,0.833693353516977,0.1,body_token_recall,eligible_body_tokens,answer_only,user-selected-vt-budgets-10-10-20-30-v1
vt_h4_c1,DT,DT,100,0.7132782168756069,0.1,body_token_recall,eligible_body_tokens,answer_only,user-selected-vt-budgets-10-10-20-30-v1
vt_h4_c1,FT,FT_K3,100,0.6831578266047122,0.1,body_token_recall,eligible_body_tokens,answer_only,user-selected-vt-budgets-10-10-20-30-v1
vt_h4_c1,Perturbation,Perturbation,100,0.1886202764433177,0.1,body_token_recall,eligible_body_tokens,answer_only,user-selected-vt-budgets-10-10-20-30-v1
vt_h4_c1,REAGENT,REAGENT,100,0.17576286532644364,0.1,body_token_recall,eligible_body_tokens,answer_only,user-selected-vt-budgets-10-10-20-30-v1
vt_h4_c1,CLP,CLP,100,0.20534667701739098,0.1,body_token_recall,eligible_body_tokens,answer_only,user-selected-vt-budgets-10-10-20-30-v1
vt_h4_c1,IFR,IFR,100,0.7008878281433752,0.1,body_token_recall,eligible_body_tokens,answer_only,user-selected-vt-budgets-10-10-20-30-v1
vt_h4_c1,AttnLRP,AttnLRP,100,0.7053854516277543,0.1,body_token_recall,eligible_body_tokens,answer_only,user-selected-vt-budgets-10-10-20-30-v1
vt_h6_c1,DT,DT,100,0.9204822773996983,0.2,body_token_recall,eligible_body_tokens,answer_only,user-selected-vt-budgets-10-10-20-30-v1
vt_h6_c1,FT,FT_K3,100,0.8214540424149122,0.2,body_token_recall,eligible_body_tokens,answer_only,user-selected-vt-budgets-10-10-20-30-v1
vt_h6_c1,Perturbation,Perturbation,100,0.3357456448431278,0.2,body_token_recall,eligible_body_tokens,answer_only,user-selected-vt-budgets-10-10-20-30-v1
vt_h6_c1,REAGENT,REAGENT,100,0.3247010892093769,0.2,body_token_recall,eligible_body_tokens,answer_only,user-selected-vt-budgets-10-10-20-30-v1
vt_h6_c1,CLP,CLP,100,0.3385196611195446,0.2,body_token_recall,eligible_body_tokens,answer_only,user-selected-vt-budgets-10-10-20-30-v1
vt_h6_c1,IFR,IFR,100,0.8373865598376904,0.2,body_token_recall,eligible_body_tokens,answer_only,user-selected-vt-budgets-10-10-20-30-v1
vt_h6_c1,AttnLRP,AttnLRP,100,0.8457088552409476,0.2,body_token_recall,eligible_body_tokens,answer_only,user-selected-vt-budgets-10-10-20-30-v1
vt_h10_c1,DT,DT,100,0.8774465790989282,0.3,body_token_recall,eligible_body_tokens,answer_only,user-selected-vt-budgets-10-10-20-30-v1
vt_h10_c1,FT,FT_K3,100,0.8340681130317467,0.3,body_token_recall,eligible_body_tokens,answer_only,user-selected-vt-budgets-10-10-20-30-v1
vt_h10_c1,Perturbation,Perturbation,100,0.40698306212363156,0.3,body_token_recall,eligible_body_tokens,answer_only,user-selected-vt-budgets-10-10-20-30-v1
vt_h10_c1,REAGENT,REAGENT,100,0.42477821225184575,0.3,body_token_recall,eligible_body_tokens,answer_only,user-selected-vt-budgets-10-10-20-30-v1
