dataset,index,method,target_mode,aggregation,view,budget_unit,fraction,eligible,gold,budget,gold_density,ceiling,random_expected_recall,recall,precision,ceiling_adjusted_recall,cutoff,cutoff_tie_size,recall_tie_low,recall_tie_high,all_body_tokens,f1,exact_match,complete_support,true_positive,predicted,token_recall,spent_tokens,unused_tokens,selected_sentences,empty_selection,fact_recall_ceiling
vt_h2_c3,0,DT,answer_only,signed_sum,raw,eligible_body_tokens,0.1,329,26,33,0.0790273556231003,1.0,0.10030395136778116,0.8076923076923077,0.6363636363636364,0.8076923076923077,0.10507529228925705,1,0.8076923076923077,0.8076923076923077,,,,,,,,,,,,
vt_h2_c3,1,DT,answer_only,signed_sum,raw,eligible_body_tokens,0.1,330,27,33,0.08181818181818182,1.0,0.1,0.8888888888888888,0.7272727272727273,0.8888888888888888,0.1310049295425415,1,0.8888888888888888,0.8888888888888888,,,,,,,,,,,,
vt_h2_c3,2,DT,answer_only,signed_sum,raw,eligible_body_tokens,0.1,332,29,34,0.08734939759036145,1.0,0.10240963855421686,0.896551724137931,0.7647058823529411,0.896551724137931,0.09026667475700378,1,0.896551724137931,0.896551724137931,,,,,,,,,,,,
vt_h2_c3,3,DT,answer_only,signed_sum,raw,eligible_body_tokens,0.1,337,27,34,0.08011869436201781,1.0,0.10089020771513353,0.8888888888888888,0.7058823529411765,0.8888888888888888,0.0720256119966507,1,0.8888888888888888,0.8888888888888888,,,,,,,,,,,,
vt_h2_c3,4,DT,answer_only,signed_sum,raw,eligible_body_tokens,0.1,334,30,34,0.08982035928143713,1.0,0.10179640718562874,0.8,0.7058823529411765,0.8,0.13853229582309723,1,0.8,0.8,,,,,,,,,,,,
vt_h2_c3,5,DT,answer_only,signed_sum,raw,eligible_body_tokens,0.1,336,30,34,0.08928571428571429,1.0,0.10119047619047619,0.8666666666666667,0.7647058823529411,0.8666666666666667,0.15433067083358765,1,0.8666666666666667,0.8666666666666667,,,,,,,,,,,,
vt_h2_c3,6,DT,answer_only,signed_sum,raw,eligible_body_tokens,0.1,334,29,34,0.08682634730538923,1.0,0.10179640718562874,0.9655172413793104,0.8235294117647058,0.9655172413793104,0.11816663295030594,1,0.9655172413793104,0.9655172413793104,,,,,,,,,,,,
vt_h2_c3,7,DT,answer_only,signed_sum,raw,eligible_body_tokens,0.1,327,28,33,0.0856269113149847,1.0,0.10091743119266056,0.8571428571428571,0.7272727272727273,0.8571428571428571,0.13541534543037415,1,0.8571428571428571,0.8571428571428571,,,,,,,,,,,,
vt_h2_c3,8,DT,answer_only,signed_sum,raw,eligible_body_tokens,0.1,333,31,34,0.09309309309309309,1.0,0.1021021021021021,0.8387096774193549,0.7647058823529411,0.8387096774193549,0.18961189687252045,1,0.8387096774193549,0.8387096774193549,,,,,,,,,,,,
vt_h2_c3,9,DT,answer_only,signed_sum,raw,eligible_body_tokens,0.1,331,28,34,0.08459214501510574,1.0,0.1027190332326284,0.8571428571428571,0.7058823529411765,0.8571428571428571,0.14474907517433167,1,0.8571428571428571,0.8571428571428571,,,,,,,,,,,,
vt_h2_c3,10,DT,answer_only,signed_sum,raw,eligible_body_tokens,0.1,330,27,33,0.08181818181818182,1.0,0.1,0.9259259259259259,0.7575757575757576,0.9259259259259259,0.16520081460475922,1,0.9259259259259259,0.9259259259259259,,,,,,,,,,,,
