dataset,index,method,recall,rise,mas
vt_h2_c3,0,DT,0.6538461538461539,0.10295698924731181,0.11431943208110984
vt_h2_c3,0,FT_K1,0.46153846153846156,0.15846774193548388,0.22500668774383467
vt_h2_c3,0,ifr-tokenwise,0.7692307692307693,0.16774193548387095,0.2392849205987247
vt_h2_c3,0,FT_K3,0.46153846153846156,,
vt_h2_c3,1,DT,0.7407407407407407,0.11682561307901904,0.1346557522954938
vt_h2_c3,1,FT_K1,0.7407407407407407,0.1447547683923706,0.21370578647901653
vt_h2_c3,1,ifr-tokenwise,0.7777777777777778,0.1702316076294278,0.24181323774627525
vt_h2_c3,1,FT_K3,0.7407407407407407,,
vt_h2_c3,2,DT,0.8275862068965517,0.1387566137566138,0.16916132226035047
vt_h2_c3,2,FT_K1,0.6896551724137931,0.1767195767195767,0.24150601333486063
vt_h2_c3,2,ifr-tokenwise,0.7931034482758621,0.19457671957671957,0.2717022040988613
vt_h2_c3,2,FT_K3,0.6896551724137931,,
vt_h2_c3,3,DT,0.7777777777777778,0.1554918032786885,0.2034421208852582
vt_h2_c3,3,FT_K1,0.8148148148148148,0.1510655737704918,0.20942067497755987
vt_h2_c3,3,ifr-tokenwise,0.8518518518518519,0.1531967213114754,0.20258768181450212
vt_h2_c3,3,FT_K3,0.8148148148148148,,
vt_h2_c3,4,DT,0.8666666666666667,0.10177053824362607,0.11586137614591836
vt_h2_c3,4,FT_K1,0.6333333333333333,0.15318696883852692,0.22699853376716553
vt_h2_c3,4,ifr-tokenwise,0.7333333333333333,0.17202549575070822,0.2499259665093831
vt_h2_c3,4,FT_K3,0.6333333333333333,,
vt_h2_c3,5,DT,0.8333333333333334,0.12385057471264367,0.15243045991332455
vt_h2_c3,5,FT_K1,0.7333333333333333,0.14339080459770115,0.22073793776337552
vt_h2_c3,5,ifr-tokenwise,0.7333333333333333,0.1649425287356322,0.24461964103811265
vt_h2_c3,5,FT_K3,0.7333333333333333,,
vt_h2_c3,6,DT,0.8275862068965517,0.1078571428571429,0.12415725060303537
vt_h2_c3,6,FT_K1,0.7931034482758621,0.15171428571428575,0.2214652877708701
vt_h2_c3,6,ifr-tokenwise,0.8275862068965517,0.16271428571428573,0.2312928830408072
vt_h2_c3,6,FT_K3,0.7931034482758621,,
vt_h2_c3,7,DT,0.8571428571428571,0.09823943661971832,0.11079232990241136
vt_h2_c3,7,FT_K1,0.6071428571428571,0.13471830985915492,0.21678539058739532
vt_h2_c3,7,ifr-tokenwise,0.7857142857142857,0.14922535211267607,0.21623784852622263
vt_h2_c3,7,FT_K3,0.6071428571428571,,
vt_h2_c3,8,DT,0.8064516129032258,0.1306,0.15692450516079987
vt_h2_c3,8,FT_K1,0.6451612903225806,0.16766666666666669,0.23933176105639326
