dataset,count,method,recall,rise,mas
vt_h2_c3,100,DT,0.8003530859990954,0.12123095004557548,0.14611415702835812
vt_h2_c3,100,FT_K1,0.6779557498993818,0.15140069388590555,0.22256770873957302
vt_h2_c3,100,ifr-tokenwise,0.7755241306591277,0.1629424428496494,0.23151870107680098
vt_h2_c3,100,FT_K3,0.6779557498993818,,
vt_h4_c1,100,DT,0.7056240052747007,0.11634650482369188,0.1499441373382912
vt_h4_c1,100,FT_K1,0.6913173808131432,0.11611135775236643,0.18885526251451126
vt_h4_c1,100,ifr-tokenwise,0.7048372273910987,0.11400599926199448,0.1692295725112491
vt_h4_c1,100,FT_K3,0.6907167397875023,,
vt_h6_c1,100,DT,0.8026848957004745,0.12854454250403083,0.16316911256722652
vt_h6_c1,100,FT_K1,0.8310923010506938,0.13007791322319595,0.20498231254033616
vt_h6_c1,100,ifr-tokenwise,0.8251501731515778,0.12617427251532867,0.1813710215172847
vt_h6_c1,100,FT_K3,0.8306282858991787,,
vt_h10_c1,100,DT,0.7634908771502273,0.1703310732117266,0.2243504506456514
vt_h10_c1,100,FT_K1,0.818463526535127,0.1537424939420221,0.23043118076412417
vt_h10_c1,100,ifr-tokenwise,0.8156425649792832,0.14841846454866128,0.2021061638104256
vt_h10_c1,100,FT_K3,0.8190450894977732,,
hotpotqa_long,48,DT,0.765625,0.19060807386039055,0.30861112661257
hotpotqa_long,48,FT_K1,0.5850694444444444,0.2154343847352637,0.31230609519368996
hotpotqa_long,48,ifr-tokenwise,0.5850694444444445,0.24367316723862573,0.34987799889505283
hotpotqa_long,48,FT_K3,0.5711805555555555,,
