dataset,count,method,recall,rise,mas
niah_mq_q2,100,DT,0.6311964813449424,0.11485849464354367,0.15101282354157824
niah_mq_q2,100,FT_K1,0.5021624544393375,0.09823045411125175,0.25492052739463444
niah_mq_q2,100,ifr-tokenwise,0.454170982816757,0.10679972834300422,0.25100889436269663
niah_mq_q2,100,FT_K3,0.5292430128979896,,
niah_mq_q4,100,DT,0.4570399305983219,0.17447848012864078,0.24684494853220262
niah_mq_q4,100,FT_K1,0.36924023619404556,0.14141446861891172,0.2651291214061489
niah_mq_q4,100,ifr-tokenwise,0.35401958688066676,0.14475098023202038,0.26308303735785304
niah_mq_q4,100,FT_K3,0.385623814746714,,
niah_mq_q8,100,DT,0.1327533073410962,0.3752372574277035,0.5639799870412603
niah_mq_q8,100,FT_K1,0.08515387682652156,0.37039127808985556,0.4390360833412445
niah_mq_q8,100,ifr-tokenwise,0.02220682337531887,0.3544320960705245,0.4318428625358937
niah_mq_q8,100,FT_K3,0.1072420884443071,,
niah_mv_v2,100,DT,0.7407404154325208,0.09226248208736891,0.12192848203958062
niah_mv_v2,100,FT_K1,0.5758313169286854,0.09736931834029054,0.24666661301858586
niah_mv_v2,100,ifr-tokenwise,0.5548922267790689,0.10125682980061246,0.23979185523359933
niah_mv_v2,100,FT_K3,0.6051313131313131,,
niah_mv_v4,100,DT,0.5414422704488493,0.1360511264854509,0.18596467986213633
niah_mv_v4,100,FT_K1,0.4563131692868535,0.1284448726832416,0.2538443276237314
niah_mv_v4,100,ifr-tokenwise,0.4741570972886763,0.13850101626277594,0.26379291073865163
niah_mv_v4,100,FT_K3,0.4619127933470039,,
niah_mv_v8,100,DT,0.2211591241360978,0.2374798531125018,0.3503687360668627
niah_mv_v8,100,FT_K1,0.22317490221766537,0.25075731197644674,0.3263606224307933
niah_mv_v8,100,ifr-tokenwise,0.21437919134958605,0.26235603892112097,0.3494227752808282
niah_mv_v8,100,FT_K3,0.22265189488873702,,
vt_h2_c3,100,DT,0.8003530859990954,0.12123095004557548,0.14611415702835812
vt_h2_c3,100,FT_K1,0.6779557498993818,0.15140069388590555,0.22256770873957302
vt_h2_c3,100,ifr-tokenwise,0.7755241306591277,0.1629424428496494,0.23151870107680098
vt_h2_c3,100,FT_K3,0.6779557498993818,,
vt_h4_c1,100,DT,0.7056240052747007,0.11634650482369188,0.1499441373382912
vt_h4_c1,100,FT_K1,0.6913173808131432,0.11611135775236643,0.18885526251451126
vt_h4_c1,100,ifr-tokenwise,0.7048372273910987,0.11400599926199448,0.1692295725112491
vt_h4_c1,100,FT_K3,0.6907167397875023,,
vt_h6_c1,100,DT,0.8026848957004745,0.12854454250403083,0.16316911256722652
vt_h6_c1,100,FT_K1,0.8310923010506938,0.13007791322319595,0.20498231254033616
vt_h6_c1,100,ifr-tokenwise,0.8251501731515778,0.12617427251532867,0.1813710215172847
vt_h6_c1,100,FT_K3,0.8306282858991787,,
vt_h10_c1,100,DT,0.7634908771502273,0.1703310732117266,0.2243504506456514
vt_h10_c1,100,FT_K1,0.818463526535127,0.1537424939420221,0.23043118076412417
vt_h10_c1,100,ifr-tokenwise,0.8156425649792832,0.14841846454866128,0.2021061638104256
vt_h10_c1,100,FT_K3,0.8190450894977732,,
hotpotqa_long,48,DT,0.765625,0.19060807386039055,0.30861112661257
hotpotqa_long,48,FT_K1,0.5850694444444444,0.2154343847352637,0.31230609519368996
hotpotqa_long,48,ifr-tokenwise,0.5850694444444445,0.24367316723862573,0.34987799889505283
hotpotqa_long,48,FT_K3,0.5711805555555555,,
math,100,DT,,0.2751826751232393,0.36348044059599083
math,100,FT_K1,,0.37785027055466036,0.48399571124419083
math,100,ifr-tokenwise,,0.39290291663247406,0.5196106610334287
morehopqa,95,DT,,0.15621520713638826,0.22676930009093
morehopqa,95,FT_K1,,0.20891523938958584,0.28961812337825754
morehopqa,95,ifr-tokenwise,,0.22973091100723236,0.31153497209730135
