dataset,index,method,rise,mas,recall
niah_mq_q2,0,DT,0.14567039106145252,0.1856994449666467,0.525
niah_mq_q2,0,FT_K1,0.15013966480446925,0.26485657112623545,0.275
niah_mq_q2,0,FT_K3,,,0.3
niah_mq_q2,1,DT,0.041755319148936175,0.06291881461221424,1.0
niah_mq_q2,1,FT_K1,0.05851063829787233,0.23550349634985673,0.7368421052631579
niah_mq_q2,1,FT_K3,,,0.7894736842105263
niah_mq_q2,2,DT,0.049705882352941176,0.08313768027023047,1.0
niah_mq_q2,2,FT_K1,0.04911764705882352,0.24166098394043883,0.7894736842105263
niah_mq_q2,2,FT_K3,,,0.8421052631578947
niah_mq_q2,3,DT,0.13574380165289257,0.18750457316231905,0.5263157894736842
niah_mq_q2,3,FT_K1,0.12169421487603305,0.2607762181063418,0.3157894736842105
niah_mq_q2,3,FT_K3,,,0.34210526315789475
niah_mq_q2,4,DT,0.09119047619047618,0.12050720266677306,1.0
niah_mq_q2,4,FT_K1,0.1180952380952381,0.25041879615626417,0.7692307692307693
niah_mq_q2,4,FT_K3,,,0.8205128205128205
niah_mq_q2,5,DT,0.06166666666666665,0.09151614351467456,1.0
niah_mq_q2,5,FT_K1,0.03944444444444445,0.23461870879600197,0.8461538461538461
niah_mq_q2,5,FT_K3,,,0.8461538461538461
niah_mq_q2,6,DT,0.12413294797687861,0.16701451250191995,0.5945945945945946
niah_mq_q2,6,FT_K1,0.1359826589595376,0.2718336718629309,0.35135135135135137
niah_mq_q2,6,FT_K3,,,0.3783783783783784
niah_mq_q2,7,DT,0.07375283446712018,0.0938685943083561,1.0
niah_mq_q2,7,FT_K1,0.08055555555555557,0.22823665988983946,0.7435897435897436
niah_mq_q2,7,FT_K3,,,0.7948717948717948
niah_mq_q2,8,DT,0.14341155234657038,0.19398804350888757,0.5263157894736842
niah_mq_q2,8,FT_K1,0.11128158844765343,0.2682409605166303,0.34210526315789475
niah_mq_q2,8,FT_K3,,,0.42105263157894735
niah_mq_q2,9,DT,0.14562146892655367,0.1911374310731439,0.475
niah_mq_q2,9,FT_K1,0.11031073446327684,0.2601101016010986,0.3
niah_mq_q2,9,FT_K3,,,0.3
niah_mq_q2,10,DT,0.14190821256038647,0.18522676893948598,0.46153846153846156
niah_mq_q2,10,FT_K1,0.1281400966183575,0.2547931087540886,0.28205128205128205
niah_mq_q2,10,FT_K3,,,0.28205128205128205
niah_mq_q2,11,DT,0.14080381471389644,0.18758567014702332,0.55
niah_mq_q2,11,FT_K1,0.12908719346049047,0.2730435302023165,0.25
niah_mq_q2,11,FT_K3,,,0.275
niah_mq_q2,12,DT,0.12022613065326634,0.14543726750660557,0.425
niah_mq_q2,12,FT_K1,0.10766331658291457,0.26995913626116297,0.225
niah_mq_q2,12,FT_K3,,,0.225
niah_mq_q2,13,DT,0.06400523560209424,0.09392742824953049,1.0
niah_mq_q2,13,FT_K1,0.05719895287958114,0.2329797585950238,0.8
niah_mq_q2,13,FT_K3,,,0.8
niah_mq_q2,14,DT,0.06653846153846153,0.09332168655891371,0.975
niah_mq_q2,14,FT_K1,0.06217948717948718,0.231664858034544,0.75
niah_mq_q2,14,FT_K3,,,0.8
niah_mq_q2,15,DT,0.1361413043478261,0.1765422459534361,0.5365853658536586
niah_mq_q2,15,FT_K1,0.11059782608695652,0.25796207128743026,0.2926829268292683
niah_mq_q2,15,FT_K3,,,0.3170731707317073
niah_mq_q2,16,DT,0.1166010498687664,0.14404713761630444,0.5
niah_mq_q2,16,FT_K1,0.11738845144356955,0.2732255064714569,0.18421052631578946
niah_mq_q2,16,FT_K3,,,0.2631578947368421
niah_mq_q2,17,DT,0.13988833746898263,0.18103095952520304,0.4634146341463415
niah_mq_q2,17,FT_K1,0.11830024813895781,0.25702595937354444,0.2926829268292683
niah_mq_q2,17,FT_K3,,,0.2682926829268293
niah_mq_q2,18,DT,0.038978494623655914,0.059142640620936236,1.0
niah_mq_q2,18,FT_K1,0.04112903225806451,0.24562423487488855,0.7567567567567568
niah_mq_q2,18,FT_K3,,,0.8108108108108109
niah_mq_q2,19,DT,0.13524999999999998,0.16981420238206946,0.48717948717948717
niah_mq_q2,19,FT_K1,0.13725,0.2695274166489184,0.20512820512820512
niah_mq_q2,19,FT_K3,,,0.23076923076923078
niah_mq_q2,20,DT,0.12447916666666667,0.14296707589223176,0.5
niah_mq_q2,20,FT_K1,0.14244791666666665,0.2704176044983279,0.2
niah_mq_q2,20,FT_K3,,,0.25
niah_mq_q2,21,DT,0.049644549763033174,0.06868278271054601,0.9743589743589743
niah_mq_q2,21,FT_K1,0.06528436018957345,0.2506809728898633,0.6923076923076923
niah_mq_q2,21,FT_K3,,,0.7435897435897436
niah_mq_q2,22,DT,0.2071759259259259,0.2660759431758923,0.47619047619047616
niah_mq_q2,22,FT_K1,0.24282407407407405,0.2813861869690283,0.23809523809523808
niah_mq_q2,22,FT_K3,,,0.23809523809523808
niah_mq_q2,23,DT,0.04362464183381089,0.06501484223341991,1.0
niah_mq_q2,23,FT_K1,0.04391117478510028,0.2338763662705184,0.7368421052631579
niah_mq_q2,23,FT_K3,,,0.7894736842105263
niah_mq_q2,24,DT,0.14118497109826586,0.190497911279772,0.5384615384615384
niah_mq_q2,24,FT_K1,0.125,0.2619454461586151,0.2564102564102564
niah_mq_q2,24,FT_K3,,,0.28205128205128205
niah_mq_q2,25,DT,0.16918052256532068,0.24116441760997304,1.0
niah_mq_q2,25,FT_K1,0.19982185273159145,0.3062407031910356,0.7894736842105263
niah_mq_q2,25,FT_K3,,,0.8421052631578947
niah_mq_q2,26,DT,0.0557909604519774,0.07696715353779786,1.0
niah_mq_q2,26,FT_K1,0.054378531073446326,0.2268147566449062,0.7948717948717948
