dataset,method,count,rise,mas,recall
niah_mq_q2,DT,10,0.10117424054903756,0.13246104475923445,0.8058806312978328
niah_mq_q2,FT_K1,10,0.10140352635820256,0.2535024129290339,0.6025202154855557
niah_mq_q2,FT_K3,10,,,0.6287182215295182
niah_mq_q4,DT,10,0.15848013917996032,0.2185148719474337,0.5228467847941533
niah_mq_q4,FT_K1,10,0.15041666337104656,0.2674551176717504,0.3463349632823317
niah_mq_q4,FT_K3,10,,,0.36855272797378064
niah_mq_q8,DT,10,0.3543505193514831,0.5043782081757879,0.15306119563387993
niah_mq_q8,FT_K1,10,0.33926049142085446,0.40167321223096303,0.0987459654631014
niah_mq_q8,FT_K3,10,,,0.11974230872085682
niah_mv_v2,DT,10,0.07981869841236341,0.10947037381177194,0.8710526315789473
niah_mv_v2,FT_K1,10,0.09706840158342057,0.24522188136674253,0.6191520467836258
niah_mv_v2,FT_K3,10,,,0.6429824561403509
niah_mv_v4,DT,10,0.10294120761572653,0.13899814137900704,0.6534356725146199
niah_mv_v4,FT_K1,10,0.10681840867486025,0.24705345733425405,0.4935672514619883
niah_mv_v4,FT_K3,10,,,0.504093567251462
niah_mv_v8,DT,10,0.21269361871335715,0.296471584568681,0.2950365497076023
niah_mv_v8,FT_K1,10,0.23565432522978624,0.31781394475136976,0.24597587719298245
niah_mv_v8,FT_K3,10,,,0.2427156432748538
math,DT,6,0.2661799220507392,0.34602154733900364,
math,FT_K1,6,0.37341143703599067,0.48014097862892574,
morehopqa,DT,6,0.13269441488246045,0.18452646131353279,
morehopqa,FT_K1,6,0.1919565899341081,0.27625264391220467,
