model,dataset,method,profile,cases,complete_cases,complete_support,budget_fraction,budget_unit,pooling,target_mode,source_group
qwen3,hotpotqa_long,DT,pv-layer-symmetric-v1,48,41,0.8541666666666666,0.3,all_body_tokens,positive_sum,full,symmetric_full_retest
qwen3,hotpotqa_long,DT_original,content_P1,48,44,0.9166666666666666,0.3,all_body_tokens,positive_sum,full,source_v2_full_recall
qwen3,hotpotqa_long,FT_K3,FT_K3,48,36,0.75,0.3,all_body_tokens,positive_sum,full,symmetric_full_retest
qwen3,hotpotqa_long,FT_K1,FT_K1,48,36,0.75,0.3,all_body_tokens,positive_sum,full,symmetric_full_retest
qwen3,hotpotqa_long,Perturbation,primary_target_sum,48,17,0.3541666666666667,0.3,all_body_tokens,positive_sum,full,all_baselines_20260910
qwen3,hotpotqa_long,REAGENT,primary_target_sum,48,17,0.3541666666666667,0.3,all_body_tokens,positive_sum,full,all_baselines_20260910
qwen3,hotpotqa_long,CLP,primary_target_sum,48,31,0.6458333333333334,0.3,all_body_tokens,positive_sum,full,all_baselines_20260910
qwen3,hotpotqa_long,IFR,primary_target_sum,48,41,0.8541666666666666,0.3,all_body_tokens,positive_sum,full,all_baselines_20260910
qwen3,hotpotqa_long,AttnLRP,primary_target_sum,48,42,0.875,0.3,all_body_tokens,positive_sum,full,all_baselines_20260910
qwen35,hotpotqa_long,DT,gdn-symmetric-v1,48,46,0.9583333333333334,0.3,all_body_tokens,positive_sum,full,symmetric_full_retest
qwen35,hotpotqa_long,DT_legacy,paper_recovery_dynamic_20260913,48,45,0.9375,0.3,all_body_tokens,positive_sum,full,qwen35_paper_recovery_dynamic
qwen35,hotpotqa_long,FT_K3,FT_K3,48,28,0.5833333333333334,0.3,all_body_tokens,positive_sum,full,symmetric_full_retest
qwen35,hotpotqa_long,FT_K1,FT_K1,48,28,0.5833333333333334,0.3,all_body_tokens,positive_sum,full,symmetric_full_retest
qwen35,hotpotqa_long,IFR_tokenwise,ifr-tokenwise,48,31,0.6458333333333334,0.3,all_body_tokens,positive_sum,full,qwen35_paper_recovery_dynamic
