model,dataset,metric,scope,budget_fraction,budget_unit,FT_method,cases,expected_cases,complete_task,DT,FT,difference_DT_minus_FT,difference_ci95_low,difference_ci95_high
qwen3,hotpotqa_long,mas,released_full_response,,,FT_K1,48,48,True,0.10015893911995931,0.1276208641321963,-0.027461925012237015,-0.03442858367852753,-0.020741844672832938
qwen3,hotpotqa_long,complete_support,paper_complete_support_positive_sum,0.3,all_body_tokens,FT_K1,48,48,True,0.8541666666666666,0.75,0.10416666666666667,-0.041666666666666664,0.25
qwen3,hotpotqa_long,complete_support,paper_complete_support_positive_sum,0.3,all_body_tokens,FT_K3,48,48,True,0.8541666666666666,0.75,0.10416666666666667,-0.041666666666666664,0.25
qwen3,hotpotqa_long,complete_support,paper_complete_support_positive_sum_budget_curve,0.05,all_body_tokens,FT_K1,48,48,True,0.041666666666666664,0.125,-0.08333333333333333,-0.1875,0
qwen3,hotpotqa_long,complete_support,paper_complete_support_positive_sum_budget_curve,0.05,all_body_tokens,FT_K3,48,48,True,0.041666666666666664,0.10416666666666667,-0.0625,-0.16666666666666666,0.020833333333333332
qwen3,hotpotqa_long,complete_support,paper_complete_support_positive_sum_budget_curve,0.1,all_body_tokens,FT_K1,48,48,True,0.2916666666666667,0.3333333333333333,-0.041666666666666664,-0.1875,0.10416666666666667
qwen3,hotpotqa_long,complete_support,paper_complete_support_positive_sum_budget_curve,0.1,all_body_tokens,FT_K3,48,48,True,0.2916666666666667,0.3125,-0.020833333333333332,-0.14583333333333334,0.125
qwen3,hotpotqa_long,complete_support,paper_complete_support_positive_sum_budget_curve,0.2,all_body_tokens,FT_K1,48,48,True,0.6875,0.6458333333333334,0.041666666666666664,-0.10416666666666667,0.1875
qwen3,hotpotqa_long,complete_support,paper_complete_support_positive_sum_budget_curve,0.2,all_body_tokens,FT_K3,48,48,True,0.6875,0.6666666666666666,0.020833333333333332,-0.125,0.16666666666666666
qwen3,hotpotqa_long,complete_support,paper_complete_support_positive_sum_budget_curve,0.3,all_body_tokens,FT_K1,48,48,True,0.8541666666666666,0.75,0.10416666666666667,-0.041666666666666664,0.25
qwen3,hotpotqa_long,complete_support,paper_complete_support_positive_sum_budget_curve,0.3,all_body_tokens,FT_K3,48,48,True,0.8541666666666666,0.75,0.10416666666666667,-0.041666666666666664,0.25
qwen3,hotpotqa_long,complete_support,paper_complete_support_positive_sum_budget_curve,0.4,all_body_tokens,FT_K1,48,48,True,0.9166666666666666,0.8541666666666666,0.0625,-0.0625,0.1875
qwen3,hotpotqa_long,complete_support,paper_complete_support_positive_sum_budget_curve,0.4,all_body_tokens,FT_K3,48,48,True,0.9166666666666666,0.8541666666666666,0.0625,-0.0625,0.1875
qwen3,hotpotqa_long,complete_support,paper_complete_support_positive_sum_budget_curve,0.5,all_body_tokens,FT_K1,48,48,True,0.9375,0.875,0.0625,-0.041666666666666664,0.16666666666666666
qwen3,hotpotqa_long,complete_support,paper_complete_support_positive_sum_budget_curve,0.5,all_body_tokens,FT_K3,48,48,True,0.9375,0.875,0.0625,-0.041666666666666664,0.16666666666666666
qwen3,hotpotqa_long,rise,released_full_response,,,FT_K1,48,48,True,0.0274910933691844,0.03312048503244585,-0.0056293916632614545,-0.009864759758558809,-0.0018658410073925983
qwen3,hotpotqa_long,rise_plus_ap,released_full_response,,,FT_K1,48,48,True,0.1001589849936514,0.12819840300437904,-0.028039418010727634,-0.03547140780654511,-0.02078744430255033
qwen3,math,mas,released_full_response,,,FT_K1,100,100,True,0.33231710865312697,0.44609834651149827,-0.1137812378583712,-0.14748834418945253,-0.07974354915648835
qwen3,math,rise,released_full_response,,,FT_K1,100,100,True,0.23210832767605466,0.34872227800292577,-0.11661395032687101,-0.14521864020015873,-0.08900972717103404
qwen3,math,rise_plus_ap,released_full_response,,,FT_K1,100,100,True,0.3434723988602258,0.4885168220640185,-0.1450444232037927,-0.18696755453819489,-0.10395079066177436
qwen3,morehopqa,mas,released_full_response,,,FT_K1,95,95,True,0.1546012156117621,0.20493796895495495,-0.050336753343192785,-0.06111329148759498,-0.04005248884960083
qwen3,morehopqa,rise,released_full_response,,,FT_K1,95,95,True,0.07033267292684947,0.12812690977008412,-0.05779423684323466,-0.06757686701549968,-0.04837504560020311
qwen3,morehopqa,rise_plus_ap,released_full_response,,,FT_K1,95,95,True,0.15460125361276295,0.20572296697182219,-0.05112171335905923,-0.06220034675056768,-0.040738255323696924
qwen3,niah_mq_q2,mas,released_full_response,,,FT_K1,100,100,True,0.1176405075443263,0.1628302243001918,-0.04518971675586551,-0.05024000517940345,-0.04041351405103111
qwen3,niah_mq_q2,recall,released_NIAH,0.1,released_eligible_tokens,FT_K3,100,100,True,0.6724439489054455,0.46317452145810656,0.2092694274473389,0.19939204887425793,0.2191393051471288
qwen3,niah_mq_q2,rise,released_full_response,,,FT_K1,100,100,True,0.07228403839357311,0.06815177263544267,0.0041322657581304425,-0.0002337737223824251,0.008399183375688008
qwen3,niah_mq_q2,rise_plus_ap,released_full_response,,,FT_K1,100,100,True,0.11793421947599228,0.16322620433474946,-0.04529198485875716,-0.050463424899282024,-0.04023456413911736
