family,dataset,index,input_sha256,prompt_tokens,target_tokens,eligible_tokens,DT_RISE,FT_K1_RISE,DT_minus_FT_RISE
qwen3,niah_mq_q2,0,4c46244c8ef1235bda45410b69684055c641bfb46a3956a1958cce5328a95b46,357,244,310,0.08545112781954886,0.10409774436090227,-0.01864661654135341
qwen3,niah_mq_q2,1,15b106b2ca7dea757762d05d6c6906d52ec32d7c2f72590cd023a4ca56cf1c5c,955,259,863,0.0410655737704918,0.04311475409836065,-0.002049180327868848
qwen3,niah_mq_q2,2,04625fd9bc55e61caefd3f1f534ae8eacc852169fd3347624a40ac8176cfe99d,955,286,863,0.03960084033613446,0.04254201680672269,-0.002941176470588232
qwen3,niah_mq_q2,3,b02552833746f8ba8d202a99c894bcf5bed676797ad67baf102e5e2ffc8842a2,351,235,304,0.10707094918504315,0.10496164908916587,0.002109300095877273
qwen3,niah_mq_q2,4,8b61309a0bf7cf7f88ffaf5492bf6ead0bf504509a322b70fad78b8f34293084,958,230,866,0.0386986301369863,0.052465753424657535,-0.013767123287671233
qwen3,niah_mq_q2,5,31e1c0de3fa15d110c9f438b287389c62aa9138cbb185aed24665b041a369eb5,958,262,866,0.04196969696969697,0.043095238095238096,-0.0011255411255411268
qwen3,niah_mq_q2,6,da32d256330a34eb35e022ad39f4c328eea0fbde44075a3332dda49de891cc84,348,259,301,0.05636986301369863,0.10130136986301368,-0.044931506849315045
qwen3,niah_mq_q2,7,98136dbc4f15287c0396ce470015ba2caa3a44f525a2c39c34ff5af66882f7cb,958,259,866,0.048666462293071734,0.056023911710606986,-0.0073574494175352514
qwen3,morehopqa,0,a7b2d5fe4822e984f47cf57e0b5eb4be12f370fc048693f59d2610360ecf0710,422,439,379,0.02705479452054794,0.03595890410958904,-0.008904109589041097
qwen3,morehopqa,1,4e4d656da808149732f4929827d2ab5ae6fcb9661a4c8d7061c98bacfbf1482c,227,140,195,0.026527689369828134,0.05319859961807766,-0.026670910248249524
qwen3,morehopqa,2,9de462d0bc9d3d04cd102c4757471c9b7093355a020f7cbb6efa7e64055abb6d,498,221,438,0.06764264264264264,0.1334834834834835,-0.06584084084084085
qwen3,morehopqa,3,6981b891c08ba29fc630e17c7dca9967c6a7d6f775513cfbf27720cfaf6a5c4b,498,273,438,0.04122992392223161,0.10226120033812343,-0.061031276415891816
qwen3,morehopqa,4,bc5b0311e602bf6d814f21bde3098cc19908b8bede7d46b6d321643c95f3200d,198,538,164,0.05522388059701492,0.12007462686567165,-0.06485074626865672
qwen3,morehopqa,5,c10a19ba74a853042a784054d6ef62de61f8527bcb1826f3484d5cb9d7d0da61,176,179,149,0.09092960288808664,0.1854693140794224,-0.09453971119133577
qwen3,morehopqa,6,c7f243622c775fa539799982434f7f138859fa8153669d0711fef2434cc65c9a,207,219,170,0.07412917271407836,0.09931059506531204,-0.025181422351233676
qwen3,morehopqa,7,39200d94820b2df6ec932baef9f682eee114641159beaac288b17a8bc5162809,323,206,279,0.08506616257088846,0.15883742911153118,-0.07377126654064271
qwen35,niah_mq_q2,0,eba448bdb5c324cd24a57067acd900a7b1973620f30f438d75283743cbddc251,357,248,310,0.1702513966480447,0.15013966480446925,0.020111731843575453
qwen35,niah_mq_q2,1,03b9747c6f2077de78fd459b4853c6c4b9568f596ccbf7f58bd4f0395061c97c,954,264,862,0.04441489361702128,0.05851063829787233,-0.01409574468085105
qwen35,niah_mq_q2,2,9364f133307431c418c06d029e2764fd6708a07c7eb6bc4ff8ef190725e0c125,954,291,862,0.06294117647058824,0.04911764705882352,0.013823529411764714
qwen35,niah_mq_q2,3,033abd93f2e8da94f0ab736840da588a3e85ff84dc18ca30dc7396a6ea423cd2,351,239,304,0.15420110192837466,0.12169421487603305,0.032506887052341615
