family,dataset,metric,n,DT_mean,FT_mean,DT_minus_FT_mean,DT_better_cases
qwen3,niah_mq_q2,rise,8,0.05736164294058399,0.06845030468108347,-0.011088661740499484,7
qwen3,niah_mq_q2,mas,8,0.08062326523333013,0.15465118789635265,-0.07402792266302252,8
qwen3,niah_mq_q2,needle,8,0.7751998076011234,0.5645062825983879,0.21069352500273553,8
qwen3,morehopqa,rise,8,0.058475483653164836,0.11107426908390136,-0.05259878543073652,8
qwen3,morehopqa,mas,8,0.11727272011749285,0.1969034656629506,-0.07963074554545777,8
qwen35,niah_mq_q2,rise,8,0.11147530512151305,0.09419250776149674,0.01728279736001631,1
qwen35,niah_mq_q2,mas,8,0.15177872519892147,0.24848813827848865,-0.0967094130795672,8
qwen35,niah_mq_q2,needle,8,0.7334579138855455,0.6392001313053944,0.09425778258015101,8
qwen35,morehopqa,rise,8,0.1688377837406336,0.23558743897491466,-0.06674965523428106,8
qwen35,morehopqa,mas,8,0.2426152753393168,0.2797257332041113,-0.03711045786479453,5
