run,family,target_input_tokens,actual_total_tokens,mode,seconds_mean,seconds_std,peak_allocated_gb
qwen35_capture_confirmation,qwen35,128,157,local,0.27842140197753906,0.0030993586492461455,19.466898432
qwen35_capture_confirmation,qwen35,128,157,retained,0.45553167661031085,0.00432069322829649,19.17167872
qwen35_capture_confirmation,qwen35,256,264,local,0.3115540345509847,0.0011139201504152985,19.852261376
qwen35_capture_confirmation,qwen35,256,264,retained,0.4839626948038737,0.00568103496223318,19.36217856
qwen35_capture_confirmation,qwen35,512,477,local,0.44862786928812665,0.0012105461835108457,20.687168
qwen35_capture_confirmation,qwen35,512,477,retained,0.5541888872782389,0.002403275174491182,19.741065216
qwen35_capture_confirmation,qwen35,1024,904,local,0.7889450391133627,0.002789405303189094,22.703416832
qwen35_capture_confirmation,qwen35,1024,904,retained,0.7935053507486979,0.0032072526910540437,20.50256384
qwen35_capture_pilot,qwen35,128,157,filtered,0.32546480496724445,0.0026810538477051163,19.17167872
qwen35_capture_pilot,qwen35,128,157,local,0.27765941619873047,0.00014017566186776435,19.466898432
qwen35_capture_pilot,qwen35,128,157,retained,0.4765770435333252,0.017979332648649503,19.17167872
qwen35_code_local_production,qwen35,128,157,local,0.32377171516418457,0.0017983550506308912,19.17167872
qwen35_code_local_production,qwen35,128,157,retained,0.502079963684082,0.008053320187353634,19.17167872
qwen35_code_local_production,qwen35,256,264,local,0.33247073491414386,0.014402732647395415,19.36217856
qwen35_code_local_production,qwen35,256,264,retained,0.5293420950571696,0.007557747582016886,19.36217856
qwen35_code_local_production,qwen35,512,477,local,0.4538729190826416,0.010096380559497716,19.741065216
qwen35_code_local_production,qwen35,512,477,retained,0.5690717697143555,0.04834244195766232,19.741065216
qwen35_code_local_production,qwen35,1024,904,local,0.8032540480295817,0.001491749076432566,20.50256384
qwen35_code_local_production,qwen35,1024,904,retained,0.79948623975118,0.0067174953520556585,20.50256384
qwen3_capture_pilot,qwen3,128,158,local,0.3000791072845459,0.014198833885446991,16.734127616
qwen3_capture_pilot,qwen3,128,158,retained,0.29452983538309735,0.0014416319401173781,16.734127616
