`torch_dtype` is deprecated! Use `dtype` instead!
Loading checkpoint shards:   0%|          | 0/5 [00:00<?, ?it/s]Loading checkpoint shards:  20%|██        | 1/5 [00:01<00:07,  1.93s/it]Loading checkpoint shards:  40%|████      | 2/5 [00:03<00:05,  1.94s/it]Loading checkpoint shards:  60%|██████    | 3/5 [00:05<00:03,  1.93s/it]Loading checkpoint shards:  80%|████████  | 4/5 [00:07<00:01,  1.79s/it]Loading checkpoint shards: 100%|██████████| 5/5 [00:08<00:00,  1.38s/it]Loading checkpoint shards: 100%|██████████| 5/5 [00:08<00:00,  1.60s/it]
{"family": "qwen3", "attr_func": "IG", "target_input_tokens": 128, "phase": "original3", "repeat": 0, "status": "ok", "time_sec": 29.311763763427734, "peak_allocated_gb": 62.629260288}
{"family": "qwen3", "attr_func": "IG", "target_input_tokens": 128, "phase": "original3", "repeat": 1, "status": "ok", "time_sec": 28.453161001205444, "peak_allocated_gb": 62.629231616}
{"family": "qwen3", "attr_func": "IG", "target_input_tokens": 128, "phase": "original3", "repeat": 2, "status": "ok", "time_sec": 28.383957147598267, "peak_allocated_gb": 62.628629504}
{"family": "qwen3", "attr_func": "IG", "target_input_tokens": 256, "phase": "original3", "repeat": 0, "status": "oom", "time_sec": null, "peak_allocated_gb": 66.291707904}
{"family": "qwen3", "attr_func": "IG", "target_input_tokens": 256, "phase": "original3", "repeat": 1, "status": "oom", "time_sec": null, "peak_allocated_gb": 66.291707904}
{"family": "qwen3", "attr_func": "IG", "target_input_tokens": 256, "phase": "original3", "repeat": 2, "status": "oom", "time_sec": null, "peak_allocated_gb": 66.291707904}
{"family": "qwen3", "attr_func": "IG", "target_input_tokens": 512, "phase": "original3", "repeat": 0, "status": "oom", "time_sec": null, "peak_allocated_gb": 66.644583424}
{"family": "qwen3", "attr_func": "IG", "target_input_tokens": 512, "phase": "original3", "repeat": 1, "status": "oom", "time_sec": null, "peak_allocated_gb": 66.644583424}
{"family": "qwen3", "attr_func": "IG", "target_input_tokens": 512, "phase": "original3", "repeat": 2, "status": "oom", "time_sec": null, "peak_allocated_gb": 66.644583424}
{"family": "qwen3", "attr_func": "IG", "target_input_tokens": 1024, "phase": "original3", "repeat": 0, "status": "oom", "time_sec": null, "peak_allocated_gb": 65.66960384}
{"family": "qwen3", "attr_func": "IG", "target_input_tokens": 1024, "phase": "original3", "repeat": 1, "status": "oom", "time_sec": null, "peak_allocated_gb": 65.66960384}
{"family": "qwen3", "attr_func": "IG", "target_input_tokens": 1024, "phase": "original3", "repeat": 2, "status": "oom", "time_sec": null, "peak_allocated_gb": 65.66960384}
{"status": "complete", "error": null}
