`torch_dtype` is deprecated! Use `dtype` instead!
Loading checkpoint shards:   0%|          | 0/5 [00:00<?, ?it/s]Loading checkpoint shards:  20%|██        | 1/5 [00:01<00:07,  1.99s/it]Loading checkpoint shards:  40%|████      | 2/5 [00:03<00:05,  1.98s/it]Loading checkpoint shards:  60%|██████    | 3/5 [00:05<00:03,  1.97s/it]Loading checkpoint shards:  80%|████████  | 4/5 [00:07<00:01,  1.84s/it]Loading checkpoint shards: 100%|██████████| 5/5 [00:08<00:00,  1.43s/it]Loading checkpoint shards: 100%|██████████| 5/5 [00:08<00:00,  1.65s/it]
{"family": "qwen3", "attr_func": "attention_I_G", "target_input_tokens": 128, "phase": "original3", "repeat": 0, "status": "ok", "time_sec": 31.248430728912354, "peak_allocated_gb": 62.627788288}
{"family": "qwen3", "attr_func": "attention_I_G", "target_input_tokens": 128, "phase": "original3", "repeat": 1, "status": "ok", "time_sec": 30.355782508850098, "peak_allocated_gb": 62.630811136}
{"family": "qwen3", "attr_func": "attention_I_G", "target_input_tokens": 128, "phase": "original3", "repeat": 2, "status": "ok", "time_sec": 30.454224586486816, "peak_allocated_gb": 62.630237696}
{"family": "qwen3", "attr_func": "attention_I_G", "target_input_tokens": 256, "phase": "original3", "repeat": 0, "status": "oom", "time_sec": null, "peak_allocated_gb": 65.75823872}
{"family": "qwen3", "attr_func": "attention_I_G", "target_input_tokens": 256, "phase": "original3", "repeat": 1, "status": "oom", "time_sec": null, "peak_allocated_gb": 65.75823872}
{"family": "qwen3", "attr_func": "attention_I_G", "target_input_tokens": 256, "phase": "original3", "repeat": 2, "status": "oom", "time_sec": null, "peak_allocated_gb": 65.75823872}
{"family": "qwen3", "attr_func": "attention_I_G", "target_input_tokens": 512, "phase": "original3", "repeat": 0, "status": "oom", "time_sec": null, "peak_allocated_gb": 65.592365056}
{"family": "qwen3", "attr_func": "attention_I_G", "target_input_tokens": 512, "phase": "original3", "repeat": 1, "status": "oom", "time_sec": null, "peak_allocated_gb": 65.592365056}
{"family": "qwen3", "attr_func": "attention_I_G", "target_input_tokens": 512, "phase": "original3", "repeat": 2, "status": "oom", "time_sec": null, "peak_allocated_gb": 65.592365056}
{"family": "qwen3", "attr_func": "attention_I_G", "target_input_tokens": 1024, "phase": "original3", "repeat": 0, "status": "oom", "time_sec": null, "peak_allocated_gb": 65.523670528}
{"family": "qwen3", "attr_func": "attention_I_G", "target_input_tokens": 1024, "phase": "original3", "repeat": 1, "status": "oom", "time_sec": null, "peak_allocated_gb": 65.523670528}
{"family": "qwen3", "attr_func": "attention_I_G", "target_input_tokens": 1024, "phase": "original3", "repeat": 2, "status": "oom", "time_sec": null, "peak_allocated_gb": 65.523670528}
{"status": "complete", "error": null}
