`torch_dtype` is deprecated! Use `dtype` instead!
Loading checkpoint shards:   0%|          | 0/5 [00:00<?, ?it/s]Loading checkpoint shards:  20%|██        | 1/5 [00:01<00:07,  1.90s/it]Loading checkpoint shards:  40%|████      | 2/5 [00:03<00:05,  1.90s/it]Loading checkpoint shards:  60%|██████    | 3/5 [00:05<00:03,  1.90s/it]Loading checkpoint shards:  80%|████████  | 4/5 [00:07<00:01,  1.76s/it]Loading checkpoint shards: 100%|██████████| 5/5 [00:07<00:00,  1.35s/it]Loading checkpoint shards: 100%|██████████| 5/5 [00:07<00:00,  1.58s/it]
{"family": "qwen3", "attr_func": "attnlrp", "target_input_tokens": 128, "phase": "original3", "repeat": 0, "status": "ok", "time_sec": 3.886458158493042, "peak_allocated_gb": 34.197786112}
{"family": "qwen3", "attr_func": "attnlrp", "target_input_tokens": 128, "phase": "original3", "repeat": 1, "status": "ok", "time_sec": 3.2215592861175537, "peak_allocated_gb": 34.218424832}
{"family": "qwen3", "attr_func": "attnlrp", "target_input_tokens": 128, "phase": "original3", "repeat": 2, "status": "ok", "time_sec": 3.2332234382629395, "peak_allocated_gb": 34.218424832}
{"family": "qwen3", "attr_func": "attnlrp", "target_input_tokens": 256, "phase": "original3", "repeat": 0, "status": "ok", "time_sec": 4.032897233963013, "peak_allocated_gb": 35.258331648}
{"family": "qwen3", "attr_func": "attnlrp", "target_input_tokens": 256, "phase": "original3", "repeat": 1, "status": "ok", "time_sec": 4.044389486312866, "peak_allocated_gb": 35.258331648}
{"family": "qwen3", "attr_func": "attnlrp", "target_input_tokens": 256, "phase": "original3", "repeat": 2, "status": "ok", "time_sec": 4.017289638519287, "peak_allocated_gb": 35.258331648}
{"family": "qwen3", "attr_func": "attnlrp", "target_input_tokens": 512, "phase": "original3", "repeat": 0, "status": "ok", "time_sec": 5.659780025482178, "peak_allocated_gb": 37.877357056}
{"family": "qwen3", "attr_func": "attnlrp", "target_input_tokens": 512, "phase": "original3", "repeat": 1, "status": "ok", "time_sec": 5.758308410644531, "peak_allocated_gb": 37.877357056}
{"family": "qwen3", "attr_func": "attnlrp", "target_input_tokens": 512, "phase": "original3", "repeat": 2, "status": "ok", "time_sec": 5.752157688140869, "peak_allocated_gb": 37.877357056}
{"family": "qwen3", "attr_func": "attnlrp", "target_input_tokens": 1024, "phase": "original3", "repeat": 0, "status": "ok", "time_sec": 9.599366426467896, "peak_allocated_gb": 44.927118848}
{"family": "qwen3", "attr_func": "attnlrp", "target_input_tokens": 1024, "phase": "original3", "repeat": 1, "status": "ok", "time_sec": 9.589902400970459, "peak_allocated_gb": 44.927118848}
{"family": "qwen3", "attr_func": "attnlrp", "target_input_tokens": 1024, "phase": "original3", "repeat": 2, "status": "ok", "time_sec": 9.519972801208496, "peak_allocated_gb": 44.927118848}
{"status": "complete", "error": null}
