`torch_dtype` is deprecated! Use `dtype` instead!
Loading checkpoint shards:   0%|          | 0/5 [00:00<?, ?it/s]Loading checkpoint shards:  20%|██        | 1/5 [00:01<00:07,  1.78s/it]Loading checkpoint shards:  40%|████      | 2/5 [00:03<00:05,  1.78s/it]Loading checkpoint shards:  60%|██████    | 3/5 [00:05<00:03,  1.79s/it]Loading checkpoint shards:  80%|████████  | 4/5 [00:06<00:01,  1.67s/it]Loading checkpoint shards: 100%|██████████| 5/5 [00:07<00:00,  1.28s/it]Loading checkpoint shards: 100%|██████████| 5/5 [00:07<00:00,  1.49s/it]
{"family": "qwen3", "attr_func": "ifr_multi_hop", "target_input_tokens": 128, "phase": "original3", "repeat": 0, "status": "ok", "time_sec": 0.8414332866668701, "peak_allocated_gb": 16.918581248}
{"family": "qwen3", "attr_func": "ifr_multi_hop", "target_input_tokens": 128, "phase": "original3", "repeat": 1, "status": "ok", "time_sec": 0.19058799743652344, "peak_allocated_gb": 16.918581248}
{"family": "qwen3", "attr_func": "ifr_multi_hop", "target_input_tokens": 128, "phase": "original3", "repeat": 2, "status": "ok", "time_sec": 0.1903247833251953, "peak_allocated_gb": 16.918581248}
{"family": "qwen3", "attr_func": "ifr_multi_hop", "target_input_tokens": 128, "phase": "warm3", "repeat": 3, "status": "ok", "time_sec": 0.22649741172790527, "peak_allocated_gb": 16.918581248}
{"family": "qwen3", "attr_func": "ifr_multi_hop", "target_input_tokens": 128, "phase": "warm3", "repeat": 4, "status": "ok", "time_sec": 0.24096465110778809, "peak_allocated_gb": 16.918581248}
{"family": "qwen3", "attr_func": "ifr_multi_hop", "target_input_tokens": 128, "phase": "warm3", "repeat": 5, "status": "ok", "time_sec": 0.22004127502441406, "peak_allocated_gb": 16.918581248}
{"family": "qwen3", "attr_func": "ifr_multi_hop", "target_input_tokens": 256, "phase": "original3", "repeat": 0, "status": "ok", "time_sec": 0.27626609802246094, "peak_allocated_gb": 17.118296064}
{"family": "qwen3", "attr_func": "ifr_multi_hop", "target_input_tokens": 256, "phase": "original3", "repeat": 1, "status": "ok", "time_sec": 0.26999688148498535, "peak_allocated_gb": 17.118296064}
{"family": "qwen3", "attr_func": "ifr_multi_hop", "target_input_tokens": 256, "phase": "original3", "repeat": 2, "status": "ok", "time_sec": 0.26670336723327637, "peak_allocated_gb": 17.118296064}
{"family": "qwen3", "attr_func": "ifr_multi_hop", "target_input_tokens": 256, "phase": "warm3", "repeat": 3, "status": "ok", "time_sec": 0.272230863571167, "peak_allocated_gb": 17.118296064}
{"family": "qwen3", "attr_func": "ifr_multi_hop", "target_input_tokens": 256, "phase": "warm3", "repeat": 4, "status": "ok", "time_sec": 0.2708873748779297, "peak_allocated_gb": 17.118296064}
{"family": "qwen3", "attr_func": "ifr_multi_hop", "target_input_tokens": 256, "phase": "warm3", "repeat": 5, "status": "ok", "time_sec": 0.2818949222564697, "peak_allocated_gb": 17.118296064}
{"family": "qwen3", "attr_func": "ifr_multi_hop", "target_input_tokens": 512, "phase": "original3", "repeat": 0, "status": "ok", "time_sec": 0.3665449619293213, "peak_allocated_gb": 17.665522688}
{"family": "qwen3", "attr_func": "ifr_multi_hop", "target_input_tokens": 512, "phase": "original3", "repeat": 1, "status": "ok", "time_sec": 0.36234021186828613, "peak_allocated_gb": 17.665522688}
{"family": "qwen3", "attr_func": "ifr_multi_hop", "target_input_tokens": 512, "phase": "original3", "repeat": 2, "status": "ok", "time_sec": 0.35954761505126953, "peak_allocated_gb": 17.665522688}
{"family": "qwen3", "attr_func": "ifr_multi_hop", "target_input_tokens": 512, "phase": "warm3", "repeat": 3, "status": "ok", "time_sec": 0.3575563430786133, "peak_allocated_gb": 17.665522688}
{"family": "qwen3", "attr_func": "ifr_multi_hop", "target_input_tokens": 512, "phase": "warm3", "repeat": 4, "status": "ok", "time_sec": 0.35776257514953613, "peak_allocated_gb": 17.665522688}
{"family": "qwen3", "attr_func": "ifr_multi_hop", "target_input_tokens": 512, "phase": "warm3", "repeat": 5, "status": "ok", "time_sec": 0.3596024513244629, "peak_allocated_gb": 17.665522688}
{"family": "qwen3", "attr_func": "ifr_multi_hop", "target_input_tokens": 1024, "phase": "original3", "repeat": 0, "status": "ok", "time_sec": 0.5767815113067627, "peak_allocated_gb": 19.437133312}
{"family": "qwen3", "attr_func": "ifr_multi_hop", "target_input_tokens": 1024, "phase": "original3", "repeat": 1, "status": "ok", "time_sec": 0.5694224834442139, "peak_allocated_gb": 19.437133312}
{"family": "qwen3", "attr_func": "ifr_multi_hop", "target_input_tokens": 1024, "phase": "original3", "repeat": 2, "status": "ok", "time_sec": 0.5691931247711182, "peak_allocated_gb": 19.437133312}
{"family": "qwen3", "attr_func": "ifr_multi_hop", "target_input_tokens": 1024, "phase": "warm3", "repeat": 3, "status": "ok", "time_sec": 0.5680677890777588, "peak_allocated_gb": 19.437133312}
{"family": "qwen3", "attr_func": "ifr_multi_hop", "target_input_tokens": 1024, "phase": "warm3", "repeat": 4, "status": "ok", "time_sec": 0.5717756748199463, "peak_allocated_gb": 19.437133312}
{"family": "qwen3", "attr_func": "ifr_multi_hop", "target_input_tokens": 1024, "phase": "warm3", "repeat": 5, "status": "ok", "time_sec": 0.5682919025421143, "peak_allocated_gb": 19.437133312}
{"status": "complete", "error": null}
