`torch_dtype` is deprecated! Use `dtype` instead!
Loading checkpoint shards:   0%|          | 0/5 [00:00<?, ?it/s]Loading checkpoint shards:  20%|██        | 1/5 [00:01<00:07,  1.83s/it]Loading checkpoint shards:  40%|████      | 2/5 [00:03<00:05,  1.83s/it]Loading checkpoint shards:  60%|██████    | 3/5 [00:05<00:03,  1.82s/it]Loading checkpoint shards:  80%|████████  | 4/5 [00:06<00:01,  1.69s/it]Loading checkpoint shards: 100%|██████████| 5/5 [00:07<00:00,  1.29s/it]Loading checkpoint shards: 100%|██████████| 5/5 [00:07<00:00,  1.51s/it]
{"family": "qwen3", "attr_func": "ifr_multi_hop_both", "target_input_tokens": 128, "phase": "original3", "repeat": 0, "status": "ok", "time_sec": 0.8677122592926025, "peak_allocated_gb": 16.918830592}
{"family": "qwen3", "attr_func": "ifr_multi_hop_both", "target_input_tokens": 128, "phase": "original3", "repeat": 1, "status": "ok", "time_sec": 0.20145869255065918, "peak_allocated_gb": 16.918830592}
{"family": "qwen3", "attr_func": "ifr_multi_hop_both", "target_input_tokens": 128, "phase": "original3", "repeat": 2, "status": "ok", "time_sec": 0.2016751766204834, "peak_allocated_gb": 16.918830592}
{"family": "qwen3", "attr_func": "ifr_multi_hop_both", "target_input_tokens": 128, "phase": "warm3", "repeat": 3, "status": "ok", "time_sec": 0.2053682804107666, "peak_allocated_gb": 16.918830592}
{"family": "qwen3", "attr_func": "ifr_multi_hop_both", "target_input_tokens": 128, "phase": "warm3", "repeat": 4, "status": "ok", "time_sec": 0.20578956604003906, "peak_allocated_gb": 16.918830592}
{"family": "qwen3", "attr_func": "ifr_multi_hop_both", "target_input_tokens": 128, "phase": "warm3", "repeat": 5, "status": "ok", "time_sec": 0.20098376274108887, "peak_allocated_gb": 16.918830592}
{"family": "qwen3", "attr_func": "ifr_multi_hop_both", "target_input_tokens": 256, "phase": "original3", "repeat": 0, "status": "ok", "time_sec": 0.2557566165924072, "peak_allocated_gb": 17.118198784}
{"family": "qwen3", "attr_func": "ifr_multi_hop_both", "target_input_tokens": 256, "phase": "original3", "repeat": 1, "status": "ok", "time_sec": 0.25301575660705566, "peak_allocated_gb": 17.118198784}
{"family": "qwen3", "attr_func": "ifr_multi_hop_both", "target_input_tokens": 256, "phase": "original3", "repeat": 2, "status": "ok", "time_sec": 0.24912428855895996, "peak_allocated_gb": 17.118198784}
{"family": "qwen3", "attr_func": "ifr_multi_hop_both", "target_input_tokens": 256, "phase": "warm3", "repeat": 3, "status": "ok", "time_sec": 0.24714040756225586, "peak_allocated_gb": 17.118198784}
{"family": "qwen3", "attr_func": "ifr_multi_hop_both", "target_input_tokens": 256, "phase": "warm3", "repeat": 4, "status": "ok", "time_sec": 0.24593830108642578, "peak_allocated_gb": 17.118198784}
{"family": "qwen3", "attr_func": "ifr_multi_hop_both", "target_input_tokens": 256, "phase": "warm3", "repeat": 5, "status": "ok", "time_sec": 0.24817562103271484, "peak_allocated_gb": 17.118198784}
{"family": "qwen3", "attr_func": "ifr_multi_hop_both", "target_input_tokens": 512, "phase": "original3", "repeat": 0, "status": "ok", "time_sec": 0.3448367118835449, "peak_allocated_gb": 17.66468608}
{"family": "qwen3", "attr_func": "ifr_multi_hop_both", "target_input_tokens": 512, "phase": "original3", "repeat": 1, "status": "ok", "time_sec": 0.3373699188232422, "peak_allocated_gb": 17.66468608}
{"family": "qwen3", "attr_func": "ifr_multi_hop_both", "target_input_tokens": 512, "phase": "original3", "repeat": 2, "status": "ok", "time_sec": 0.33658647537231445, "peak_allocated_gb": 17.66468608}
{"family": "qwen3", "attr_func": "ifr_multi_hop_both", "target_input_tokens": 512, "phase": "warm3", "repeat": 3, "status": "ok", "time_sec": 0.33724045753479004, "peak_allocated_gb": 17.66468608}
{"family": "qwen3", "attr_func": "ifr_multi_hop_both", "target_input_tokens": 512, "phase": "warm3", "repeat": 4, "status": "ok", "time_sec": 0.3369619846343994, "peak_allocated_gb": 17.66468608}
{"family": "qwen3", "attr_func": "ifr_multi_hop_both", "target_input_tokens": 512, "phase": "warm3", "repeat": 5, "status": "ok", "time_sec": 0.3381540775299072, "peak_allocated_gb": 17.66468608}
{"family": "qwen3", "attr_func": "ifr_multi_hop_both", "target_input_tokens": 1024, "phase": "original3", "repeat": 0, "status": "ok", "time_sec": 0.5565032958984375, "peak_allocated_gb": 19.437133312}
{"family": "qwen3", "attr_func": "ifr_multi_hop_both", "target_input_tokens": 1024, "phase": "original3", "repeat": 1, "status": "ok", "time_sec": 0.5534954071044922, "peak_allocated_gb": 19.437133312}
{"family": "qwen3", "attr_func": "ifr_multi_hop_both", "target_input_tokens": 1024, "phase": "original3", "repeat": 2, "status": "ok", "time_sec": 0.5508346557617188, "peak_allocated_gb": 19.437133312}
{"family": "qwen3", "attr_func": "ifr_multi_hop_both", "target_input_tokens": 1024, "phase": "warm3", "repeat": 3, "status": "ok", "time_sec": 0.5874671936035156, "peak_allocated_gb": 19.437133312}
{"family": "qwen3", "attr_func": "ifr_multi_hop_both", "target_input_tokens": 1024, "phase": "warm3", "repeat": 4, "status": "ok", "time_sec": 0.5869622230529785, "peak_allocated_gb": 19.437133312}
{"family": "qwen3", "attr_func": "ifr_multi_hop_both", "target_input_tokens": 1024, "phase": "warm3", "repeat": 5, "status": "ok", "time_sec": 0.5873839855194092, "peak_allocated_gb": 19.437133312}
{"status": "complete", "error": null}
