`torch_dtype` is deprecated! Use `dtype` instead!
Loading checkpoint shards:   0%|          | 0/5 [00:00<?, ?it/s]Loading checkpoint shards:  20%|██        | 1/5 [00:01<00:07,  1.99s/it]Loading checkpoint shards:  40%|████      | 2/5 [00:03<00:05,  1.99s/it]Loading checkpoint shards:  60%|██████    | 3/5 [00:05<00:03,  1.99s/it]Loading checkpoint shards:  80%|████████  | 4/5 [00:07<00:01,  1.84s/it]Loading checkpoint shards: 100%|██████████| 5/5 [00:08<00:00,  1.42s/it]Loading checkpoint shards: 100%|██████████| 5/5 [00:08<00:00,  1.65s/it]
{"family": "qwen3", "attr_func": "perturbation_CLP", "target_input_tokens": 128, "phase": "original3", "repeat": 0, "status": "ok", "time_sec": 9.80721139907837, "peak_allocated_gb": 18.77739776}
{"family": "qwen3", "attr_func": "perturbation_CLP", "target_input_tokens": 128, "phase": "original3", "repeat": 1, "status": "ok", "time_sec": 9.142504930496216, "peak_allocated_gb": 18.77739776}
{"family": "qwen3", "attr_func": "perturbation_CLP", "target_input_tokens": 128, "phase": "original3", "repeat": 2, "status": "ok", "time_sec": 9.16029691696167, "peak_allocated_gb": 18.77739776}
{"family": "qwen3", "attr_func": "perturbation_CLP", "target_input_tokens": 256, "phase": "original3", "repeat": 0, "status": "ok", "time_sec": 16.647515296936035, "peak_allocated_gb": 20.066674176}
{"family": "qwen3", "attr_func": "perturbation_CLP", "target_input_tokens": 256, "phase": "original3", "repeat": 1, "status": "ok", "time_sec": 15.452248096466064, "peak_allocated_gb": 20.066674176}
{"family": "qwen3", "attr_func": "perturbation_CLP", "target_input_tokens": 256, "phase": "original3", "repeat": 2, "status": "ok", "time_sec": 14.403933048248291, "peak_allocated_gb": 20.066674176}
{"family": "qwen3", "attr_func": "perturbation_CLP", "target_input_tokens": 512, "phase": "original3", "repeat": 0, "status": "ok", "time_sec": 44.02574634552002, "peak_allocated_gb": 23.276887552}
{"family": "qwen3", "attr_func": "perturbation_CLP", "target_input_tokens": 512, "phase": "original3", "repeat": 1, "status": "ok", "time_sec": 44.488871335983276, "peak_allocated_gb": 23.276887552}
{"family": "qwen3", "attr_func": "perturbation_CLP", "target_input_tokens": 512, "phase": "original3", "repeat": 2, "status": "ok", "time_sec": 43.624953746795654, "peak_allocated_gb": 23.276887552}
{"family": "qwen3", "attr_func": "perturbation_CLP", "target_input_tokens": 1024, "phase": "original3", "repeat": 0, "status": "ok", "time_sec": 147.8976287841797, "peak_allocated_gb": 31.384974848}
{"family": "qwen3", "attr_func": "perturbation_CLP", "target_input_tokens": 1024, "phase": "original3", "repeat": 1, "status": "ok", "time_sec": 145.08796286582947, "peak_allocated_gb": 31.384974848}
{"family": "qwen3", "attr_func": "perturbation_CLP", "target_input_tokens": 1024, "phase": "original3", "repeat": 2, "status": "ok", "time_sec": 147.44016933441162, "peak_allocated_gb": 31.384974848}
{"status": "complete", "error": null}
