`torch_dtype` is deprecated! Use `dtype` instead!
Loading checkpoint shards:   0%|          | 0/5 [00:00<?, ?it/s]Loading checkpoint shards:  20%|██        | 1/5 [00:01<00:07,  1.95s/it]Loading checkpoint shards:  40%|████      | 2/5 [00:03<00:05,  1.96s/it]Loading checkpoint shards:  60%|██████    | 3/5 [00:05<00:03,  1.95s/it]Loading checkpoint shards:  80%|████████  | 4/5 [00:07<00:01,  1.83s/it]Loading checkpoint shards: 100%|██████████| 5/5 [00:08<00:00,  1.41s/it]Loading checkpoint shards: 100%|██████████| 5/5 [00:08<00:00,  1.64s/it]
{"family": "qwen3", "attr_func": "perturbation_all", "target_input_tokens": 128, "phase": "original3", "repeat": 0, "status": "ok", "time_sec": 9.81853437423706, "peak_allocated_gb": 18.680036352}
{"family": "qwen3", "attr_func": "perturbation_all", "target_input_tokens": 128, "phase": "original3", "repeat": 1, "status": "ok", "time_sec": 7.070512056350708, "peak_allocated_gb": 18.680036352}
{"family": "qwen3", "attr_func": "perturbation_all", "target_input_tokens": 128, "phase": "original3", "repeat": 2, "status": "ok", "time_sec": 7.0584330558776855, "peak_allocated_gb": 18.680036352}
{"family": "qwen3", "attr_func": "perturbation_all", "target_input_tokens": 256, "phase": "original3", "repeat": 0, "status": "ok", "time_sec": 14.464661598205566, "peak_allocated_gb": 19.902654976}
{"family": "qwen3", "attr_func": "perturbation_all", "target_input_tokens": 256, "phase": "original3", "repeat": 1, "status": "ok", "time_sec": 14.408805847167969, "peak_allocated_gb": 19.902654976}
{"family": "qwen3", "attr_func": "perturbation_all", "target_input_tokens": 256, "phase": "original3", "repeat": 2, "status": "ok", "time_sec": 14.630154371261597, "peak_allocated_gb": 19.902654976}
{"family": "qwen3", "attr_func": "perturbation_all", "target_input_tokens": 512, "phase": "original3", "repeat": 0, "status": "ok", "time_sec": 40.55717492103577, "peak_allocated_gb": 22.983652864}
{"family": "qwen3", "attr_func": "perturbation_all", "target_input_tokens": 512, "phase": "original3", "repeat": 1, "status": "ok", "time_sec": 40.62896513938904, "peak_allocated_gb": 22.983652864}
{"family": "qwen3", "attr_func": "perturbation_all", "target_input_tokens": 512, "phase": "original3", "repeat": 2, "status": "ok", "time_sec": 40.41191601753235, "peak_allocated_gb": 22.983652864}
{"family": "qwen3", "attr_func": "perturbation_all", "target_input_tokens": 1024, "phase": "original3", "repeat": 0, "status": "ok", "time_sec": 145.04136395454407, "peak_allocated_gb": 30.837335552}
{"family": "qwen3", "attr_func": "perturbation_all", "target_input_tokens": 1024, "phase": "original3", "repeat": 1, "status": "ok", "time_sec": 147.79073858261108, "peak_allocated_gb": 30.837335552}
{"family": "qwen3", "attr_func": "perturbation_all", "target_input_tokens": 1024, "phase": "original3", "repeat": 2, "status": "ok", "time_sec": 145.86653089523315, "peak_allocated_gb": 30.837335552}
{"status": "complete", "error": null}
