case,length,all_six_complete_vectors_equal,baseline_seconds,baseline_peak_bytes,baseline_first_shape_seconds,candidate_seconds,candidate_peak_bytes,candidate_first_shape_seconds,reduction_fraction
niah_mq_q2_0,601,True,0.5213733520358801,17782904832,6.790893157944083,0.48577496968209743,17782904832,0.4757703132927418,0.06827810093242515
niah_mq_q2_1,1214,True,0.9376115268096328,18697447424,0.9383338559418917,0.882577951066196,18607941632,0.8695730846375227,0.0586954982632274
niah_mq_q2_2,1241,True,0.9531847238540649,18760290304,0.9560573622584343,0.9070547614246607,18673127936,0.9044808614999056,0.04839561658403879
niah_mq_q2_3,586,True,0.5194370429962873,17742554624,0.5164847075939178,0.4786118473857641,17742554624,0.4756647888571024,0.07859507934788357
niah_mq_q2_4,1188,True,0.9146639183163643,18635980800,0.9289941173046827,0.8689406290650368,18548391936,0.8572620525956154,0.04998916906604456
niah_mq_q2_5,1220,True,0.9441925557330251,18710404096,0.9413099642843008,0.8946898560971022,18620455936,0.8891559261828661,0.05242860615173084
niah_mq_q2_6,607,True,0.5271523119881749,17826758144,0.5315553955733776,0.49058188404887915,17826758144,0.48087423853576183,0.06937355126333222
niah_mq_q2_7,1217,True,0.9437419166788459,18703970816,0.9455988928675652,0.8963669771328568,18613838336,0.8917891420423985,0.05019904139969511
morehopqa_0,861,True,0.7150273323059082,18577120256,0.7142489235848188,0.670223893597722,18577120256,0.6772966310381889,0.0626597567448205
morehopqa_1,367,True,0.3603942086920142,17242613760,0.3773893974721432,0.3490847600623965,17242613760,0.363883538171649,0.03138077237884396
morehopqa_2,719,True,0.5768164647743106,17872303104,0.5813753362745047,0.5403552418574691,17872303104,0.5308261271566153,0.06321113411890489
morehopqa_3,771,True,0.637167545966804,18062750208,0.6511624529957771,0.5843163272365928,18062750208,0.5833791829645634,0.08294712915739866
morehopqa_4,736,True,0.5920132882893085,18664380416,0.5940147414803505,0.5503035355359316,18664380416,0.54458337277174,0.07045408199181158
morehopqa_5,355,True,0.3505300348624587,17321957376,0.3855079226195812,0.34955224581062794,17321957376,0.3548898007720709,0.002789458689936297
morehopqa_6,426,True,0.4042544523254037,17506627072,0.410411287099123,0.37623748555779457,17506627072,0.5267253145575523,0.06930527692755484
morehopqa_7,529,True,0.46197118517011404,17602012160,0.4626478999853134,0.43400253634899855,17602012160,0.4180588871240616,0.06054197690017493
