target_mode,view,fraction,n,method,recall
answer_conditioned,raw_restored,0.05,48,DT_target,0.1408567417070168
answer_conditioned,raw_restored,0.05,48,FT_K1,0.24767172748167
answer_conditioned,raw_restored,0.05,48,FT_K3,0.2621703368939385
answer_conditioned,raw_restored,0.1,48,DT_target,0.22887593346580323
answer_conditioned,raw_restored,0.1,48,FT_K1,0.3441734689211715
answer_conditioned,raw_restored,0.1,48,FT_K3,0.3713784849587863
answer_conditioned,raw_restored,0.2,48,DT_target,0.32842118769460305
answer_conditioned,raw_restored,0.2,48,FT_K1,0.5049228143169903
answer_conditioned,raw_restored,0.2,48,FT_K3,0.539210567405935
answer_conditioned,regex_anchor_restored,0.05,48,DT_target,0.28026071643385236
answer_conditioned,regex_anchor_restored,0.05,48,FT_K1,0.4198750153382444
answer_conditioned,regex_anchor_restored,0.05,48,FT_K3,0.43989009543582674
answer_conditioned,regex_anchor_restored,0.1,48,DT_target,0.45716360411283635
answer_conditioned,regex_anchor_restored,0.1,48,FT_K1,0.5880382251064922
answer_conditioned,regex_anchor_restored,0.1,48,FT_K3,0.6126794101842952
answer_conditioned,regex_anchor_restored,0.2,48,DT_target,0.6156015342287833
answer_conditioned,regex_anchor_restored,0.2,48,FT_K1,0.7119993315460965
answer_conditioned,regex_anchor_restored,0.2,48,FT_K3,0.7644015638692467
full,raw_restored,0.05,48,DT_target,0.26143846072108706
full,raw_restored,0.05,48,FT_K1,0.31443320810259245
full,raw_restored,0.05,48,FT_K3,0.31467926129106477
full,raw_restored,0.1,48,DT_target,0.4060166792806775
full,raw_restored,0.1,48,FT_K1,0.4532715428183662
full,raw_restored,0.1,48,FT_K3,0.45345238657907183
full,raw_restored,0.2,48,DT_target,0.5575475270666721
full,raw_restored,0.2,48,FT_K1,0.6139811269903616
full,raw_restored,0.2,48,FT_K3,0.6119229189634212
full,regex_anchor_restored,0.05,48,DT_target,0.47584275472972193
full,regex_anchor_restored,0.05,48,FT_K1,0.5141706386153327
full,regex_anchor_restored,0.05,48,FT_K3,0.5139334204431455
full,regex_anchor_restored,0.1,48,DT_target,0.7456932794063184
full,regex_anchor_restored,0.1,48,FT_K1,0.7141591203694361
full,regex_anchor_restored,0.1,48,FT_K3,0.7373274145516185
full,regex_anchor_restored,0.2,48,DT_target,0.8834684065992647
full,regex_anchor_restored,0.2,48,FT_K1,0.8260511767220379
full,regex_anchor_restored,0.2,48,FT_K3,0.8254068468251305
