target_mode,pooling,budget_unit,budget_value,n,method,precision,recall,f1,exact_match,complete_support,token_recall,fact_recall_ceiling,spent_all_tokens,unused_all_tokens,selected_sentences,empty_selection
answer_conditioned,positive_mean_eligible,all_body_tokens,0.05,48,DT_target,0.4861111111111111,0.3038194444444444,0.34831349206349205,0.020833333333333332,0.041666666666666664,0.2837555392301848,0.65625,46.416666666666664,19.104166666666668,1.7083333333333333,0.0625
answer_conditioned,positive_mean_eligible,all_body_tokens,0.05,48,FT_K1,0.5659722222222222,0.4010416666666667,0.4379960317460317,0.0,0.0625,0.37216196894482545,0.65625,49.958333333333336,15.5625,1.8125,0.10416666666666667
answer_conditioned,positive_mean_eligible,all_body_tokens,0.05,48,FT_K3,0.5659722222222222,0.40277777777777773,0.4373015873015873,0.0,0.0625,0.37320429128127636,0.65625,47.770833333333336,17.75,1.7916666666666667,0.125
answer_conditioned,positive_mean_eligible,all_body_tokens,0.1,48,DT_target,0.38219396344396345,0.4895833333333333,0.3987398018648019,0.020833333333333332,0.14583333333333334,0.48652037969759365,0.9305555555555555,113.04166666666667,17.520833333333332,3.8333333333333335,0.0
answer_conditioned,positive_mean_eligible,all_body_tokens,0.1,48,FT_K1,0.45682043650793647,0.6163194444444444,0.49208002645502646,0.041666666666666664,0.22916666666666666,0.5845039716504137,0.9305555555555555,113.1875,17.375,4.0,0.0
answer_conditioned,positive_mean_eligible,all_body_tokens,0.1,48,FT_K3,0.46613756613756613,0.6475694444444445,0.5080221861471862,0.020833333333333332,0.2916666666666667,0.6257283036702748,0.9305555555555555,117.39583333333333,13.166666666666666,4.083333333333333,0.0
answer_conditioned,positive_mean_eligible,all_body_tokens,0.2,48,DT_target,0.22283490814740814,0.6336805555555556,0.31700219148135816,0.0,0.2916666666666667,0.634693856407926,1.0,244.5625,15.958333333333334,8.416666666666666,0.0
answer_conditioned,positive_mean_eligible,all_body_tokens,0.2,48,FT_K1,0.2478358812240391,0.7447916666666666,0.3599485005735006,0.0,0.4583333333333333,0.7181058597744331,1.0,240.66666666666666,19.854166666666668,8.479166666666666,0.0
answer_conditioned,positive_mean_eligible,all_body_tokens,0.2,48,FT_K3,0.2681363562120141,0.8194444444444445,0.39155358530358536,0.0,0.5625,0.7860420810770771,1.0,242.625,17.895833333333332,8.604166666666666,0.0
answer_conditioned,positive_mean_eligible,sentences,2,48,DT_target,0.46875,0.3767361111111111,0.41111111111111115,0.020833333333333332,0.020833333333333332,0.3755223181172546,0.829861111111111,65.70833333333333,0.0,2.0,0.0
answer_conditioned,positive_mean_eligible,sentences,2,48,FT_K1,0.5729166666666666,0.4635416666666667,0.5041666666666667,0.0625,0.0625,0.45212310910373615,0.829861111111111,61.8125,0.0,2.0,0.0
answer_conditioned,positive_mean_eligible,sentences,2,48,FT_K3,0.59375,0.4774305555555555,0.5208333333333334,0.0625,0.0625,0.46539898794302553,0.829861111111111,62.833333333333336,0.0,2.0,0.0
answer_conditioned,positive_mean_eligible,sentences,4,48,DT_target,0.3385416666666667,0.5277777777777778,0.40525793650793646,0.0,0.1875,0.5201163780110774,1.0,129.39583333333334,0.0,4.0,0.0
answer_conditioned,positive_mean_eligible,sentences,4,48,FT_K1,0.40625,0.6475694444444444,0.49082341269841273,0.0,0.2916666666666667,0.6221195149434997,1.0,118.0,0.0,4.0,0.0
answer_conditioned,positive_mean_eligible,sentences,4,48,FT_K3,0.4270833333333333,0.6788194444444445,0.515625,0.0,0.3333333333333333,0.6506746713080456,1.0,116.95833333333333,0.0,4.0,0.0
answer_conditioned,positive_mean_eligible,sentences,8,48,DT_target,0.21875,0.6840277777777778,0.32689393939393935,0.0,0.375,0.6732245274715453,1.0,241.1875,0.0,8.0,0.0
answer_conditioned,positive_mean_eligible,sentences,8,48,FT_K1,0.23697916666666666,0.7395833333333334,0.3539141414141414,0.0,0.4583333333333333,0.7211730932809676,1.0,239.1875,0.0,8.0,0.0
answer_conditioned,positive_mean_eligible,sentences,8,48,FT_K3,0.2578125,0.8072916666666666,0.3854166666666667,0.0,0.5625,0.7734078052381991,1.0,236.10416666666666,0.0,8.0,0.0
answer_conditioned,signed_sum,all_body_tokens,0.05,48,DT_target,0.4270833333333333,0.21006944444444442,0.2701388888888889,0.0,0.0,0.20889798700110965,0.65625,43.125,22.395833333333332,1.3125,0.14583333333333334
answer_conditioned,signed_sum,all_body_tokens,0.05,48,FT_K1,0.5729166666666666,0.30034722222222215,0.37886904761904755,0.0,0.0,0.30380291515275964,0.65625,36.875,28.645833333333332,1.1041666666666667,0.22916666666666666
answer_conditioned,signed_sum,all_body_tokens,0.05,48,FT_K3,0.576388888888889,0.30034722222222215,0.38095238095238093,0.0,0.0,0.30380291515275964,0.65625,37.104166666666664,28.416666666666668,1.1041666666666667,0.22916666666666666
answer_conditioned,signed_sum,all_body_tokens,0.1,48,DT_target,0.3597222222222222,0.35590277777777785,0.3419642857142857,0.041666666666666664,0.10416666666666667,0.3540017911903714,0.9305555555555555,107.66666666666667,22.895833333333332,3.2916666666666665,0.0
answer_conditioned,signed_sum,all_body_tokens,0.1,48,FT_K1,0.5427083333333333,0.4930555555555555,0.48353174603174603,0.041666666666666664,0.125,0.5218227799829483,0.9305555555555555,103.29166666666667,27.270833333333332,2.6458333333333335,0.0
answer_conditioned,signed_sum,all_body_tokens,0.1,48,FT_K3,0.5541666666666667,0.5104166666666666,0.49806547619047614,0.041666666666666664,0.125,0.5354960544037748,0.9305555555555555,101.91666666666667,28.645833333333332,2.6458333333333335,0.0
answer_conditioned,signed_sum,all_body_tokens,0.2,48,DT_target,0.2031107202982203,0.44965277777777773,0.2695464257964258,0.0,0.16666666666666666,0.4565210644870828,1.0,236.47916666666666,24.041666666666668,7.041666666666667,0.0
answer_conditioned,signed_sum,all_body_tokens,0.2,48,FT_K1,0.30539021164021163,0.623263888888889,0.3920567858067858,0.0,0.2708333333333333,0.6576006664211439,1.0,237.5625,22.958333333333332,5.729166666666667,0.0
answer_conditioned,signed_sum,all_body_tokens,0.2,48,FT_K3,0.33540013227513227,0.6788194444444443,0.42930032930032924,0.020833333333333332,0.3541666666666667,0.7069079246380853,1.0,236.27083333333334,24.25,5.75,0.0
answer_conditioned,signed_sum,sentences,2,48,DT_target,0.3958333333333333,0.31249999999999994,0.34375,0.020833333333333332,0.020833333333333332,0.3174476509625572,0.829861111111111,76.91666666666667,0.0,2.0,0.0
answer_conditioned,signed_sum,sentences,2,48,FT_K1,0.5625,0.453125,0.49374999999999997,0.041666666666666664,0.041666666666666664,0.47906573051688256,0.829861111111111,86.70833333333333,0.0,2.0,0.0
answer_conditioned,signed_sum,sentences,2,48,FT_K3,0.5833333333333334,0.4739583333333333,0.5145833333333333,0.0625,0.0625,0.4973742694622139,0.829861111111111,85.75,0.0,2.0,0.0
answer_conditioned,signed_sum,sentences,4,48,DT_target,0.25,0.39409722222222215,0.30133928571428575,0.0,0.125,0.39039453613088604,1.0,151.66666666666666,0.0,4.0,0.0
answer_conditioned,signed_sum,sentences,4,48,FT_K1,0.3697916666666667,0.6006944444444445,0.45089285714285715,0.0,0.2708333333333333,0.6235680575120126,1.0,178.85416666666666,0.0,4.0,0.0
answer_conditioned,signed_sum,sentences,4,48,FT_K3,0.3854166666666667,0.6284722222222222,0.470734126984127,0.0,0.2916666666666667,0.6432344826177704,1.0,177.27083333333334,0.0,4.0,0.0
