index,target_mode,method,all_body_tokens,eligible_body_tokens,omitted_tokens,signed_body_sum,positive_body_sum,negative_body_sum
0,full,DT_target,2883,2659,224,39.46854232267895,42.93429796038559,-3.4657556377066396
0,full,FT_K1,2883,2659,224,1.911096411098697,1.911096411098697,0.0
0,full,FT_K3,2883,2659,224,1.8702006570310914,1.8702006570310914,0.0
1,full,DT_target,1163,1066,97,30.542190572659567,33.15235730096049,-2.610166728300925
1,full,FT_K1,1163,1066,97,1.15191837774546,1.15191837774546,0.0
1,full,FT_K3,1163,1066,97,1.1410308501435793,1.1410308501435793,0.0
2,full,DT_target,1183,1079,104,32.57138660947777,33.951396528200625,-1.3800099187228483
2,full,FT_K1,1183,1079,104,10.782183547446039,10.782183547446039,0.0
2,full,FT_K3,1183,1079,104,10.581512053497136,10.581512053497136,0.0
3,full,DT_target,945,845,100,17.7329625288277,29.083454622872637,-11.350492094044938
3,full,FT_K1,945,845,100,7.944748742913362,7.944748742913362,0.0
3,full,FT_K3,945,845,100,7.80050189915346,7.80050189915346,0.0
4,full,DT_target,1184,1080,104,32.735319782679625,39.152351098405866,-6.417031315726245
4,full,FT_K1,1184,1080,104,3.335535751073621,3.335535751073621,0.0
4,full,FT_K3,1184,1080,104,3.275780027266592,3.275780027266592,0.0
5,full,DT_target,1747,1558,189,27.239231592386496,40.26456455816941,-13.025332965782917
5,full,FT_K1,1747,1558,189,3.9429852650500834,3.9429852650500834,0.0
5,full,FT_K3,1747,1558,189,3.835802951391088,3.835802951391088,0.0
6,full,DT_target,1247,1134,113,23.547122561486475,33.74304870629641,-10.195926144809938
6,full,FT_K1,1247,1134,113,0.9175347104792309,0.9175347104792309,0.0
6,full,FT_K3,1247,1134,113,0.9051913794319262,0.9051913794319262,0.0
7,full,DT_target,1032,912,120,6.0560044849145545,22.14256684482354,-16.08656235990899
7,full,FT_K1,1032,912,120,1.4675659588028793,1.4675659588028793,0.0
7,full,FT_K3,1032,912,120,1.443470339771011,1.443470339771011,0.0
8,full,DT_target,706,649,57,37.47184795042709,46.52942077044479,-9.05757282001769
8,full,FT_K1,706,649,57,9.694913316285238,9.694913316285238,0.0
8,full,FT_K3,706,649,57,9.44704398023896,9.44704398023896,0.0
9,full,DT_target,975,879,96,34.28422867113461,41.99548638118448,-7.711257710049863
9,full,FT_K1,975,879,96,1.1539525658226921,1.1539525658226921,0.0
9,full,FT_K3,975,879,96,1.1347383902830188,1.1347383902830188,0.0
10,full,DT_target,1289,1182,107,54.40151487711276,66.24829847679976,-11.846783599686995
10,full,FT_K1,1289,1182,107,8.257249978778418,8.257249978778418,0.0
10,full,FT_K3,1289,1182,107,8.132761769229546,8.132761769229546,0.0
11,full,DT_target,862,788,74,31.193460372854922,43.25242405935075,-12.058963686495831
11,full,FT_K1,862,788,74,16.6015064669773,16.6015064669773,0.0
11,full,FT_K3,862,788,74,16.483233976527117,16.483233976527117,0.0
12,full,DT_target,1903,1745,158,50.74299300278252,59.90263047857364,-9.15963747579112
12,full,FT_K1,1903,1745,158,13.01419732591603,13.01419732591603,0.0
12,full,FT_K3,1903,1745,158,12.573378538305406,12.573378538305406,0.0
13,full,DT_target,1733,1586,147,5.181820893736413,7.5190145061487454,-2.337193612412332
13,full,FT_K1,1733,1586,147,1.4239718253011233,1.4239718253011233,0.0
13,full,FT_K3,1733,1586,147,1.4053832072240766,1.4053832072240766,0.0
14,full,DT_target,1331,1140,191,28.049403988525057,28.999400804375767,-0.9499968158507139
14,full,FT_K1,1331,1140,191,13.394151881511789,13.394151881511789,0.0
14,full,FT_K3,1331,1140,191,13.166178682586178,13.166178682586178,0.0
15,full,DT_target,1244,1077,167,46.87180512775885,53.19183073066814,-6.320025602909289
15,full,FT_K1,1244,1077,167,2.2201053180615418,2.2201053180615418,0.0
15,full,FT_K3,1244,1077,167,2.1753899954492226,2.1753899954492226,0.0
16,full,DT_target,972,891,81,45.438720845777695,53.26943443110982,-7.830713585332131
16,full,FT_K1,972,891,81,1.3922011459580972,1.3922011459580972,0.0
16,full,FT_K3,972,891,81,1.3680061144623323,1.3680061144623323,0.0
17,full,DT_target,931,862,69,23.45063317222916,24.206826159410802,-0.7561929871816402
17,full,FT_K1,931,862,69,4.2326270057528745,4.2326270057528745,0.0
17,full,FT_K3,931,862,69,4.146604718465824,4.146604718465824,0.0
18,full,DT_target,1341,1233,108,59.34020497787573,63.04030069979355,-3.7000957219178208
18,full,FT_K1,1341,1233,108,7.353415755729657,7.353415755729657,0.0
18,full,FT_K3,1341,1233,108,7.144567346578697,7.144567346578697,0.0
19,full,DT_target,939,805,134,63.409306984160594,69.98313851953921,-6.573831535378608
19,full,FT_K1,939,805,134,0.927018394060724,0.927018394060724,0.0
19,full,FT_K3,939,805,134,0.9260489813241293,0.9260489813241293,0.0
20,full,DT_target,1141,1026,115,17.074057837020597,21.378321262555627,-4.304263425535032
20,full,FT_K1,1141,1026,115,0.8511238961382332,0.8511238961382332,0.0
20,full,FT_K3,1141,1026,115,0.8358586428112176,0.8358586428112176,0.0
21,full,DT_target,1458,1309,149,17.061838946243242,19.592689313953514,-2.5308503677102694
21,full,FT_K1,1458,1309,149,3.909354829636868,3.909354829636868,0.0
21,full,FT_K3,1458,1309,149,3.7863951138569973,3.7863951138569973,0.0
22,full,DT_target,3199,2828,371,43.040768470644885,54.8959413253828,-11.855172854737917
22,full,FT_K1,3199,2828,371,27.284899178077467,27.284899178077467,0.0
22,full,FT_K3,3199,2828,371,26.773163764417404,26.773163764417404,0.0
23,full,DT_target,1338,1230,108,33.355358801595386,49.48184622292452,-16.126487421329117
23,full,FT_K1,1338,1230,108,19.344175853359047,19.344175853359047,0.0
23,full,FT_K3,1338,1230,108,19.155858920770697,19.155858920770697,0.0
24,full,DT_target,1183,1066,117,76.29126455469631,113.46161840102978,-37.17035384633346
24,full,FT_K1,1183,1066,117,1.0244833704418852,1.0244833704418852,0.0
24,full,FT_K3,1183,1066,117,0.9980902871102444,0.9980902871102444,0.0
25,full,DT_target,1773,1583,190,70.16934488274507,78.27916156958479,-8.109816686839723
25,full,FT_K1,1773,1583,190,1.7530744126270292,1.7530744126270292,0.0
25,full,FT_K3,1773,1583,190,1.7090156843842124,1.7090156843842124,0.0
26,full,DT_target,1057,974,83,57.54911265507948,62.13270733044537,-4.583594675365887
26,full,FT_K1,1057,974,83,4.057605161389802,4.057605161389802,0.0
26,full,FT_K3,1057,974,83,4.018159128361731,4.018159128361731,0.0
27,full,DT_target,1719,1556,163,37.25496350458582,39.756384803403726,-2.5014212988179154
27,full,FT_K1,1719,1556,163,9.767019360006088,9.767019360006088,0.0
27,full,FT_K3,1719,1556,163,9.481882614752976,9.481882614752976,0.0
28,full,DT_target,956,888,68,43.203652541260865,47.5083807475053,-4.304728206244421
28,full,FT_K1,956,888,68,3.0216984908183804,3.0216984908183804,0.0
28,full,FT_K3,956,888,68,2.9364815973094665,2.9364815973094665,0.0
29,full,DT_target,896,813,83,32.7573287420833,39.27479772983203,-6.5174689877487335
29,full,FT_K1,896,813,83,1.1844139115710277,1.1844139115710277,0.0
29,full,FT_K3,896,813,83,1.1807506933255354,1.1807506933255354,0.0
30,full,DT_target,1278,1176,102,20.60310428627944,31.619125079213728,-11.016020792934292
30,full,FT_K1,1278,1176,102,0.36337719776201993,0.36337719776201993,0.0
30,full,FT_K3,1278,1176,102,0.3604430123959901,0.3604430123959901,0.0
31,full,DT_target,1796,1624,172,17.782842041376636,37.905909927764455,-20.123067886387812
31,full,FT_K1,1796,1624,172,1.3063693423537188,1.3063693423537188,0.0
31,full,FT_K3,1796,1624,172,1.2891232866059,1.2891232866059,0.0
32,full,DT_target,1191,1055,136,22.076960093760174,30.97791226884457,-8.900952175084392
32,full,FT_K1,1191,1055,136,8.529249535116833,8.529249535116833,0.0
32,full,FT_K3,1191,1055,136,8.2520080912509,8.2520080912509,0.0
33,full,DT_target,1095,1012,83,26.759545879517447,31.035687438580794,-4.276141559063349
33,full,FT_K1,1095,1012,83,8.627057521080133,8.627057521080133,0.0
33,full,FT_K3,1095,1012,83,8.43417603825219,8.43417603825219,0.0
34,full,DT_target,1036,917,119,32.18167116904203,39.914539785569,-7.732868616526962
34,full,FT_K1,1036,917,119,2.4490925884601893,2.4490925884601893,0.0
34,full,FT_K3,1036,917,119,2.3653629144537263,2.3653629144537263,0.0
35,full,DT_target,1208,1065,143,52.12697455548765,53.2560581108462,-1.129083555358547
35,full,FT_K1,1208,1065,143,2.5715288179344498,2.5715288179344498,0.0
35,full,FT_K3,1208,1065,143,2.4968104664585553,2.4968104664585553,0.0
36,full,DT_target,1544,1358,186,20.783067685503077,31.4004126527835,-10.617344967280419
36,full,FT_K1,1544,1358,186,7.17738342814846,7.17738342814846,0.0
36,full,FT_K3,1544,1358,186,7.031611501151929,7.031611501151929,0.0
37,full,DT_target,1183,1054,129,29.48543243481816,36.419991545289484,-6.934559110471328
37,full,FT_K1,1183,1054,129,23.543186134425923,23.543186134425923,0.0
37,full,FT_K3,1183,1054,129,22.698451705742627,22.698451705742627,0.0
38,full,DT_target,1303,1158,145,70.3598310337603,73.50827298977705,-3.148441956016767
38,full,FT_K1,1303,1158,145,15.626477909157984,15.626477909157984,0.0
38,full,FT_K3,1303,1158,145,15.14703156473115,15.14703156473115,0.0
39,full,DT_target,719,662,57,16.6582463118916,19.72331706682473,-3.0650707549331346
39,full,FT_K1,719,662,57,6.133545158721972,6.133545158721972,0.0
