target_mode,view,fraction,n,method,recall,ceiling
answer_only,native_token_restored,0.05,48,DT_target,0.4397685251348356,0.7538400251625476
answer_only,native_token_restored,0.05,48,FT_K1,0.46265686358744523,0.7538400251625476
answer_only,native_token_restored,0.05,48,FT_K3,0.4692172834543167,0.7538400251625476
answer_only,native_token_restored,0.1,48,DT_target,0.6536580774547236,0.9747982328299564
answer_only,native_token_restored,0.1,48,FT_K1,0.6150747557399269,0.9747982328299564
answer_only,native_token_restored,0.1,48,FT_K3,0.6150747557399269,0.9747982328299564
answer_only,native_token_restored,0.2,48,DT_target,0.8191801169623419,1.0
answer_only,native_token_restored,0.2,48,FT_K1,0.7436681055585574,1.0
answer_only,native_token_restored,0.2,48,FT_K3,0.7436681055585574,1.0
answer_only,raw_cached,0.05,48,DT_target,0.2566734102775033,0.7538400251625476
answer_only,raw_cached,0.05,48,FT_K1,0.26368594543992324,0.7538400251625476
answer_only,raw_cached,0.05,48,FT_K3,0.2645715627498883,0.7538400251625476
answer_only,raw_cached,0.1,48,DT_target,0.41007052251076,0.9747982328299564
answer_only,raw_cached,0.1,48,FT_K1,0.37709993729492375,0.9747982328299564
answer_only,raw_cached,0.1,48,FT_K3,0.37828313666973884,0.9747982328299564
answer_only,raw_cached,0.2,48,DT_target,0.5600671856002696,1.0
answer_only,raw_cached,0.2,48,FT_K1,0.5273171997808086,1.0
answer_only,raw_cached,0.2,48,FT_K3,0.5251471005509601,1.0
answer_only,raw_restored,0.05,48,DT_target,0.2566734102775033,0.7538400251625476
answer_only,raw_restored,0.05,48,FT_K1,0.26368594543992324,0.7538400251625476
answer_only,raw_restored,0.05,48,FT_K3,0.2645715627498883,0.7538400251625476
answer_only,raw_restored,0.1,48,DT_target,0.41007052251076,0.9747982328299564
answer_only,raw_restored,0.1,48,FT_K1,0.37709993729492375,0.9747982328299564
answer_only,raw_restored,0.1,48,FT_K3,0.37828313666973884,0.9747982328299564
answer_only,raw_restored,0.2,48,DT_target,0.5587851343182183,1.0
answer_only,raw_restored,0.2,48,FT_K1,0.5273171997808086,1.0
answer_only,raw_restored,0.2,48,FT_K3,0.5251471005509601,1.0
answer_only,regex_anchor_restored,0.05,48,DT_target,0.4440196085925858,0.7538400251625476
answer_only,regex_anchor_restored,0.05,48,FT_K1,0.46805101577380365,0.7538400251625476
answer_only,regex_anchor_restored,0.05,48,FT_K3,0.4657295420604752,0.7538400251625476
answer_only,regex_anchor_restored,0.1,48,DT_target,0.673712065208564,0.9747982328299564
answer_only,regex_anchor_restored,0.1,48,FT_K1,0.6193932585090589,0.9747982328299564
answer_only,regex_anchor_restored,0.1,48,FT_K3,0.6177592715809543,0.9747982328299564
answer_only,regex_anchor_restored,0.2,48,DT_target,0.8104645358460636,1.0
answer_only,regex_anchor_restored,0.2,48,FT_K1,0.7518528600805213,1.0
answer_only,regex_anchor_restored,0.2,48,FT_K3,0.7518528600805213,1.0
answer_only,regex_cached,0.05,48,DT_target,0.44709585454604556,0.7538400251625476
answer_only,regex_cached,0.05,48,FT_K1,0.4597973852844988,0.7538400251625476
answer_only,regex_cached,0.05,48,FT_K3,0.4585864440263216,0.7538400251625476
answer_only,regex_cached,0.1,48,DT_target,0.6579815624941774,0.9747982328299564
answer_only,regex_cached,0.1,48,FT_K1,0.6112381538866057,0.9747982328299564
