target_mode,labels,subset,n,budget_unit,budget_value,method,precision,recall,f1,exact_match,complete_support,token_recall,fact_recall_ceiling,spent_tokens,unused_tokens,selected_sentences
answer_only,official_restored,all48,48,body_tokens,0.05,DT_target,0.45798611111111104,0.44965277777777773,0.4292162698412698,0.020833333333333332,0.08333333333333333,0.39482281195794083,0.6562499999999999,56.041666666666664,3.0,2.7916666666666665
answer_only,official_restored,all48,48,body_tokens,0.05,FT_K1,0.43893849206349206,0.453125,0.41977513227513225,0.0,0.0625,0.4090896508121056,0.6562499999999999,56.083333333333336,2.9583333333333335,2.8125
answer_only,official_restored,all48,48,body_tokens,0.05,FT_K3,0.4458829365079365,0.4635416666666667,0.42810846560846566,0.0,0.08333333333333333,0.4153125945350493,0.6562499999999999,56.083333333333336,2.9583333333333335,2.8125
answer_only,official_restored,all48,48,body_tokens,0.1,DT_target,0.396394462019462,0.6857638888888888,0.4757795445295446,0.0625,0.3333333333333333,0.6582192072945768,0.9305555555555555,114.70833333333333,2.9166666666666665,5.020833333333333
answer_only,official_restored,all48,48,body_tokens,0.1,FT_K1,0.39001322751322753,0.6545138888888888,0.4645262145262145,0.020833333333333332,0.2708333333333333,0.6091503373678909,0.9305555555555555,114.0,3.625,4.916666666666667
answer_only,official_restored,all48,48,body_tokens,0.1,FT_K3,0.41119378306878307,0.6614583333333334,0.47783639971139974,0.020833333333333332,0.2916666666666667,0.6313804659784749,0.9305555555555555,114.10416666666667,3.5208333333333335,4.833333333333333
answer_only,official_restored,all48,48,body_tokens,0.2,DT_target,0.2595462407962408,0.859375,0.38734887176383337,0.0,0.6875,0.835798507842607,1.0,231.83333333333334,3.0,9.4375
answer_only,official_restored,all48,48,body_tokens,0.2,FT_K1,0.24269619269619266,0.8020833333333334,0.3614298419445478,0.0,0.5416666666666666,0.76948864649423,1.0,231.5,3.3333333333333335,9.354166666666666
answer_only,official_restored,all48,48,body_tokens,0.2,FT_K3,0.24301184926184924,0.8020833333333334,0.36188771740242326,0.0,0.5416666666666666,0.76948864649423,1.0,231.77083333333334,3.0625,9.333333333333334
answer_only,official_restored,all48,48,sentences,2,DT_target,0.6145833333333334,0.4947916666666667,0.5388888888888889,0.08333333333333333,0.08333333333333333,0.4682122735882466,0.829861111111111,53.5,0.0,2.0
