index,full_target_tokens,answer_target_tokens,full_seed_tokens,answer_seed_tokens
0,39,5,33.0,4.0
1,26,3,25.0,3.0
2,58,26,52.0,24.0
3,48,24,42.0,21.0
4,76,10,65.0,8.0
5,66,10,62.0,9.0
6,38,2,34.0,2.0
7,56,4,46.0,4.0
8,48,24,44.0,22.0
9,33,3,30.0,3.0
10,57,18,54.0,17.0
11,74,37,72.0,36.0
12,61,27,55.0,25.0
13,12,6,10.0,5.0
14,72,36,64.0,32.0
15,37,6,30.0,5.0
16,210,3,188.0,3.0
17,28,14,24.0,12.0
18,60,19,52.0,16.0
19,29,2,26.0,2.0
20,27,2,25.0,2.0
21,28,14,24.0,12.0
22,86,43,76.0,38.0
23,72,36,68.0,34.0
24,124,2,113.0,2.0
25,79,5,66.0,4.0
26,53,9,48.0,8.0
27,49,23,44.0,21.0
28,40,8,35.0,7.0
29,24,3,23.0,3.0
30,39,1,35.0,1.0
31,92,3,85.0,3.0
32,48,24,38.0,19.0
33,46,23,42.0,21.0
34,37,6,32.0,5.0
35,50,9,39.0,6.0
36,42,21,36.0,18.0
37,92,46,84.0,42.0
38,77,35,68.0,31.0
39,28,14,26.0,13.0
40,136,4,120.0,4.0
41,128,6,106.0,5.0
42,23,7,22.0,7.0
43,49,4,41.0,4.0
44,20,2,17.0,2.0
45,32,16,30.0,15.0
46,56,1,51.0,1.0
47,48,5,38.0,4.0
