dataset,subset,count,source_start,source_end,DT,DT_source,DT_query_budget_fraction,DT_instruction_budget_fraction,DT_source_gain,source_eligible,budget,ceiling,FT,FT_source,FT_query_budget_fraction,FT_instruction_budget_fraction,FT_source_gain
niah_mq_q2,all,100,138.0,2645.64,0.6676079822491964,0.8624205994009561,0.29893080235184194,0.15492699830521897,0.19481261715175943,493.76,56.3,0.8840889863883865,0.48343500191471656,0.8031671407496482,0.5759637606305966,0.04257668903903091,0.3197321388349317
niah_mq_q2,even,50,138.0,2675.66,0.6699325442449902,0.8623445891683794,0.2982185118183935,0.15059264571236855,0.19241204492338923,499.46,56.9,0.8858186741161486,0.4826253159123864,0.8017010372531463,0.5781975176395979,0.04332444347372109,0.31907572134076
niah_mq_q2,odd,50,138.0,2615.62,0.6652834202534027,0.8624966096335323,0.2996430928852903,0.15926135089806934,0.19721318938012974,488.06,55.7,0.8823592986606242,0.4842446879170466,0.8046332442461498,0.573730003621595,0.04182893460434073,0.3203885563291033
niah_mq_q4,all,100,138.0,3171.79,0.47829279248816675,0.70720403589379,0.30277735589046634,0.12149666548344629,0.2289112434056232,606.06,69.08,0.8089234721729,0.41326017644649404,0.7242562439391972,0.49179297184613313,0.044975780585958774,0.31099606749270303
niah_mq_q4,even,50,138.0,3084.4,0.46166395569345736,0.6926242200063559,0.30768526411521746,0.1219471612324988,0.23096026431289857,589.2,67.38,0.790228174210499,0.40184975096096026,0.7101233241753135,0.49571082425778856,0.04440926763130945,0.30827357321435334
niah_mq_q4,odd,50,138.0,3259.18,0.4949216292828762,0.7217838517812243,0.29786944766571505,0.12104616973439375,0.2268622224983478,622.92,70.78,0.8276187701353008,0.42467060193202777,0.7383891637030806,0.4878751194344778,0.0455422935406081,0.31371856177105273
niah_mq_q8,all,100,138.0,1078.82,0.13239495652659394,0.22092686242293477,0.269925776734498,0.1296663998570406,0.08853190589634086,235.39,35.13,0.22274494155650287,0.0749830000032805,0.21243045891419476,0.574013134270798,0.10298342000618631,0.13744745891091426
niah_mq_q8,even,50,138.0,1079.56,0.13252680093439956,0.2222186829036805,0.27097476325447767,0.13034276597685288,0.08969188196928095,235.98,35.32,0.22326701451702757,0.07440393005779704,0.2110383089724625,0.578593248539177,0.10183004809265198,0.13663437891466548
niah_mq_q8,odd,50,138.0,1078.08,0.1322631121187883,0.21963504194218902,0.26887679021451844,0.12899003373722834,0.08737192982340072,234.8,34.94,0.2222228685959782,0.07556206994876398,0.21382260885592705,0.569433020002419,0.10413679191972067,0.13826053890716306
niah_mv_v2,all,100,138.0,2934.81,0.7515996468443837,0.8677664881901724,0.20808171748070248,0.14369431944584896,0.1161668413457887,549.09,60.86,0.8998146274777854,0.5556180071390598,0.8076043973570289,0.46500784752418506,0.05847623200862911,0.2519863902179691
niah_mv_v2,even,50,138.0,2964.82,0.7566663704716337,0.8662461608566872,0.20300955185896793,0.14168404708935856,0.10957979038505354,554.74,61.42,0.9004463735095314,0.5573854788486368,0.8075111794638111,0.46275044662419523,0.06096112684127146,0.2501257006151743
niah_mv_v2,odd,50,138.0,2904.8,0.7465329232171338,0.8692868155236576,0.21315388310243705,0.1457045918023393,0.12275389230652388,543.44,60.3,0.8991828814460393,0.5538505354294828,0.8076976152502466,0.4672652484241751,0.05599133717598679,0.25384707982076404
niah_mv_v4,all,100,138.0,3392.53,0.5752426710716183,0.725937115516063,0.17674529569892478,0.14316706321956663,0.15069444444444446,648.84,70.99,0.8284285524417103,0.5158856706159337,0.7072786986405408,0.36979097732897176,0.056433255061414264,0.19139302802460698
niah_mv_v4,even,50,138.0,3391.32,0.5774588554720134,0.7201474519632416,0.17218368110836482,0.14393882600744232,0.1426885964912281,648.44,70.92,0.8277318295739349,0.5229164578111947,0.7079582289055975,0.3656895705117502,0.05657471421146822,0.18504177109440267
niah_mv_v4,odd,50,138.0,3393.74,0.5730264866712235,0.7317267790688843,0.1813069102894846,0.14239530043169102,0.1587002923976608,649.24,71.06,0.8291252753094858,0.5088548834206729,0.7065991683754841,0.37389238414619336,0.056291795911360284,0.19774428495481125
niah_mv_v8,all,100,138.0,2391.36,0.24322885338345868,0.3198272338042075,0.09660868085868012,0.14613966373844695,0.07659838042074885,482.57,54.27,0.3529269053315105,0.2036087330067593,0.32281741759702287,0.3562459512758793,0.09201777678343451,0.11920868459026356
niah_mv_v8,even,50,138.0,2363.76,0.2427158521303258,0.318576982228298,0.09595552845974067,0.14768381991789536,0.07586113009797221,477.78,53.82,0.34918453330295435,0.20096151363256623,0.3194846681096681,0.3577631174878689,0.09266767406730113,0.11852315447710186
niah_mv_v8,odd,50,138.0,2418.96,0.24374185463659145,0.321077485380117,0.0972618332576196,0.14459550755899853,0.07733563074352548,487.36,54.72,0.3566692773600668,0.20625595238095237,0.32615016708437755,0.3547287850638897,0.09136787949956793,0.11989421470342525
