dataset,index,subset,DT,FT,ceiling,DT_sentence_positive,DT_sentence_absolute,FT_sentence_positive,shuffled_DT_sentence,demo_eligible,scope_start_character,DT_scope,DT_scope_sentence,DT_scope_recomputed_budget,scope_eligible,scope_recomputed_budget,FT_scope,FT_scope_sentence,FT_scope_recomputed_budget,DT_demo_budget_fraction,DT_question_budget_fraction,FT_demo_budget_fraction,FT_question_budget_fraction,DT_sentence_positive_demo_budget_fraction,DT_sentence_positive_question_budget_fraction,DT_sentence_absolute_demo_budget_fraction,DT_sentence_absolute_question_budget_fraction,answer_gold_tokens,other_gold_tokens,DT_answer_recall,DT_other_recall,DT_span_any,DT_span_half,FT_answer_recall,FT_other_recall,FT_span_any,FT_span_half,DT_sentence_positive_answer_recall,DT_sentence_positive_other_recall,DT_sentence_positive_span_any,DT_sentence_positive_span_half,DT_sentence_absolute_answer_recall,DT_sentence_absolute_other_recall,DT_sentence_absolute_span_any,DT_sentence_absolute_span_half
niah_mq_q2,0,even,0.425,0.175,0.775,0.475,0.475,0.175,0.0,0,0,0.425,0.475,0.425,310,31,0.175,0.175,0.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,26,0.2857142857142857,0.5,1.0,0.5,0.14285714285714285,0.19230769230769232,1.0,0.0,0.5,0.46153846153846156,0.5,0.5,0.5,0.46153846153846156,0.5,0.5
niah_mq_q2,1,odd,0.9736842105263158,0.7894736842105263,1.0,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.3684210526315789,0,0,0.9736842105263158,0.9473684210526315,0.9736842105263158,863,87,0.7894736842105263,0.9473684210526315,0.7894736842105263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,24,1.0,0.9583333333333334,1.0,1.0,0.9285714285714286,0.7083333333333334,1.0,1.0,1.0,0.9166666666666666,1.0,1.0,1.0,0.9166666666666666,1.0,1.0
niah_mq_q2,2,even,0.9210526315789473,0.8157894736842105,1.0,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.0,0,0,0.9210526315789473,0.9473684210526315,0.9210526315789473,863,87,0.8157894736842105,0.9473684210526315,0.8157894736842105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,24,1.0,0.875,1.0,1.0,0.9285714285714286,0.75,1.0,1.0,1.0,0.9166666666666666,1.0,1.0,1.0,0.9166666666666666,1.0,1.0
niah_mq_q2,3,odd,0.47368421052631576,0.21052631578947367,0.8157894736842105,0.47368421052631576,0.47368421052631576,0.21052631578947367,0.0,0,0,0.47368421052631576,0.47368421052631576,0.47368421052631576,304,31,0.21052631578947367,0.21052631578947367,0.21052631578947367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,24,0.42857142857142855,0.5,1.0,0.5,0.14285714285714285,0.25,1.0,0.0,0.5,0.4583333333333333,0.5,0.5,0.5,0.4583333333333333,0.5,0.5
niah_mq_q2,4,even,0.9743589743589743,0.8205128205128205,1.0,0.9487179487179487,0.9487179487179487,0.9487179487179487,0.5128205128205128,0,0,0.9743589743589743,0.9487179487179487,0.9743589743589743,866,87,0.8205128205128205,0.9487179487179487,0.8205128205128205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,25,1.0,0.96,1.0,1.0,1.0,0.72,1.0,1.0,1.0,0.92,1.0,1.0,1.0,0.92,1.0,1.0
niah_mq_q2,5,odd,1.0,0.8205128205128205,1.0,0.9743589743589743,0.9743589743589743,0.9743589743589743,0.46153846153846156,0,0,1.0,0.9743589743589743,1.0,866,87,0.8205128205128205,0.9743589743589743,0.8205128205128205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,25,1.0,1.0,1.0,1.0,0.8571428571428571,0.8,1.0,1.0,1.0,0.96,1.0,1.0,1.0,0.96,1.0,1.0
niah_mq_q2,6,even,0.4594594594594595,0.24324324324324326,0.8378378378378378,0.4864864864864865,0.2702702702702703,0.24324324324324326,0.4864864864864865,0,0,0.4594594594594595,0.4864864864864865,0.4594594594594595,301,31,0.24324324324324326,0.24324324324324326,0.24324324324324326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,23,0.42857142857142855,0.4782608695652174,1.0,0.5,0.07142857142857142,0.34782608695652173,1.0,0.0,0.5,0.4782608695652174,0.5,0.5,0.21428571428571427,0.30434782608695654,0.5,0.5
niah_mq_q2,7,odd,0.9743589743589743,0.7435897435897436,1.0,0.9487179487179487,0.9487179487179487,0.9487179487179487,0.48717948717948717,0,0,0.9743589743589743,0.9487179487179487,0.9743589743589743,866,87,0.7435897435897436,0.9487179487179487,0.7435897435897436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,25,1.0,0.96,1.0,1.0,0.8571428571428571,0.68,1.0,1.0,1.0,0.92,1.0,1.0,1.0,0.92,1.0,1.0
niah_mq_q2,8,even,0.4473684210526316,0.23684210526315788,0.8157894736842105,0.5,0.5,0.23684210526315788,0.0,0,0,0.4473684210526316,0.5,0.4473684210526316,304,31,0.23684210526315788,0.23684210526315788,0.23684210526315788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,24,0.42857142857142855,0.4583333333333333,1.0,0.5,0.07142857142857142,0.3333333333333333,1.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
niah_mq_q2,9,odd,0.425,0.2,0.775,0.45,0.45,0.15,0.0,0,0,0.425,0.45,0.425,310,31,0.2,0.15,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,26,0.21428571428571427,0.5384615384615384,1.0,0.5,0.07142857142857142,0.2692307692307692,1.0,0.0,0.5,0.4230769230769231,0.5,0.5,0.5,0.4230769230769231,0.5,0.5
niah_mq_q2,10,even,0.41025641025641024,0.20512820512820512,0.7948717948717948,0.48717948717948717,0.48717948717948717,0.0,0.0,0,0,0.41025641025641024,0.48717948717948717,0.41025641025641024,307,31,0.20512820512820512,0.0,0.20512820512820512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,25,0.21428571428571427,0.52,1.0,0.5,0.07142857142857142,0.28,1.0,0.0,0.5,0.48,0.5,0.5,0.5,0.48,0.5,0.5
niah_mq_q2,11,odd,0.5,0.325,0.775,0.475,0.475,0.15,0.025,0,0,0.5,0.475,0.5,310,31,0.325,0.15,0.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,26,0.42857142857142855,0.5384615384615384,1.0,0.5,0.21428571428571427,0.38461538461538464,1.0,0.0,0.5,0.46153846153846156,0.5,0.5,0.5,0.46153846153846156,0.5,0.5
niah_mq_q2,12,even,0.35,0.2,0.775,0.475,0.475,0.175,0.0,0,0,0.35,0.475,0.35,310,31,0.2,0.175,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,26,0.2857142857142857,0.38461538461538464,1.0,0.5,0.07142857142857142,0.2692307692307692,1.0,0.0,0.5,0.46153846153846156,0.5,0.5,0.5,0.46153846153846156,0.5,0.5
niah_mq_q2,13,odd,0.95,0.825,1.0,0.95,0.95,0.95,0.425,0,0,0.95,0.95,0.95,869,87,0.825,0.95,0.825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,26,1.0,0.9230769230769231,1.0,1.0,1.0,0.7307692307692307,1.0,1.0,1.0,0.9230769230769231,1.0,1.0,1.0,0.9230769230769231,1.0,1.0
niah_mq_q2,14,even,0.95,0.7,1.0,0.95,0.95,0.95,0.0,0,0,0.95,0.95,0.95,869,87,0.7,0.95,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,26,1.0,0.9230769230769231,1.0,1.0,0.7142857142857143,0.6923076923076923,1.0,1.0,1.0,0.9230769230769231,1.0,1.0,1.0,0.9230769230769231,1.0,1.0
niah_mq_q2,15,odd,0.4634146341463415,0.2682926829268293,0.7804878048780488,0.0,0.0,0.14634146341463414,0.0975609756097561,0,0,0.4634146341463415,0.0,0.4634146341463415,313,32,0.2682926829268293,0.14634146341463414,0.2682926829268293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,27,0.42857142857142855,0.48148148148148145,1.0,0.5,0.14285714285714285,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
niah_mq_q2,16,even,0.42105263157894735,0.23684210526315788,0.8157894736842105,0.47368421052631576,0.47368421052631576,0.21052631578947367,0.47368421052631576,0,0,0.42105263157894735,0.47368421052631576,0.42105263157894735,304,31,0.23684210526315788,0.21052631578947367,0.23684210526315788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,24,0.42857142857142855,0.4166666666666667,1.0,0.5,0.14285714285714285,0.2916666666666667,1.0,0.0,0.5,0.4583333333333333,0.5,0.5,0.5,0.4583333333333333,0.5,0.5
niah_mq_q2,17,odd,0.4146341463414634,0.1951219512195122,0.7804878048780488,0.4878048780487805,0.4878048780487805,0.14634146341463414,0.024390243902439025,0,0,0.4146341463414634,0.4878048780487805,0.4146341463414634,313,32,0.1951219512195122,0.14634146341463414,0.1951219512195122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,27,0.21428571428571427,0.5185185185185185,1.0,0.5,0.14285714285714285,0.2222222222222222,1.0,0.0,0.5,0.48148148148148145,0.5,0.5,0.5,0.48148148148148145,0.5,0.5
niah_mq_q2,18,even,0.918918918918919,0.7837837837837838,1.0,0.972972972972973,0.972972972972973,0.9459459459459459,0.02702702702702703,0,0,0.918918918918919,0.972972972972973,0.918918918918919,860,86,0.7837837837837838,0.9459459459459459,0.7837837837837838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,23,1.0,0.8695652173913043,1.0,1.0,0.8571428571428571,0.7391304347826086,1.0,1.0,1.0,0.9565217391304348,1.0,1.0,1.0,0.9565217391304348,1.0,1.0
niah_mq_q2,19,odd,0.38461538461538464,0.20512820512820512,0.7948717948717948,0.46153846153846156,0.46153846153846156,0.0,0.07692307692307693,0,0,0.38461538461538464,0.46153846153846156,0.38461538461538464,307,31,0.20512820512820512,0.0,0.20512820512820512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,25,0.2857142857142857,0.44,1.0,0.5,0.07142857142857142,0.28,1.0,0.0,0.5,0.44,0.5,0.5,0.5,0.44,0.5,0.5
