dataset,count,DT,FT,DT_minus_FT,eligible,gold,budget,gold_density,ceiling,random_expected_recall,DT_adjusted,FT_adjusted,DT_precision,FT_precision,DT_tie_width,FT_tie_width,DT_cutoff,gold_negative_fraction,gold_negative_abs_mass,gold_positive_mass,positive_gold_ceiling,target_tokens,judge_true,span_count,boundary_diff_count,gold_boundary_diff_count,relative_conservation_residual,absolute_conservation_residual,signed_recall,signed_tie_width,absolute_recall,absolute_tie_width,negative_recall,negative_tie_width,DT_recall_5,FT_recall_5,DT_recall_20,FT_recall_20,DT_recall_30,FT_recall_30,DT_recall_50,FT_recall_50,DT_recall_gold_budget,FT_recall_gold_budget,capacity_limited_cases,DT_better_cases,DT_worse_cases,DT_minus_FT_delta_ci_low,DT_minus_FT_delta_ci_high,absolute_recall_delta_ci_low,absolute_recall_delta_ci_high
niah_mq_q2,100,0.6676079822491964,0.48343500191471656,0.18417298033447987,559.18,39.21,56.3,0.09065887513996831,0.8840889863883865,0.10084482775998761,0.7300010241774006,0.51507766137595,0.48914723327187587,0.3126001062373744,0.0,0.0,1.0932321797311306,0.008406378489497874,0.2535533033311367,74.45571823120117,0.8807201732432576,285.21,1.0,2.0,0.0,0.0,0.0007400768913908387,0.10377234650229113,0.6676079822491964,0.0,0.6541809543433047,0.0,0.00764965553765297,0.009743589743589744,0.37508560011740144,0.1929660661489407,0.9098140413386332,0.7491382956508117,0.987342775817699,0.9226531825758548,0.9915936215105021,0.9946914330411957,0.5421090402822871,0.28181590847845284,55,100,0,0.172809961071033,0.195456965731203,-0.018039994929580933,-0.008969452695776505
niah_mq_q4,100,0.47829279248816675,0.41326017644649404,0.06503261604167282,686.24,78.59,69.08,0.14476751926657164,0.8089234721729,0.10082270316120265,0.582362107907521,0.48207696902310415,0.5431500814219091,0.4468297681182004,0.0,0.0,1.260506330728531,0.02698629224084784,0.6624901093007065,118.3327490234375,0.7892331512550841,401.91,1.0,4.0,0.0,0.0,0.0005534014393598683,0.12933264088639987,0.47829279248816675,0.0,0.4719379534922938,0.0,0.019627734457816962,0.0,0.2361375480613912,0.1600963731898791,0.7709827756982718,0.7362913014469146,0.8678265228178536,0.8523316803079365,0.9485407670047598,0.9753859896939358,0.5608291800982325,0.46650832794596403,31,95,3,0.05742251642129701,0.07278824757284982,-0.008759368157648321,-0.004175301410777711
niah_mq_q8,100,0.13239495652659394,0.0749830000032805,0.05741195652331342,346.77,158.19,35.13,0.48592885161429517,0.22274494155650287,0.10138989596051644,0.5979686022199354,0.3225436756080731,0.5979686022199354,0.3225436756080731,0.0,0.0,3.2830885183811187,0.029074556403269634,5.05654401431093,255.54134933471678,0.22274494155650287,688.16,1.0,8.0,0.0,0.0,0.0003739231182749167,0.16146890619839951,0.13239495652659394,0.0,0.13189220612500116,0.0,0.027272045822179066,0.09944064381452841,0.061020634315918254,0.03953180845254109,0.27505790489758014,0.20018523201482152,0.3928838878292049,0.32753028054128924,0.624771187340958,0.5814848360385938,0.6075053833511161,0.5609693404240476,100,100,0,0.05440181784700583,0.06043395514120357,-0.0010091665460107055,3.684107671164287e-07
niah_mv_v2,100,0.7515996468443837,0.5556180071390598,0.19598163970532392,604.85,38.76,60.86,0.0835867191302688,0.8998146274777854,0.10076190977962975,0.8147599970417245,0.5883099383049512,0.5216548163784676,0.34226881931101893,0.0,0.0,0.824575786665082,0.002871136173767752,0.0727223439514637,68.37716732025146,0.8971815865421129,254.45,1.0,2.0,0.0,0.0,0.001037690175853477,0.11355812053069726,0.7515996468443837,0.0,0.7387640161008582,0.0,0.002593358395989975,0.0,0.4852286663628769,0.2816535543403964,0.9562449456975773,0.8241004746715272,0.9926923141186299,0.9362585820612135,0.9958763575605681,0.9967449874686716,0.6139143350801245,0.34302339561023776,47,100,0,0.18228023989898995,0.20976296043138148,-0.016918588137009194,-0.008887583542188807
niah_mv_v4,100,0.5752426710716183,0.5158856706159337,0.059357000455684664,704.64,77.6,70.99,0.13790425667131503,0.8284285524417103,0.1008050379580959,0.6899214678450857,0.5838566087539947,0.6359091027165098,0.5325880496378013,0.0,0.0,0.826449638903141,0.01494510898458267,0.16847242466988974,93.52467666625977,0.8204359668109668,356.82,1.0,4.0,0.0,0.0,0.0007896882347867819,0.11260087151834014,0.5752426710716183,0.0,0.5612904989747094,0.0,0.004952504366978052,0.0,0.2980001898686109,0.20834819055213794,0.8184443400167085,0.7908416970456444,0.9029963355358093,0.9073042074884181,0.9745679729627099,0.9915878711931343,0.641402606896028,0.575793774208248,28,84,8,0.04960159513366751,0.06896630378028404,-0.016621984649122807,-0.011349908625730994
niah_mv_v8,100,0.24322885338345868,0.2036087330067593,0.039620120376699326,538.43,155.44,54.27,0.36770313102754015,0.3529269053315105,0.10133393440012121,0.6563660172218106,0.5301280886332372,0.6563660172218106,0.5301280886332372,0.0,0.0,1.6996120208501815,0.046819786207944115,0.7951993029005826,156.0653269958496,0.3529269053315105,616.38,1.0,8.0,0.0,0.0,0.0005267475731441484,0.11955882110874257,0.24322885338345868,0.0,0.23801871629832155,0.0,0.02336534043441938,0.003927788220551379,0.11619724500645551,0.0867104693552062,0.44909575548720276,0.44524093852054386,0.6006299935444672,0.6178684210526315,0.7817319292549556,0.8204682397281081,0.664413975279107,0.6916888670539987,100,93,3,0.034756718738133206,0.04462562822776637,-0.0069006017648287395,-0.0036783264980633393
vt_h2_c3,100,0.5074334124245136,0.6976457114652332,-0.1902122990407195,818.1,28.68,82.22,0.035054529531291935,1.0,0.10050127945134896,0.5074334124245136,0.6976457114652332,0.17697032030561272,0.24301204819277114,0.0,0.0,1.1991308522224426,0.015489277644450057,0.44494654692709446,52.38112060546875,0.98451072235555,377.78,1.0,3.0,1.0,0.0,0.0004426121475836337,0.14155689622202006,0.5074334124245136,0.0,0.5050060291745497,0.0,0.015144450058243159,0.0,0.27532100309415375,0.34479084081009814,0.8277436616986812,0.940343709466902,0.9534146313533826,0.9993333333333334,0.9785665319185202,1.0,0.20028397853536897,0.18796231044374812,0,2,96,-0.212731660254373,-0.166973028839363,-0.005686367053928233,0.0006838334141448698
vt_h4_c1,100,0.5870986811452812,0.7547793834766146,-0.16768070233133336,812.43,47.52,81.74,0.05848549708629224,1.0,0.10061142463900968,0.5870986811452812,0.7547793834766146,0.34082302108161633,0.4385561396443951,0.0,0.0,0.8829413235187531,0.006018151393863852,0.03203184493002482,78.04733821868896,0.9939818486061361,308.57,1.0,5.0,1.0,0.0,0.0004942785469514371,0.11702092824439092,0.5870986811452812,0.0,0.5835397910254455,0.0,0.005188345123529631,0.0,0.3319775014604451,0.4012126934177049,0.8989701621066988,0.9945282394383267,0.9796584872983888,1.0,0.9901256263465373,1.0,0.36910928699492723,0.4742242013733615,0,0,99,-0.18011354259903478,-0.1551026633449968,-0.005430559111332693,-0.001894647709180382
vt_h6_c1,100,0.5014667517614252,0.6585060973752498,-0.15703934561382446,811.13,65.71,81.57,0.08100325486551035,1.0,0.10056322931353488,0.5014667517614252,0.6585060973752498,0.4037037037037037,0.5300993676603433,0.0,0.0,1.0088373738527299,0.010032073000103248,0.07019181987503544,101.86116630554199,0.9899679269998967,392.41,1.0,7.0,1.0,0.0,0.0004964153103223114,0.13368064204296246,0.5014667517614252,0.0,0.49543113409972633,0.0,0.008213230473523028,0.0007692307692307692,0.28209338219356617,0.333311146641101,0.8095105093833338,0.9752620722200659,0.9370111213106084,1.0,0.9808517006875745,1.0,0.4147071574789234,0.5422929782431338,0,0,100,-0.16498234959271596,-0.14910049237800113,-0.008141352336662381,-0.004197780183978825
vt_h10_c1,100,0.4023745137577838,0.5141755016048608,-0.11180098784707687,829.0,102.88,83.34,0.12409209705377464,0.8106254490487941,0.10053051013987302,0.49629089590582043,0.6342698755670354,0.49629089590582043,0.6342698755670354,0.0,0.0,1.2082289779186248,0.013609890771914013,0.14227935614646411,153.28522064208985,0.8106254490487941,469.88,1.0,11.0,1.0,0.0,0.0004289005754605533,0.14758477803593337,0.4023745137577838,0.0,0.40092196920034445,0.0,0.012054321580783905,0.003113767074047448,0.22562333780142538,0.23913320849836453,0.6823707521855643,0.8781401001642517,0.8587372320020311,0.9999056603773585,0.9597308060376243,1.0,0.48091634249379317,0.6142607740808305,100,1,99,-0.11847609216978379,-0.10497652304388533,-0.002320799038632316,-0.0006791232548080678
hotpotqa_long,48,0.34906636253548756,0.38372331799997966,-0.034656955464492066,1327.4166666666667,79.91666666666667,133.1875,0.06555132009771285,0.9827818025054338,0.1003930928368791,0.35411505890006295,0.3885397529454466,0.20957744496275774,0.22926264717454783,0.0,0.0,0.10290328708166878,0.21385794735195518,3.636025326229477,20.324390431245167,0.7830241388158452,58.354166666666664,1.0,2.5833333333333335,1.0,0.0,0.003795593682661679,0.15831548563318776,0.34906636253548756,0.0,0.3460818895317929,0.0,0.1255399552169212,0.0,0.1920047713864159,0.2187177998937082,0.5222106250593302,0.571494076130833,0.614820118044511,0.683279043141927,0.7254987375115975,0.8125947701931525,0.22171059103818191,0.25133159966934815,6,18,29,-0.06390777870440047,-0.0060671228098615445,-0.018399171600258325,0.012194429145278091
