dataset,method,n,rise,mas,recall,query_credit_fraction,query_fraction_deleted_2,query_fraction_deleted_4
niah_mq_q2,DT_original,4,0.1280614207936288,0.15769269143991635,0.5522435897435897,0.3436234929366476,0.353516732841747,0.638825865002836
niah_mq_q2,DT_endpoint_symmetric,4,0.12309149956492703,0.16529811296569102,0.5903846153846154,0.2834462274503392,0.3424560408394781,0.6332955190017016
niah_mq_q2,DT_gate_symmetric,4,0.12086355257785314,0.1491520663998712,0.5966346153846154,0.3290558994292358,0.3659954622802042,0.6330119115144639
niah_mq_q2,DT_memory_symmetric,4,0.11002749930542269,0.13553715150047105,0.6282051282051282,0.3355513268153303,0.35436755530346,0.6501701644923426
niah_mq_q2,DT_gdn_symmetric,4,0.1090736332587808,0.13609619523348795,0.6280448717948718,0.31705240154904846,0.36627906976744184,0.6391094724900737
niah_mq_q2,FT_K1,4,0.10729560788893214,0.2587816710862142,0.37548076923076923,,,
niah_mq_q2,FT_K3,4,,,0.41971153846153847,,,
niah_mq_q4,DT_original,4,0.14344998658338082,0.2096740047527998,0.589504904378322,0.27989857832819276,0.4322665583340856,0.6777301315037163
niah_mq_q4,DT_endpoint_symmetric,4,0.10902651528041266,0.15540775193740672,0.6281339968048829,0.24479106538584539,0.47302819656344974,0.7860476663356505
niah_mq_q4,DT_gate_symmetric,4,0.12514672145326267,0.17431194205407163,0.6827492128125039,0.278791297414296,0.4546748517950107,0.786893262315308
niah_mq_q4,DT_memory_symmetric,4,0.12114852596195563,0.1738787706913577,0.6730505781138693,0.29019710628048906,0.4415289940116156,0.8092895188227859
niah_mq_q4,DT_gdn_symmetric,4,0.10524028464855194,0.15285480693104825,0.7082685247242209,0.2784513194274427,0.4504604134693509,0.8731455568595589
niah_mq_q4,FT_K1,4,0.09063326885557832,0.2519330065017089,0.5255230002065445,,,
niah_mq_q4,FT_K3,4,,,0.5383840842701603,,,
niah_mv_v2,DT_original,4,0.0755533493267035,0.10420929697168568,0.8285818713450291,0.2254140903387562,0.5967741935483871,0.7969966629588432
niah_mv_v2,DT_endpoint_symmetric,4,0.07234478742766434,0.12045260734450992,0.8819444444444444,0.19097445456538542,0.6774193548387097,0.8459399332591769
niah_mv_v2,DT_gate_symmetric,4,0.06624895292012262,0.09955776126667229,0.8892543859649124,0.21471060078430781,0.7119021134593994,0.8292547274749722
niah_mv_v2,DT_memory_symmetric,4,0.06879839968783816,0.09358152729206418,0.9027777777777778,0.2191626058273288,0.6699110122358176,0.8136818687430478
niah_mv_v2,DT_gdn_symmetric,4,0.06436831868091164,0.09163579332730215,0.9166666666666666,0.21107881691071007,0.7274749721913237,0.8378754171301446
niah_mv_v2,FT_K1,4,0.08987626490266198,0.2405315968330266,0.7057748538011697,,,
niah_mv_v2,FT_K3,4,,,0.7467105263157895,,,
macro,DT_original,12,0.11568825223457106,0.15719199772146727,0.6567767884889802,0.2829787205345322,0.4608524949080733,0.704517553155132
macro,DT_endpoint_symmetric,12,0.101487600757668,0.1470528240825359,0.7001543522113142,0.23973724913385663,0.49763453074721253,0.7550943728655097
macro,DT_gate_symmetric,12,0.10408640898374615,0.14100725657353838,0.7228794047206772,0.2741859325426132,0.5108574758448714,0.7497199671015814
macro,DT_memory_symmetric,12,0.09999147498507215,0.13433248316129764,0.7346778280322583,0.28163701297438276,0.4886025205169644,0.7577138506860589
macro,DT_gdn_symmetric,12,0.09289407886274813,0.1268622651639461,0.7509933543952533,0.2688608459624004,0.5147381518093722,0.7833768154932589
macro,FT_K1,12,0.09593504721572414,0.25041542480698326,0.5355928744128278,,,
macro,FT_K3,12,,,0.5682687163491628,,,
