task,index,dt_rise,ft_rise,delta,dt_positive_rise,signed_minus_positive,dt_recall,ft_k3_recall,dt_mas,ft_mas,prompt_length,target_length,eligible_count,gold_count,positive_fraction,negative_fraction,gold_positive_fraction,root_effect,relative_residual,max_replay_l2,score_full,score_deleted,endpoint_gap,dt_zero_step,ft_zero_step,dt_y_1,ft_y_1,dt_deleted_gold_1,ft_deleted_gold_1,dt_negative_deleted_1,dt_y_2,ft_y_2,dt_deleted_gold_2,ft_deleted_gold_2,dt_negative_deleted_2,dt_y_4,ft_y_4,dt_deleted_gold_4,ft_deleted_gold_4,dt_negative_deleted_4,dt_y_10,ft_y_10,dt_deleted_gold_10,ft_deleted_gold_10,dt_negative_deleted_10
niah_mq_q2,0,0.1708100558659218,0.15013966480446925,0.020670391061452548,0.1708100558659218,0.0,0.425,0.3,0.22696761756746442,0.26485657112623545,357,248,310,40,0.635483870967742,0.36451612903225805,1.0,178.243640327364,-0.0034477138245198294,0.0,-109.0,-288.0,179.0,8,10,0.8324022346368715,0.7318435754189944,0.225,0.1,0,0.6536312849162011,0.5865921787709497,0.425,0.3,0,0.33519553072625696,0.22346368715083798,0.725,0.525,0,0.0,0.0,1.0,0.9,0
niah_mq_q2,1,0.04441489361702128,0.05851063829787233,-0.01409574468085105,0.04441489361702128,0.0,0.9473684210526315,0.7894736842105263,0.06821119707788678,0.23550349634985673,954,264,862,38,0.5394431554524362,0.4605568445475638,1.0,186.3029517640249,-0.0005990316106782049,0.0,-128.0,-316.0,188.0,3,4,0.3776595744680851,0.5425531914893617,0.5789473684210527,0.3684210526315789,0,0.010638297872340425,0.10638297872340426,0.9473684210526315,0.7368421052631579,0,0.0,0.0,1.0,0.868421052631579,0,0.0,0.0,1.0,0.9473684210526315,0
niah_mq_q2,2,0.06294117647058824,0.04911764705882352,0.013823529411764714,0.06294117647058824,0.0,0.9210526315789473,0.8421052631578947,0.08452000728282565,0.24166098394043883,954,291,862,38,0.511600928074246,0.48839907192575405,1.0,171.12412248483272,0.0034136506557412584,0.0,-144.0,-314.0,170.0,7,3,0.5117647058823529,0.4,0.6052631578947368,0.3684210526315789,0,0.07058823529411765,0.08235294117647059,0.9210526315789473,0.7894736842105263,0,0.03529411764705882,0.0,0.9736842105263158,0.868421052631579,0,0.0,0.0,1.0,0.9210526315789473,0
niah_mq_q2,3,0.15447658402203857,0.12169421487603305,0.03278236914600552,0.15447658402203857,0.0,0.3684210526315789,0.34210526315789475,0.20221674415115362,0.2607762181063418,351,239,304,38,0.6348684210526315,0.3651315789473684,1.0,182.73294591827351,0.0009634818519759046,0.0,-88.5,-270.0,181.5,7,8,0.7162534435261708,0.7548209366391184,0.2631578947368421,0.07894736842105263,0,0.6831955922865014,0.6005509641873278,0.3684210526315789,0.34210526315789475,0,0.3581267217630854,0.13774104683195593,0.7631578947368421,0.6578947368421053,0,0.0,0.0,1.0,0.8947368421052632,0
niah_mq_q2,4,0.1376190476190476,0.1180952380952381,0.019523809523809513,0.13380952380952377,0.003809523809523846,0.8974358974358975,0.8205128205128205,0.19738267433194165,0.25041879615626417,957,236,865,39,0.5271676300578034,0.4728323699421965,0.9743589743589743,209.4746498221001,-0.00041067347883489536,0.0,-96.0,-306.0,210.0,20,20,0.5047619047619047,0.6047619047619047,0.6410256410256411,0.3333333333333333,0,0.32857142857142857,0.12380952380952381,0.8974358974358975,0.7692307692307693,0,0.11428571428571428,0.09523809523809523,0.9743589743589743,0.8717948717948718,0,0.06666666666666667,0.0761904761904762,0.9743589743589743,0.8974358974358975,0
niah_mq_q2,5,0.06583333333333333,0.03944444444444445,0.02638888888888888,0.06583333333333333,0.0,0.8974358974358975,0.8461538461538461,0.09037998303678871,0.23461870879600197,957,268,865,39,0.5514450867052023,0.4485549132947977,1.0,181.60746414689356,0.008763190838765075,0.0,-142.0,-322.0,180.0,4,3,0.5722222222222222,0.23333333333333334,0.6153846153846154,0.5384615384615384,0,0.18888888888888888,0.05555555555555555,0.8974358974358975,0.8461538461538461,0,0.0,0.0,1.0,0.9230769230769231,0,0.0,0.0,1.0,0.9743589743589743,0
niah_mq_q2,6,0.15910404624277458,0.1359826589595376,0.023121387283236983,0.15910404624277458,0.0,0.5135135135135135,0.3783783783783784,0.21426501844082146,0.2718336718629309,348,264,301,37,0.6378737541528239,0.36212624584717606,1.0,173.40137558942445,-0.0037377017147281508,0.0,-143.0,-316.0,173.0,8,10,0.7052023121387283,0.8265895953757225,0.2972972972972973,0.10810810810810811,0,0.5491329479768786,0.5375722543352601,0.5135135135135135,0.35135135135135137,0,0.37572254335260113,0.21965317919075145,0.8108108108108109,0.6756756756756757,0,0.0,0.0,1.0,0.8918918918918919,0
niah_mq_q2,7,0.09869614512471654,0.08055555555555557,0.018140589569160967,0.09960317460317458,-0.0009070294784580407,0.8974358974358975,0.7948717948717948,0.13344894312639427,0.22823665988983946,957,260,865,39,0.5017341040462427,0.4982658959537572,1.0,221.74580945094408,0.0007080763023472067,0.0,-105.5,-326.0,220.5,18,20,0.47619047619047616,0.6122448979591837,0.5897435897435898,0.358974358974359,0,0.3356009070294785,0.14512471655328799,0.8974358974358975,0.7435897435897436,0,0.05442176870748299,0.036281179138321996,1.0,0.8717948717948718,0,0.036281179138321996,0.027210884353741496,1.0,0.8974358974358975,1
niah_mq_q2,8,0.16037906137184116,0.11128158844765343,0.04909747292418773,0.15532490974729243,0.005054151624548725,0.47368421052631576,0.42105263157894735,0.22000075761915286,0.2682409605166303,351,243,304,38,0.5986842105263158,0.40131578947368424,0.9736842105263158,138.27557012723128,0.001357267718138659,0.0,-97.5,-236.0,138.5,20,10,0.6931407942238267,0.7075812274368231,0.2631578947368421,0.15789473684210525,0,0.4693140794223827,0.555956678700361,0.5,0.34210526315789475,0,0.30324909747292417,0.05776173285198556,0.8157894736842105,0.6842105263157895,0,0.02888086642599278,0.0,0.9736842105263158,0.9210526315789473,0
niah_mq_q2,9,0.15720338983050847,0.11031073446327684,0.046892655367231625,0.15720338983050847,0.0,0.3,0.3,0.20453438446560473,0.2601101016010986,357,321,310,40,0.6096774193548387,0.3903225806451613,1.0,176.30094455811366,-0.00461785290059288,0.0,-181.0,-358.0,177.0,7,7,0.7570621468926554,0.7005649717514124,0.2,0.15,0,0.7005649717514124,0.6101694915254238,0.3,0.325,0,0.3163841807909605,0.06779661016949153,0.675,0.65,0,0.0,0.0,1.0,0.875,0
