task,index,query_tokens,intro_tokens,dt_query_fraction_deleted_1,dt_query_count_deleted_1,dt_intro_fraction_deleted_1,dt_intro_count_deleted_1,dt_gold_fraction_deleted_1,dt_gold_count_deleted_1,dt_query_fraction_deleted_2,dt_query_count_deleted_2,dt_intro_fraction_deleted_2,dt_intro_count_deleted_2,dt_gold_fraction_deleted_2,dt_gold_count_deleted_2,dt_query_fraction_deleted_4,dt_query_count_deleted_4,dt_intro_fraction_deleted_4,dt_intro_count_deleted_4,dt_gold_fraction_deleted_4,dt_gold_count_deleted_4,dt_query_fraction_deleted_5,dt_query_count_deleted_5,dt_intro_fraction_deleted_5,dt_intro_count_deleted_5,dt_gold_fraction_deleted_5,dt_gold_count_deleted_5,dt_query_fraction_deleted_10,dt_query_count_deleted_10,dt_intro_fraction_deleted_10,dt_intro_count_deleted_10,dt_gold_fraction_deleted_10,dt_gold_count_deleted_10,ft_query_fraction_deleted_1,ft_query_count_deleted_1,ft_intro_fraction_deleted_1,ft_intro_count_deleted_1,ft_gold_fraction_deleted_1,ft_gold_count_deleted_1,ft_query_fraction_deleted_2,ft_query_count_deleted_2,ft_intro_fraction_deleted_2,ft_intro_count_deleted_2,ft_gold_fraction_deleted_2,ft_gold_count_deleted_2,ft_query_fraction_deleted_4,ft_query_count_deleted_4,ft_intro_fraction_deleted_4,ft_intro_count_deleted_4,ft_gold_fraction_deleted_4,ft_gold_count_deleted_4,ft_query_fraction_deleted_5,ft_query_count_deleted_5,ft_intro_fraction_deleted_5,ft_intro_count_deleted_5,ft_gold_fraction_deleted_5,ft_gold_count_deleted_5,ft_query_fraction_deleted_10,ft_query_count_deleted_10,ft_intro_fraction_deleted_10,ft_intro_count_deleted_10,ft_gold_fraction_deleted_10,ft_gold_count_deleted_10
niah_mq_q2,0,43,24,0.16279069767441862,7,0.0,0,0.225,9,0.23255813953488372,10,0.16666666666666666,4,0.425,17,0.5813953488372093,25,0.2916666666666667,7,0.725,29,0.6744186046511628,29,0.375,9,0.875,35,0.9302325581395349,40,0.625,15,1.0,40,0.27906976744186046,12,0.0,0,0.1,4,0.46511627906976744,20,0.0,0,0.3,12,0.8604651162790697,37,0.16666666666666666,4,0.525,21,0.9534883720930233,41,0.2916666666666667,7,0.7,28,1.0,43,0.75,18,0.9,36
niah_mq_q2,1,39,24,0.41025641025641024,16,0.20833333333333334,5,0.5789473684210527,22,0.7692307692307693,30,0.4166666666666667,10,0.9473684210526315,36,0.9230769230769231,36,0.75,18,1.0,38,0.9487179487179487,37,0.75,18,1.0,38,0.9487179487179487,37,0.8333333333333334,20,1.0,38,0.717948717948718,28,0.08333333333333333,2,0.3684210526315789,14,1.0,39,0.375,9,0.7368421052631579,28,1.0,39,0.6666666666666666,16,0.868421052631579,33,1.0,39,0.6666666666666666,16,0.8947368421052632,34,1.0,39,0.9583333333333334,23,0.9473684210526315,36
niah_mq_q2,2,39,24,0.3333333333333333,13,0.25,6,0.6052631578947368,23,0.717948717948718,28,0.3333333333333333,8,0.9210526315789473,35,0.7948717948717948,31,0.6666666666666666,16,0.9736842105263158,37,0.8461538461538461,33,0.7083333333333334,17,1.0,38,0.9230769230769231,36,0.8333333333333334,20,1.0,38,0.717948717948718,28,0.08333333333333333,2,0.3684210526315789,14,0.9487179487179487,37,0.4583333333333333,11,0.7894736842105263,30,1.0,39,0.75,18,0.868421052631579,33,1.0,39,0.7916666666666666,19,0.868421052631579,33,1.0,39,0.9583333333333334,23,0.9210526315789473,35
niah_mq_q2,3,39,24,0.1282051282051282,5,0.041666666666666664,1,0.2631578947368421,10,0.3333333333333333,13,0.16666666666666666,4,0.3684210526315789,14,0.5897435897435898,23,0.2916666666666667,7,0.7631578947368421,29,0.717948717948718,28,0.3333333333333333,8,0.8947368421052632,34,0.9230769230769231,36,0.5833333333333334,14,1.0,38,0.3333333333333333,13,0.0,0,0.07894736842105263,3,0.46153846153846156,18,0.041666666666666664,1,0.34210526315789475,13,0.8461538461538461,33,0.20833333333333334,5,0.6578947368421053,25,0.8974358974358975,35,0.2916666666666667,7,0.7631578947368421,29,1.0,39,0.7916666666666666,19,0.8947368421052632,34
niah_mq_q2,4,41,24,0.24390243902439024,10,0.25,6,0.6410256410256411,25,0.5365853658536586,22,0.375,9,0.8974358974358975,35,0.8536585365853658,35,0.75,18,0.9743589743589743,38,0.9024390243902439,37,0.7916666666666666,19,0.9743589743589743,38,0.926829268292683,38,0.875,21,0.9743589743589743,38,0.6829268292682927,28,0.08333333333333333,2,0.3333333333333333,13,1.0,41,0.2916666666666667,7,0.7692307692307693,30,1.0,41,0.6666666666666666,16,0.8717948717948718,34,1.0,41,0.7083333333333334,17,0.8717948717948718,34,1.0,41,0.9583333333333334,23,0.8974358974358975,35
niah_mq_q2,5,41,24,0.36585365853658536,15,0.20833333333333334,5,0.6153846153846154,24,0.6341463414634146,26,0.5,12,0.8974358974358975,35,0.8048780487804879,33,0.5833333333333334,14,1.0,39,0.8292682926829268,34,0.5833333333333334,14,1.0,39,0.8536585365853658,35,0.625,15,1.0,39,0.5121951219512195,21,0.08333333333333333,2,0.5384615384615384,21,0.926829268292683,38,0.375,9,0.8461538461538461,33,1.0,41,0.6666666666666666,16,0.9230769230769231,36,1.0,41,0.875,21,0.9487179487179487,37,1.0,41,1.0,24,0.9743589743589743,38
niah_mq_q2,6,37,24,0.10810810810810811,4,0.041666666666666664,1,0.2972972972972973,11,0.24324324324324326,9,0.125,3,0.5135135135135135,19,0.5405405405405406,20,0.2916666666666667,7,0.8108108108108109,30,0.6216216216216216,23,0.4166666666666667,10,0.918918918918919,34,0.918918918918919,34,0.625,15,1.0,37,0.2972972972972973,11,0.041666666666666664,1,0.10810810810810811,4,0.43243243243243246,16,0.08333333333333333,2,0.35135135135135137,13,0.8108108108108109,30,0.20833333333333334,5,0.6756756756756757,25,0.918918918918919,34,0.2916666666666667,7,0.7567567567567568,28,1.0,37,0.75,18,0.8918918918918919,33
niah_mq_q2,7,41,24,0.3170731707317073,13,0.2916666666666667,7,0.5897435897435898,23,0.5365853658536586,22,0.3333333333333333,8,0.8974358974358975,35,0.9512195121951219,39,0.7916666666666666,19,1.0,39,0.975609756097561,40,0.8333333333333334,20,1.0,39,0.975609756097561,40,0.875,21,1.0,39,0.6829268292682927,28,0.08333333333333333,2,0.358974358974359,14,1.0,41,0.4583333333333333,11,0.7435897435897436,29,1.0,41,0.7083333333333334,17,0.8717948717948718,34,1.0,41,0.875,21,0.8717948717948718,34,1.0,41,0.9583333333333334,23,0.8974358974358975,35
niah_mq_q2,8,39,24,0.1282051282051282,5,0.041666666666666664,1,0.2631578947368421,10,0.2564102564102564,10,0.125,3,0.5,19,0.5897435897435898,23,0.375,9,0.8157894736842105,31,0.6923076923076923,27,0.5,12,0.9210526315789473,35,0.8461538461538461,33,0.625,15,0.9736842105263158,37,0.2564102564102564,10,0.0,0,0.15789473684210525,6,0.46153846153846156,18,0.041666666666666664,1,0.34210526315789475,13,0.7948717948717948,31,0.16666666666666666,4,0.6842105263157895,26,0.8461538461538461,33,0.375,9,0.7894736842105263,30,0.9743589743589743,38,0.75,18,0.9210526315789473,35
niah_mq_q2,9,43,24,0.13953488372093023,6,0.08333333333333333,2,0.2,8,0.32558139534883723,14,0.20833333333333334,5,0.3,12,0.5348837209302325,23,0.3333333333333333,8,0.675,27,0.627906976744186,27,0.4166666666666667,10,0.875,35,0.8837209302325582,38,0.7916666666666666,19,1.0,40,0.23255813953488372,10,0.0,0,0.15,6,0.4186046511627907,18,0.041666666666666664,1,0.325,13,0.7209302325581395,31,0.25,6,0.65,26,0.8372093023255814,36,0.375,9,0.75,30,1.0,43,0.7916666666666666,19,0.875,35
