dataset,count,comparison,metric,paired_mean_difference,bootstrap_95_low,bootstrap_95_high,DT_better_direction
niah_mq_q2,100,DT - FT_K1,recall,0.12903402690560495,0.11861813711958853,0.1392091968232063,positive
niah_mq_q2,100,DT - FT_K1,rise,0.01662804053229192,0.01312478715916973,0.02016758605457794,negative
niah_mq_q2,100,DT - FT_K1,mas,-0.10390770385305621,-0.11442984679884213,-0.09350137177614565,negative
niah_mq_q2,100,DT - FT_K1,attribution_seconds,-1.8146713099628686,-2.074292044292204,-1.531198873815127,negative
niah_mq_q2,100,DT - ifr-tokenwise,recall,0.1770254985281853,0.1663718956406951,0.18752167755769214,positive
niah_mq_q2,100,DT - ifr-tokenwise,rise,0.008058766300539436,0.004584154831563699,0.011550345471437174,negative
niah_mq_q2,100,DT - ifr-tokenwise,mas,-0.09999607082111839,-0.11079290213184054,-0.08888682201957054,negative
niah_mq_q2,100,DT - ifr-tokenwise,attribution_seconds,-2.3573073556274178,-2.5764258861327543,-2.11919871568121,negative
niah_mq_q2,100,DT - FT_K3,recall,0.10195346844695292,0.0931891886277281,0.1106794231239286,positive
niah_mq_q2,100,DT - FT_K3,attribution_seconds,0.23602849915623664,0.12183818745799363,0.4025381904002277,negative
niah_mq_q4,100,DT - FT_K1,recall,0.08779969440427637,0.07839582436156775,0.09724653011512838,positive
niah_mq_q4,100,DT - FT_K1,rise,0.03306401150972906,0.02885610815112708,0.037280223050820405,negative
niah_mq_q4,100,DT - FT_K1,mas,-0.018284172873946326,-0.037472651277344164,0.0016186071535103802,negative
niah_mq_q4,100,DT - FT_K1,attribution_seconds,-13.21573533758521,-14.689331580145284,-11.640540869187566,negative
niah_mq_q4,100,DT - ifr-tokenwise,recall,0.10302034371765516,0.09196622685371958,0.11376686531760358,positive
niah_mq_q4,100,DT - ifr-tokenwise,rise,0.029727499896620376,0.02533113731337449,0.03418773536891849,negative
niah_mq_q4,100,DT - ifr-tokenwise,mas,-0.01623808882565043,-0.03482101334612819,0.0031286473178144523,negative
niah_mq_q4,100,DT - ifr-tokenwise,attribution_seconds,-6.297118517719209,-6.606310697236099,-5.985619772966952,negative
niah_mq_q4,100,DT - FT_K3,recall,0.07141611585160783,0.0628952802626648,0.08006942112176171,positive
niah_mq_q4,100,DT - FT_K3,attribution_seconds,0.07809041634202003,0.049362393469549716,0.10721152983792123,negative
niah_mq_q8,100,DT - FT_K1,recall,0.04759943051457466,0.04297395090973956,0.05222751310307237,positive
niah_mq_q8,100,DT - FT_K1,rise,0.00484597933784793,0.0013886373085532366,0.008319415210193401,negative
niah_mq_q8,100,DT - FT_K1,mas,0.12494390370001578,0.11777795266551007,0.1314853907269802,negative
niah_mq_q8,100,DT - FT_K1,attribution_seconds,-14.654028998352587,-15.86752952542249,-13.366855906560085,negative
niah_mq_q8,100,DT - ifr-tokenwise,recall,0.11054648396577735,0.10661349880750538,0.11462097663498866,positive
niah_mq_q8,100,DT - ifr-tokenwise,rise,0.020805161357179004,0.017495792114258505,0.02416044353857999,negative
niah_mq_q8,100,DT - ifr-tokenwise,mas,0.1321371245053667,0.12478533499709663,0.13893377389007422,negative
niah_mq_q8,100,DT - ifr-tokenwise,attribution_seconds,-11.093148034922779,-11.474144990231842,-10.735217080550267,negative
niah_mq_q8,100,DT - FT_K3,recall,0.025511218896789107,0.021973671156845297,0.029032268823570483,positive
niah_mq_q8,100,DT - FT_K3,attribution_seconds,0.14219212099909784,0.10079049638751894,0.19414774449355898,negative
niah_mv_v2,100,DT - FT_K1,recall,0.1649090985038354,0.15482941938178776,0.17466331520088096,positive
niah_mv_v2,100,DT - FT_K1,rise,-0.005106836252921609,-0.00885400423276159,-0.0015246070263250473,negative
niah_mv_v2,100,DT - FT_K1,mas,-0.12473813097900528,-0.13346200078723477,-0.11557883324438328,negative
niah_mv_v2,100,DT - FT_K1,attribution_seconds,-9.808415407165885,-11.551099591280334,-8.022228939095514,negative
niah_mv_v2,100,DT - ifr-tokenwise,recall,0.18584818865345185,0.17640790869218503,0.19506276315789473,positive
niah_mv_v2,100,DT - ifr-tokenwise,rise,-0.008994347713243556,-0.013915396017157371,-0.0043141549101837675,negative
niah_mv_v2,100,DT - ifr-tokenwise,mas,-0.11786337319401868,-0.1273110870413602,-0.1082450194528616,negative
niah_mv_v2,100,DT - ifr-tokenwise,attribution_seconds,-2.0391674284636974,-2.180411277212203,-1.8918127648402006,negative
niah_mv_v2,100,DT - FT_K3,recall,0.1356091023012076,0.12514420891243258,0.14595809894053316,positive
niah_mv_v2,100,DT - FT_K3,attribution_seconds,0.11930420607328415,0.09799323144275694,0.1391012418484315,negative
niah_mv_v4,100,DT - FT_K1,recall,0.08512910116199592,0.07456420905483406,0.09567166353383458,positive
niah_mv_v4,100,DT - FT_K1,rise,0.007606253802209334,0.0031242979501508675,0.01231164302367219,negative
niah_mv_v4,100,DT - FT_K1,mas,-0.06787964776159504,-0.0838972859457104,-0.050994511939025024,negative
niah_mv_v4,100,DT - FT_K1,attribution_seconds,-8.053439425751566,-9.879850341175683,-6.2458809166438884,negative
niah_mv_v4,100,DT - ifr-tokenwise,recall,0.06728517316017317,0.05872635186450975,0.07544960246259588,positive
niah_mv_v4,100,DT - ifr-tokenwise,rise,-0.0024498897773250414,-0.0074522273705957525,0.0026425964094071433,negative
niah_mv_v4,100,DT - ifr-tokenwise,mas,-0.0778282308765153,-0.09317728542243352,-0.06223156023673431,negative
niah_mv_v4,100,DT - ifr-tokenwise,attribution_seconds,-4.6094187787920236,-4.847522448330187,-4.354205175078474,negative
niah_mv_v4,100,DT - FT_K3,recall,0.07952947710184552,0.06974252344877346,0.08953727358168148,positive
niah_mv_v4,100,DT - FT_K3,attribution_seconds,0.06463257543742656,0.03987704216595739,0.08911646772269159,negative
niah_mv_v8,100,DT - FT_K1,recall,-0.0020157780815675524,-0.008014403551492365,0.0040121698659527595,positive
niah_mv_v8,100,DT - FT_K1,rise,-0.01327745886394497,-0.02083360204018537,-0.0056221606489121456,negative
niah_mv_v8,100,DT - FT_K1,mas,0.02400811363606943,0.011746211989505454,0.03651353068260779,negative
niah_mv_v8,100,DT - FT_K1,attribution_seconds,-12.919269789159298,-14.43300712491665,-11.317888991989197,negative
niah_mv_v8,100,DT - ifr-tokenwise,recall,0.006779932786511736,0.001964804292929295,0.011629678243905222,positive
niah_mv_v8,100,DT - ifr-tokenwise,rise,-0.024876185808619153,-0.03288515917124106,-0.017075455933067942,negative
niah_mv_v8,100,DT - ifr-tokenwise,mas,0.0009459607860345451,-0.011497060557721801,0.013808974741245952,negative
niah_mv_v8,100,DT - ifr-tokenwise,attribution_seconds,-8.894567729122937,-9.305862623726949,-8.484329366751016,negative
niah_mv_v8,100,DT - FT_K3,recall,-0.0014927707526391709,-0.0072777987819928605,0.004476915536948435,positive
niah_mv_v8,100,DT - FT_K3,attribution_seconds,0.020511150173842908,-0.011950128965079784,0.052408355467952764,negative
vt_h2_c3,100,DT - FT_K1,recall,0.12239733609971375,0.10759566832797192,0.1371023795255876,positive
vt_h2_c3,100,DT - FT_K1,rise,-0.030169743840330058,-0.03508624758205068,-0.025091798708075944,negative
vt_h2_c3,100,DT - FT_K1,mas,-0.07645355171121493,-0.08512260598333282,-0.06728208375503288,negative
vt_h2_c3,100,DT - FT_K1,attribution_seconds,-9.987772459760308,-11.763511593256146,-8.157561256346293,negative
vt_h2_c3,100,DT - FT_K1,recovery_attribution_seconds,0.6076486798375845,0.4473304792735726,0.8711987513536587,negative
vt_h2_c3,100,DT - ifr-tokenwise,recall,0.02482895533996758,0.01216103703033104,0.03761164743827426,positive
vt_h2_c3,100,DT - ifr-tokenwise,rise,-0.04171149280407389,-0.04713471471595166,-0.03580372488865281,negative
vt_h2_c3,100,DT - ifr-tokenwise,mas,-0.08540454404844283,-0.09584427556600256,-0.07457175243138156,negative
vt_h2_c3,100,DT - ifr-tokenwise,attribution_seconds,-4.527826746031642,-4.593860744951292,-4.465244053492323,negative
vt_h2_c3,100,DT - ifr-tokenwise,recovery_attribution_seconds,-3.1180455719679596,-3.276990859568119,-2.8510093958536165,negative
vt_h2_c3,100,DT - FT_K3,recall,0.12239733609971375,0.10765334377615907,0.13670504010230128,positive
vt_h2_c3,100,DT - FT_K3,attribution_seconds,-0.0313800011947751,-0.06174337612744421,0.0002793537555262303,negative
vt_h2_c3,100,DT - FT_K3,recovery_attribution_seconds,-1.1524760420247913,-2.074107446043752,-0.3839309664415196,negative
vt_h4_c1,100,DT - FT_K1,recall,0.014306624461557602,0.00976660154799289,0.018871633473348866,positive
vt_h4_c1,100,DT - FT_K1,rise,0.00023514707132541335,-0.0025501558067592156,0.0030881960866864337,negative
vt_h4_c1,100,DT - FT_K1,mas,-0.03891112517622006,-0.04382886630138502,-0.0337828512054366,negative
vt_h4_c1,100,DT - FT_K1,attribution_seconds,-3.1227887362614273,-4.590650794782675,-1.7470621484173463,negative
vt_h4_c1,100,DT - FT_K1,recovery_attribution_seconds,0.4555012233182788,0.44021217729151246,0.4708959226757288,negative
vt_h4_c1,100,DT - ifr-tokenwise,recall,0.0007867778836023287,-0.002583469744715367,0.004175443980924021,positive
vt_h4_c1,100,DT - ifr-tokenwise,rise,0.0023405055616974027,-0.00010144569837291314,0.004770710371885501,negative
vt_h4_c1,100,DT - ifr-tokenwise,mas,-0.01928543517295791,-0.023753852314892812,-0.014288362444146675,negative
vt_h4_c1,100,DT - ifr-tokenwise,attribution_seconds,-4.973882433623076,-5.027577219188213,-4.920986932812259,negative
vt_h4_c1,100,DT - ifr-tokenwise,recovery_attribution_seconds,-3.8817797172814608,-3.9100929175624626,-3.8532624255232513,negative
vt_h4_c1,100,DT - FT_K3,recall,0.014907265487198628,0.010362142779232286,0.019322849637004497,positive
vt_h4_c1,100,DT - FT_K3,attribution_seconds,0.030751448571681977,0.002284631964750589,0.059406174526549844,negative
vt_h4_c1,100,DT - FT_K3,recovery_attribution_seconds,-0.5399792888760566,-1.2535437340755016,0.019000543062575155,negative
vt_h6_c1,100,DT - FT_K1,recall,-0.028407405350219187,-0.03526704812244319,-0.02158935573655865,positive
vt_h6_c1,100,DT - FT_K1,rise,-0.0015333707191651316,-0.0038041393797265126,0.0008458405370390936,negative
vt_h6_c1,100,DT - FT_K1,mas,-0.04181319997310966,-0.046173323089982996,-0.03662707954017697,negative
vt_h6_c1,100,DT - FT_K1,attribution_seconds,-4.222484628632665,-5.760788909373805,-2.6901695074569436,negative
vt_h6_c1,100,DT - FT_K1,recovery_attribution_seconds,0.4424012149497867,0.42918090729322284,0.4555415314696729,negative
vt_h6_c1,100,DT - ifr-tokenwise,recall,-0.022465277451103226,-0.02909293680690629,-0.015811477486699914,positive
vt_h6_c1,100,DT - ifr-tokenwise,rise,0.0023702699887021717,0.0002653766836687564,0.004585376705785792,negative
vt_h6_c1,100,DT - ifr-tokenwise,mas,-0.018201908950058212,-0.02221143100389867,-0.01351528214381015,negative
vt_h6_c1,100,DT - ifr-tokenwise,attribution_seconds,-6.0668442784994845,-6.131189151838422,-6.002557364892215,negative
vt_h6_c1,100,DT - ifr-tokenwise,recovery_attribution_seconds,-4.444904700405896,-4.473288029415533,-4.417485621490516,negative
vt_h6_c1,100,DT - FT_K3,recall,-0.027943390198704038,-0.03480031732509237,-0.020941502959959914,positive
vt_h6_c1,100,DT - FT_K3,attribution_seconds,-0.013738411217927933,-0.042014068639837206,0.015612795219756658,negative
vt_h6_c1,100,DT - FT_K3,recovery_attribution_seconds,-0.29895919349044564,-0.8638689654069021,0.09315084309782833,negative
vt_h10_c1,100,DT - FT_K1,recall,-0.05497264938489985,-0.059929475337290664,-0.05004418605977417,positive
vt_h10_c1,100,DT - FT_K1,rise,0.016588579269704515,0.013996566687678182,0.019086625112836333,negative
vt_h10_c1,100,DT - FT_K1,mas,-0.006080730118472746,-0.012319551516535502,0.0003006428704866748,negative
vt_h10_c1,100,DT - FT_K1,attribution_seconds,-6.717126482389867,-8.49885917509161,-4.943023764366285,negative
vt_h10_c1,100,DT - FT_K1,recovery_attribution_seconds,0.504622266702354,0.48838664226327094,0.5209958053128794,negative
vt_h10_c1,100,DT - ifr-tokenwise,recall,-0.05215168782905597,-0.05649377774834334,-0.04784244802062768,positive
vt_h10_c1,100,DT - ifr-tokenwise,rise,0.021912608663065374,0.01934242793749893,0.024415602129393043,negative
vt_h10_c1,100,DT - ifr-tokenwise,mas,0.02224428683522585,0.01606730788949268,0.02869519778735947,negative
vt_h10_c1,100,DT - ifr-tokenwise,attribution_seconds,-8.379010038264095,-8.466100071202032,-8.291970805511811,negative
vt_h10_c1,100,DT - ifr-tokenwise,recovery_attribution_seconds,-5.853932547010482,-5.89079347888846,-5.817198772289791,negative
vt_h10_c1,100,DT - FT_K3,recall,-0.05555421234754618,-0.060350996769150705,-0.05069779299122398,positive
vt_h10_c1,100,DT - FT_K3,attribution_seconds,-0.11264042370021343,-0.1410362632246688,-0.08233016256522388,negative
