dataset,method,count,mean_seconds_all_calls,median_seconds_all_calls,p90_seconds_all_calls,first_call_seconds,calls_with_new_torch_graphs,new_torch_graphs_total,max_peak_allocated_gib
niah_mq_q2,DT,100,1.2019189989939332,0.9203628394752741,1.4199883151799442,7.1384363397955894,2,7,19.430729389190674
niah_mq_q2,FT_K1,100,3.016590308956802,3.2606816217303276,4.242877967655659,2.91053881123662,0,0,24.193120002746582
niah_mq_q2,ifr-tokenwise,100,3.5592263546213507,2.8488677255809307,4.987893505766988,2.3416383303701878,0,0,27.085707664489746
niah_mq_q2,FT_K3,100,0.9658904998376966,0.7422573138028383,1.3809792034327986,0.6714828088879585,0,0,24.193120002746582
niah_mq_q4,DT,100,1.3461663674935698,1.4825704898685217,1.5594338815659285,1.473569117486477,0,0,20.337274074554443
niah_mq_q4,FT_K1,100,14.56190170507878,17.862235970795155,20.508677083626388,20.135519456118345,0,0,25.045934200286865
niah_mq_q4,ifr-tokenwise,100,7.643284885212779,8.496511913836002,9.352410954609514,8.962600857019424,0,0,27.771777153015137
niah_mq_q4,FT_K3,100,1.2680759511515498,1.3712502866983414,1.6371515709906816,1.5577494502067566,0,0,25.045934200286865
niah_mq_q8,DT,100,1.340559045150876,1.3024520799517632,1.4460754711180925,1.2343953773379326,1,1,21.609278202056885
niah_mq_q8,FT_K1,100,15.994588043503462,18.016240501776338,20.028003943711518,17.895376838743687,0,0,27.504441738128662
niah_mq_q8,ifr-tokenwise,100,12.433707080073654,12.17515217885375,13.903967710584405,11.943373449146748,0,0,29.77370262145996
niah_mq_q8,FT_K3,100,1.1983669241517783,1.1538893915712833,1.3824931491166355,1.080487683415413,0,0,27.504441738128662
niah_mv_v2,DT,100,1.1294684624299407,1.284749312326312,1.4287597022950649,1.4364588558673859,0,0,19.18095302581787
niah_mv_v2,FT_K1,100,10.937883869595826,17.342384977266192,20.085445668920876,0.9486197344958782,0,0,23.79981756210327
niah_mv_v2,ifr-tokenwise,100,3.168635890893638,3.717480044811964,4.28381212502718,4.106234088540077,0,0,26.77080535888672
niah_mv_v2,FT_K3,100,1.0101642563566566,1.0924231875687838,1.4146817371249198,1.306385237723589,0,0,23.79981756210327
niah_mv_v4,DT,100,1.3181045132875442,1.4479930866509676,1.5234161224216223,0.9062786847352982,0,0,19.90714979171753
niah_mv_v4,FT_K1,100,9.37154393903911,1.1613746080547571,20.29335401169956,0.4812844283878803,0,0,24.971985340118408
niah_mv_v4,ifr-tokenwise,100,5.9275232920795675,6.6402170564979315,7.201328616961837,3.5220067389309406,0,0,27.71998929977417
niah_mv_v4,FT_K3,100,1.2534719378501178,1.3620124571025372,1.5918903514742853,0.7140811420977116,0,0,24.971985340118408
niah_mv_v8,DT,100,1.3952995774522423,1.2685714978724718,1.7205450411885976,1.2049015127122402,0,0,22.02556610107422
niah_mv_v8,FT_K1,100,14.31456936661154,17.971499821171165,20.808069113269447,0.8233155347406864,0,0,27.168931007385254
niah_mv_v8,ifr-tokenwise,100,10.289867306575179,9.138381274417043,13.395179669186474,8.74340932071209,0,0,29.493857383728027
niah_mv_v8,FT_K3,100,1.3747884272783994,1.2287552282214165,1.8984580889344216,1.2298964001238346,0,0,27.168931007385254
vt_h2_c3,DT,100,1.553459392786026,1.5592525154352188,1.6288705985993148,1.611423321068287,0,0,19.925658702850342
vt_h2_c3,FT_K1,100,11.541231852546334,17.581089582294226,20.685626367107034,3.8913583047688007,0,0,25.607877731323242
vt_h2_c3,ifr-tokenwise,100,6.081286138817668,6.111187502741814,6.554645619168878,5.812264651060104,0,0,28.22742795944214
vt_h2_c3,FT_K3,100,1.5848393939808012,1.6474627368152142,1.7668452333658935,1.416996855288744,0,0,25.607877731323242
vt_h4_c1,DT,100,1.501065722592175,1.494530402123928,1.546999655291438,1.487199854105711,0,0,19.47698974609375
vt_h4_c1,FT_K1,100,4.623854458853603,1.1415291354060173,18.624785488098862,17.392446987330914,0,0,24.899959564208984
vt_h4_c1,ifr-tokenwise,100,6.474948156215251,6.476582810282707,6.854480873793364,6.500475857406855,0,0,27.662001132965088
vt_h4_c1,FT_K3,100,1.470314274020493,1.5361934080719948,1.632108785957098,1.285885013639927,0,0,24.899959564208984
vt_h6_c1,DT,100,1.5890628739073873,1.5897636227309704,1.653977680578828,1.6078758388757706,0,0,20.170806884765625
vt_h6_c1,FT_K1,100,5.811547502540052,1.2292120978236198,18.90484399944544,1.2219372540712357,0,0,25.9147367477417
vt_h6_c1,ifr-tokenwise,100,7.655907152406871,7.6304221004247665,8.13892174474895,7.510126478970051,0,0,28.48208522796631
vt_h6_c1,FT_K3,100,1.6028012851253153,1.6546067278832197,1.7633585259318352,1.6636945977807045,0,0,25.9147367477417
vt_h10_c1,DT,100,1.6335421255230904,1.63207520917058,1.6981477096676827,1.7025562301278114,0,0,20.434462070465088
vt_h10_c1,FT_K1,100,8.350668607912958,1.323760986328125,20.979675080999733,21.01657012104988,0,0,26.52296733856201
vt_h10_c1,ifr-tokenwise,100,10.012552163787186,9.940449902787805,10.619965621456505,10.321808580309153,0,0,28.967620372772217
vt_h10_c1,FT_K3,100,1.7461825492233038,1.7576108612120152,1.9093271095305682,1.845074638724327,0,0,26.52296733856201
hotpotqa_long,DT,48,1.685935184514771,1.5808203928172588,2.209170477464795,3.4709346517920494,0,0,21.6728458404541
hotpotqa_long,FT_K1,48,10.592687028537815,8.020915845409036,21.40263585969806,14.628478214144707,0,0,47.75740909576416
hotpotqa_long,ifr-tokenwise,48,3.1357746326054134,2.140479376539588,6.114667973294854,6.119062107056379,0,0,47.75626277923584
hotpotqa_long,FT_K3,48,1.9134320812299848,1.6543487459421158,2.7550699852406986,6.14923695102334,0,0,47.75626277923584
math,DT,100,0.7192285231873393,0.6529159415513277,0.772199870646,0.6761418655514717,0,0,35.282814502716064
math,FT_K1,100,14.174802776761354,17.232085218653083,19.008351692929864,18.97463822737336,0,0,54.759785652160645
math,ifr-tokenwise,100,0.6763086269795895,0.4873033706098795,0.8472040854394437,0.732470840215683,0,0,54.75944900512695
