dataset,count,comparison,metric,paired_mean_difference,bootstrap_95_low,bootstrap_95_high,DT_better_direction
niah_mq_q2,100,DT - FT_K1,recall,0.12903402690560495,0.11861813711958853,0.1392091968232063,positive
niah_mq_q2,100,DT - FT_K1,rise,0.01662804053229192,0.01312478715916973,0.02016758605457794,negative
niah_mq_q2,100,DT - FT_K1,mas,-0.10390770385305621,-0.11442984679884213,-0.09350137177614565,negative
niah_mq_q2,100,DT - ifr-tokenwise,recall,0.1770254985281853,0.16649349982940043,0.18743489312838843,positive
niah_mq_q2,100,DT - ifr-tokenwise,rise,0.008058766300539436,0.00452164704562389,0.011557832662014232,negative
niah_mq_q2,100,DT - ifr-tokenwise,mas,-0.09999607082111839,-0.1110872538272164,-0.08910094827579583,negative
niah_mq_q2,100,DT - FT_K3,recall,0.10195346844695292,0.09320191359210711,0.11067893867003002,positive
niah_mq_q4,100,DT - FT_K1,recall,0.08779969440427637,0.07821602528351099,0.09745890180615822,positive
niah_mq_q4,100,DT - FT_K1,rise,0.03306401150972906,0.028856851853320955,0.03718077564594802,negative
niah_mq_q4,100,DT - FT_K1,mas,-0.018284172873946326,-0.037470689226496184,0.0017515807497232407,negative
niah_mq_q4,100,DT - ifr-tokenwise,recall,0.10302034371765516,0.09206436181123467,0.11393218918269474,positive
niah_mq_q4,100,DT - ifr-tokenwise,rise,0.029727499896620376,0.025357746669557226,0.03408003647045677,negative
niah_mq_q4,100,DT - ifr-tokenwise,mas,-0.01623808882565043,-0.03490104318559561,0.003127050310325927,negative
niah_mq_q4,100,DT - FT_K3,recall,0.07141611585160783,0.06266484999923351,0.08003941762689762,positive
niah_mq_q8,100,DT - FT_K1,recall,0.04759943051457466,0.04292953033741485,0.05228591053704657,positive
niah_mq_q8,100,DT - FT_K1,rise,0.00484597933784793,0.0015211312417781743,0.008283749691659703,negative
niah_mq_q8,100,DT - FT_K1,mas,0.12494390370001578,0.1176251021188768,0.13161732521764252,negative
niah_mq_q8,100,DT - ifr-tokenwise,recall,0.11054648396577735,0.10657562672782041,0.11461836615913676,positive
niah_mq_q8,100,DT - ifr-tokenwise,rise,0.020805161357179004,0.01742411539560287,0.024253257485660193,negative
niah_mq_q8,100,DT - ifr-tokenwise,mas,0.1321371245053667,0.12473339900230698,0.1390498705627626,negative
niah_mq_q8,100,DT - FT_K3,recall,0.025511218896789107,0.021971759186946056,0.029005191302554616,positive
niah_mv_v2,100,DT - FT_K1,recall,0.1649090985038354,0.15491265816055286,0.17478045046327936,positive
niah_mv_v2,100,DT - FT_K1,rise,-0.005106836252921609,-0.008813585153002295,-0.0015030737590069282,negative
niah_mv_v2,100,DT - FT_K1,mas,-0.12473813097900528,-0.1333488035689977,-0.11537048204699113,negative
niah_mv_v2,100,DT - ifr-tokenwise,recall,0.18584818865345185,0.17628626348067136,0.19521851817042601,positive
niah_mv_v2,100,DT - ifr-tokenwise,rise,-0.008994347713243556,-0.01395426519302857,-0.004300833949338367,negative
niah_mv_v2,100,DT - ifr-tokenwise,mas,-0.11786337319401868,-0.1271560793701542,-0.10795564761446955,negative
niah_mv_v2,100,DT - FT_K3,recall,0.1356091023012076,0.1253307826384142,0.1456773624401914,positive
niah_mv_v4,100,DT - FT_K1,recall,0.08512910116199592,0.07479768692564746,0.09554832013746486,positive
niah_mv_v4,100,DT - FT_K1,rise,0.007606253802209334,0.003165442795626374,0.0123311623520243,negative
niah_mv_v4,100,DT - FT_K1,mas,-0.06787964776159504,-0.08429560779624701,-0.05131105949963426,negative
niah_mv_v4,100,DT - ifr-tokenwise,recall,0.06728517316017317,0.05870800865800867,0.07554042065390751,positive
niah_mv_v4,100,DT - ifr-tokenwise,rise,-0.0024498897773250414,-0.0074874805527995955,0.0027459331497375126,negative
niah_mv_v4,100,DT - ifr-tokenwise,mas,-0.0778282308765153,-0.09311407396521344,-0.06204549978783521,negative
niah_mv_v4,100,DT - FT_K3,recall,0.07952947710184552,0.06951239438558518,0.08915048819966584,positive
niah_mv_v8,100,DT - FT_K1,recall,-0.0020157780815675524,-0.008056601850269612,0.004053401377496779,positive
niah_mv_v8,100,DT - FT_K1,rise,-0.01327745886394497,-0.020836786140718284,-0.005720960883522038,negative
niah_mv_v8,100,DT - FT_K1,mas,0.02400811363606943,0.011633126885042502,0.03640045877180092,negative
niah_mv_v8,100,DT - ifr-tokenwise,recall,0.006779932786511736,0.0017514767031214427,0.011513072216526166,positive
niah_mv_v8,100,DT - ifr-tokenwise,rise,-0.024876185808619153,-0.03287887864432789,-0.016920063980806366,negative
niah_mv_v8,100,DT - ifr-tokenwise,mas,0.0009459607860345451,-0.011354587078491407,0.013515462707143197,negative
niah_mv_v8,100,DT - FT_K3,recall,-0.0014927707526391709,-0.00719105801910078,0.004102627544239393,positive
vt_h2_c3,100,DT - FT_K1,recall,0.12239733609971375,0.10758703139225488,0.13744930908540126,positive
vt_h2_c3,100,DT - FT_K1,rise,-0.030169743840330058,-0.03505918571065831,-0.025007201028909843,negative
vt_h2_c3,100,DT - FT_K1,mas,-0.07645355171121493,-0.084939975482864,-0.06687952751487106,negative
vt_h2_c3,100,DT - ifr-tokenwise,recall,0.02482895533996758,0.01214255827273033,0.03729071363859948,positive
vt_h2_c3,100,DT - ifr-tokenwise,rise,-0.04171149280407389,-0.04711764410739433,-0.03597433354856578,negative
vt_h2_c3,100,DT - ifr-tokenwise,mas,-0.08540454404844283,-0.09568419709166157,-0.07388395122226002,negative
vt_h2_c3,100,DT - FT_K3,recall,0.12239733609971375,0.1077502406105538,0.13724342442330098,positive
vt_h4_c1,100,DT - FT_K1,recall,0.014306624461557602,0.009751190467764988,0.018817292150365997,positive
vt_h4_c1,100,DT - FT_K1,rise,0.00023514707132541335,-0.0025451438488986447,0.0031014677592562834,negative
vt_h4_c1,100,DT - FT_K1,mas,-0.03891112517622006,-0.04364538260204336,-0.03358311794009861,negative
vt_h4_c1,100,DT - ifr-tokenwise,recall,0.0007867778836023287,-0.002589842660973228,0.004133791117414844,positive
vt_h4_c1,100,DT - ifr-tokenwise,rise,0.0023405055616974027,-8.089820293103989e-05,0.004791708788597171,negative
vt_h4_c1,100,DT - ifr-tokenwise,mas,-0.01928543517295791,-0.023821578768097474,-0.014338700459622628,negative
vt_h4_c1,100,DT - FT_K3,recall,0.014907265487198628,0.010259397866816953,0.019429764808023095,positive
vt_h6_c1,100,DT - FT_K1,recall,-0.028407405350219187,-0.03521844228093824,-0.021621917114436055,positive
vt_h6_c1,100,DT - FT_K1,rise,-0.0015333707191651316,-0.003793062298116489,0.000813055860644895,negative
vt_h6_c1,100,DT - FT_K1,mas,-0.04181319997310966,-0.04616531811542078,-0.03655312078994248,negative
vt_h6_c1,100,DT - ifr-tokenwise,recall,-0.022465277451103226,-0.029169068315001944,-0.01577259006550629,positive
vt_h6_c1,100,DT - ifr-tokenwise,rise,0.0023702699887021717,0.00024514833998945233,0.004540123852049052,negative
vt_h6_c1,100,DT - ifr-tokenwise,mas,-0.018201908950058212,-0.022155246354280768,-0.013650639476862046,negative
vt_h6_c1,100,DT - FT_K3,recall,-0.027943390198704038,-0.03492493724109993,-0.020981429151510713,positive
vt_h10_c1,100,DT - FT_K1,recall,-0.05497264938489985,-0.05981126897068121,-0.05003752123649843,positive
vt_h10_c1,100,DT - FT_K1,rise,0.016588579269704515,0.01396320953931689,0.019145279769742174,negative
vt_h10_c1,100,DT - FT_K1,mas,-0.006080730118472746,-0.012127277543222969,0.00036640517125049077,negative
vt_h10_c1,100,DT - ifr-tokenwise,recall,-0.05215168782905597,-0.05645443782753552,-0.047811016605772076,positive
vt_h10_c1,100,DT - ifr-tokenwise,rise,0.021912608663065374,0.019383061999058492,0.024422642043767897,negative
vt_h10_c1,100,DT - ifr-tokenwise,mas,0.02224428683522585,0.016118086032956835,0.028675381408641856,negative
vt_h10_c1,100,DT - FT_K3,recall,-0.05555421234754618,-0.06043540747744316,-0.05078368746301116,positive
hotpotqa_long,48,DT - FT_K1,recall,0.18055555555555558,0.10590277777777778,0.2569444444444444,positive
hotpotqa_long,48,DT - FT_K1,rise,-0.024826310874873164,-0.04613538112011464,-0.002318296862117796,negative
hotpotqa_long,48,DT - FT_K1,mas,-0.0036949685811198812,-0.04063127126985436,0.03380737945829717,negative
hotpotqa_long,48,DT - ifr-tokenwise,recall,0.18055555555555555,0.10590277777777779,0.2569444444444445,positive
hotpotqa_long,48,DT - ifr-tokenwise,rise,-0.05306509337823517,-0.08138206272963086,-0.025065633165266433,negative
hotpotqa_long,48,DT - ifr-tokenwise,mas,-0.04126687228248276,-0.08581257390204552,0.004182224694040106,negative
hotpotqa_long,48,DT - FT_K3,recall,0.19444444444444445,0.11805555555555557,0.2708333333333333,positive
math,100,DT - FT_K1,rise,-0.10266759543142104,-0.1176683787511796,-0.08774279235004753,negative
math,100,DT - FT_K1,mas,-0.12051527064820008,-0.14294631919927703,-0.09745892508018208,negative
math,100,DT - ifr-tokenwise,rise,-0.1177202415092348,-0.13375093209866368,-0.1021100629135061,negative
math,100,DT - ifr-tokenwise,mas,-0.15613022043743788,-0.18048797253260165,-0.1321057898593978,negative
morehopqa,95,DT - FT_K1,rise,-0.052700032253197616,-0.0635968088718686,-0.041794734470696766,negative
morehopqa,95,DT - FT_K1,mas,-0.06284882328732752,-0.08014817153445689,-0.045335913135538114,negative
morehopqa,95,DT - ifr-tokenwise,rise,-0.0735157038708441,-0.08835167426856999,-0.059204157731467255,negative
morehopqa,95,DT - ifr-tokenwise,mas,-0.0847656720063713,-0.10635046174125465,-0.06406847093131396,negative
