dataset,index,method,recall,rise,mas
niah_mq_q2,0,DT,0.425,0.1708100558659218,0.22696761756746442
niah_mq_q2,0,FT_K1,0.275,0.15013966480446925,0.26485657112623545
niah_mq_q2,0,ifr-tokenwise,0.175,0.17388268156424583,0.25681981201825954
niah_mq_q2,0,FT_K3,0.3,,
niah_mq_q2,1,DT,0.9473684210526315,0.04441489361702128,0.06821119707788678
niah_mq_q2,1,FT_K1,0.7368421052631579,0.05851063829787233,0.23550349634985673
niah_mq_q2,1,ifr-tokenwise,0.7894736842105263,0.052393617021276595,0.23273453297058272
niah_mq_q2,1,FT_K3,0.7894736842105263,,
niah_mq_q2,2,DT,0.9210526315789473,0.06294117647058824,0.08452000728282565
niah_mq_q2,2,FT_K1,0.7894736842105263,0.04911764705882352,0.24166098394043883
niah_mq_q2,2,ifr-tokenwise,0.7894736842105263,0.050294117647058836,0.24373883381784936
niah_mq_q2,2,FT_K3,0.8421052631578947,,
niah_mq_q2,3,DT,0.3684210526315789,0.15447658402203857,0.20221674415115362
niah_mq_q2,3,FT_K1,0.3157894736842105,0.12169421487603305,0.2607762181063418
niah_mq_q2,3,ifr-tokenwise,0.15789473684210525,0.13326446280991738,0.2570233624730688
niah_mq_q2,3,FT_K3,0.34210526315789475,,
niah_mq_q2,4,DT,0.8974358974358975,0.1376190476190476,0.19738267433194165
niah_mq_q2,4,FT_K1,0.7692307692307693,0.1180952380952381,0.25041879615626417
niah_mq_q2,4,ifr-tokenwise,0.7948717948717948,0.12761904761904758,0.2406885298761336
niah_mq_q2,4,FT_K3,0.8205128205128205,,
niah_mq_q2,5,DT,0.8974358974358975,0.06583333333333333,0.09037998303678871
niah_mq_q2,5,FT_K1,0.8461538461538461,0.03944444444444445,0.23461870879600197
niah_mq_q2,5,ifr-tokenwise,0.8205128205128205,0.04611111111111112,0.24654101469065068
niah_mq_q2,5,FT_K3,0.8461538461538461,,
niah_mq_q2,6,DT,0.5135135135135135,0.15910404624277458,0.21426501844082146
niah_mq_q2,6,FT_K1,0.35135135135135137,0.1359826589595376,0.2718336718629309
niah_mq_q2,6,ifr-tokenwise,0.24324324324324326,0.14147398843930636,0.264826380505317
niah_mq_q2,6,FT_K3,0.3783783783783784,,
niah_mq_q2,7,DT,0.8974358974358975,0.09869614512471654,0.13344894312639427
niah_mq_q2,7,FT_K1,0.7435897435897436,0.08055555555555557,0.22823665988983946
niah_mq_q2,7,ifr-tokenwise,0.7948717948717948,0.09280045351473923,0.23363342708976723
niah_mq_q2,7,FT_K3,0.7948717948717948,,
niah_mq_q2,8,DT,0.47368421052631576,0.16037906137184116,0.22000075761915286
niah_mq_q2,8,FT_K1,0.34210526315789475,0.11128158844765343,0.2682409605166303
niah_mq_q2,8,ifr-tokenwise,0.21052631578947367,0.15063176895306857,0.26620859727352647
niah_mq_q2,8,FT_K3,0.42105263157894735,,
niah_mq_q2,9,DT,0.3,0.15720338983050847,0.20453438446560473
niah_mq_q2,9,FT_K1,0.3,0.11031073446327684,0.2601101016010986
