method,target_input_tokens,actual_total_tokens,mean_seconds,median_seconds,min_seconds,max_seconds,peak_allocated_gb,peak_reserved_gb
deltatrace_root_retained,128,158,0.1997300386428833,0.19977450370788574,0.18295812606811523,0.21619296073913574,18.614787072,18.704498688
ifr_multi_hop_both,128,158,0.20924707253774008,0.1989349126815796,0.19754910469055176,0.23215174674987793,16.918830592,17.01838848
ifr_multi_hop,128,158,0.20481260617574057,0.2050844430923462,0.18958663940429688,0.21953749656677246,16.918581248,17.01838848
deltatrace_root_retained,256,265,0.22976283232371011,0.22249090671539307,0.20238900184631348,0.28811025619506836,20.048333824,20.453523456
ifr_multi_hop_both,256,265,0.2645682493845622,0.26119208335876465,0.24522614479064941,0.2925417423248291,17.118198784,17.230200832
ifr_multi_hop,256,265,0.24944945176442465,0.249542236328125,0.2367725372314453,0.26198434829711914,17.118296064,17.230200832
deltatrace_root_retained,512,478,0.27755701541900635,0.2768441438674927,0.2693510055541992,0.28699493408203125,22.767172608,23.259512832
ifr_multi_hop_both,512,478,0.3522013823191325,0.3527364730834961,0.3326108455657959,0.3712797164916992,17.66468608,17.92016384
ifr_multi_hop,512,478,0.3389577070871989,0.33812904357910156,0.3257594108581543,0.35338521003723145,17.665522688,17.92016384
deltatrace_root_retained,1024,905,0.4999297857284546,0.5021723508834839,0.490018367767334,0.5067636966705322,28.337201664,29.00361216
ifr_multi_hop_both,1024,905,0.566588560740153,0.5678396224975586,0.5463106632232666,0.5848143100738525,19.437133312,19.662897152
ifr_multi_hop,1024,905,0.5423333247502645,0.5362497568130493,0.5332527160644531,0.5633366107940674,19.437133312,19.662897152
