family,attr_func,phase,repeat,target_input_tokens,target_output_tokens,target_total_tokens,actual_input_tokens,actual_output_tokens,actual_total_tokens,actual_formatted_prompt_tokens,actual_generation_tokens,time_sec,status,error,peak_mem_gb,peak_allocated_gb,peak_mem_reserved_gb,peak_mem_by_device_gb,runner_init_seconds,input_sha256,resident_before,resident_after,process_memory,runtime_cost,job
qwen3,deltatrace_streamed,warm,0,128,32,160,128,32,158,125,33,16.52164936065674,ok,,16.791896064,16.650360832,16.791896064,"{""0"":{""allocated_gb"":16.650360832,""reserved_gb"":16.791896064}}",0.0011851470917463303,a002b2c300403d22f024d37a8eb24b2994dfd672408380e860bb7cd6fb8d31bd,"{""allocated_bytes"":16382543872,""reserved_bytes"":16485711872}","{""allocated_bytes"":16449747968,""reserved_bytes"":16791896064}","{""rss_current_bytes"":11970068480,""rss_process_highwater_bytes"":13754990592}","{""checkpoint_lifetime"":{""byte_field_scope"":""Initial captured root unique bytes before finite consumption, not resident bytes at return."",""root_checkpoints_released_after_last_use"":true,""remaining_layer_input_tensors"":0},""native_projection_SAC"":{""public_API"":""torch.utils.checkpoint.create_selective_checkpoint_contexts"",""installed_source_sha256"":""255ec2eccfa184eb3e13ef4791955d1f6f010d8ef1f59e7a8eccb9da26161314"",""recording_memory_scope"":""Allocator counters in per-layer records are graph-recording snapshots, not per-replay measurements. The outer complete caller measures every current peak."",""selected_projections"":[],""policy_detail"":""Omit q caching in final12 native layers to leave allocator headroom; other selections unchanged"",""allow_cache_entry_mutation"":false,""native_model_methods_replaced"":false,""saved_mm_outputs"":0,""reused_mm_outputs"":0,""logical_cached_bytes"":0,""maximum_logical_cached_bytes"":0,""regions"":[],""scope"":""One fresh original B2 root and its existing native B2 decoder replay, within one complete graph execution. No inter-call cache.""},""streamed_root"":null,""rematerialized_root"":null,""whole_root_graph"":{""enabled"":true,""external_graph_inputs"":""Fresh B2 token IDs; fixed eval model weights and geometry."",""root_graph_execution_is_original_model_kernels"":true,""model_forward_replaced"":false,""input_mask"":""Public input mask checked all ones; native root decoder attention mask None, checked against original reference."",""host_sections_seconds"":{""input_checks_refresh_and_optional_build"":16.385433802381158,""whole_graph_and_complete_CPU_return"":0.13032766059041023},""timing_scope"":""External synchronized complete attribution timer; root and reverse finite GPU work share one graph. Cold includes2 full root+finite warmups,1 capture,1 replay.""},""native_graph_execution"":{""graph_replays"":1,""geometry_cache_entries"":1,""static_input_tensors"":1,""static_input_storage_copies"":1,""every_input_tensor_refreshed"":true,""attribution_results_reused"":false,""build_this_call"":{""seconds"":16.378190172836185,""warm_finite_programs"":[{""seconds"":7.2907366175204515,""strict_predicates"":829,""all_passed"":true,""allocated_end"":16449754112,""reserved_end"":16789798912,""allocated_after_release"":16449665024,""reserved_after_release"":16552820736},{""seconds"":0.2202383428812027,""strict_predicates"":829,""all_passed"":true,""allocated_end"":16449754112,""reserved_end"":16789798912,""allocated_after_release"":16449665024,""reserved_after_release"":16552820736}],""native_graph_program_recordings"":1,""captured_program_recording_is_not_a_model_forward"":false,""static_input_tensors"":1,""static_input_bytes"":2528,""static_input_storage_copies"":1,""original_model_Python_calls_during_build"":3,""original_model_GPU_executions_during_build"":3,""recorded_peak_allocated_bytes_including_warmup"":16650360832,""recorded_peak_reserved_bytes_including_warmup"":16791896064,""root_and_finite_captured_together"":true,""root_checkpoint_copies_between_graphs"":0,""warm_storage_release"":""Release all warm inputs and output tensors, run Python cycle collection and empty unused allocator cache before next warm/capture. No peak reset; all release time charged.""},""finite_program_warmups_this_call"":2,""native_model_root_calls"":3,""native_model_Python_root_calls"":3,""native_model_GPU_root_executions"":4,""native_model_root_endpoint_batch"":2,""native_decoder_GPU_replays_per_graph_replay"":36,""public_auxiliary_FA_GPU_operations_per_replay"":36,""finite_FA_GPU_operations_per_replay"":36,""native_decoder_Python_calls_this_call"":108},""root_retention_mutation_audit"":null,""graph_input_copy_audit"":{""enabled"":false,""predicates"":0,""all_passed"":true}}",deltatrace_streamed_128
qwen3,deltatrace_streamed,warm,1,128,32,160,128,32,158,125,33,0.13808393478393555,ok,,16.791896064,16.449758208,16.791896064,"{""0"":{""allocated_gb"":16.449758208,""reserved_gb"":16.791896064}}",0.0012215934693813324,a002b2c300403d22f024d37a8eb24b2994dfd672408380e860bb7cd6fb8d31bd,"{""allocated_bytes"":16449745408,""reserved_bytes"":16791896064}","{""allocated_bytes"":16449747968,""reserved_bytes"":16791896064}","{""rss_current_bytes"":11970068480,""rss_process_highwater_bytes"":13754990592}","{""checkpoint_lifetime"":{""byte_field_scope"":""Initial captured root unique bytes before finite consumption, not resident bytes at return."",""root_checkpoints_released_after_last_use"":true,""remaining_layer_input_tensors"":0},""native_projection_SAC"":{""public_API"":""torch.utils.checkpoint.create_selective_checkpoint_contexts"",""installed_source_sha256"":""255ec2eccfa184eb3e13ef4791955d1f6f010d8ef1f59e7a8eccb9da26161314"",""recording_memory_scope"":""Allocator counters in per-layer records are graph-recording snapshots, not per-replay measurements. The outer complete caller measures every current peak."",""selected_projections"":[],""policy_detail"":""Omit q caching in final12 native layers to leave allocator headroom; other selections unchanged"",""allow_cache_entry_mutation"":false,""native_model_methods_replaced"":false,""saved_mm_outputs"":0,""reused_mm_outputs"":0,""logical_cached_bytes"":0,""maximum_logical_cached_bytes"":0,""regions"":[],""scope"":""One fresh original B2 root and its existing native B2 decoder replay, within one complete graph execution. No inter-call cache.""},""streamed_root"":null,""rematerialized_root"":null,""whole_root_graph"":{""enabled"":true,""external_graph_inputs"":""Fresh B2 token IDs; fixed eval model weights and geometry."",""root_graph_execution_is_original_model_kernels"":true,""model_forward_replaced"":false,""input_mask"":""Public input mask checked all ones; native root decoder attention mask None, checked against original reference."",""host_sections_seconds"":{""input_checks_refresh_and_optional_build"":0.004052851349115372,""whole_graph_and_complete_CPU_return"":0.13007238879799843},""timing_scope"":""External synchronized complete attribution timer; root and reverse finite GPU work share one graph. Cold includes2 full root+finite warmups,1 capture,1 replay.""},""native_graph_execution"":{""graph_replays"":1,""geometry_cache_entries"":1,""static_input_tensors"":1,""static_input_storage_copies"":1,""every_input_tensor_refreshed"":true,""attribution_results_reused"":false,""build_this_call"":null,""finite_program_warmups_this_call"":0,""native_model_root_calls"":0,""native_model_Python_root_calls"":0,""native_model_GPU_root_executions"":1,""native_model_root_endpoint_batch"":2,""native_decoder_GPU_replays_per_graph_replay"":36,""public_auxiliary_FA_GPU_operations_per_replay"":36,""finite_FA_GPU_operations_per_replay"":36,""native_decoder_Python_calls_this_call"":0},""root_retention_mutation_audit"":null,""graph_input_copy_audit"":{""enabled"":false,""predicates"":0,""all_passed"":true}}",deltatrace_streamed_128
qwen3,deltatrace_streamed,measured,2,128,32,160,128,32,158,125,33,0.13707256317138672,ok,,16.791896064,16.449758208,16.791896064,"{""0"":{""allocated_gb"":16.449758208,""reserved_gb"":16.791896064}}",0.0012243930250406265,a002b2c300403d22f024d37a8eb24b2994dfd672408380e860bb7cd6fb8d31bd,"{""allocated_bytes"":16449745408,""reserved_bytes"":16791896064}","{""allocated_bytes"":16449747968,""reserved_bytes"":16791896064}","{""rss_current_bytes"":11970068480,""rss_process_highwater_bytes"":13754990592}","{""checkpoint_lifetime"":{""byte_field_scope"":""Initial captured root unique bytes before finite consumption, not resident bytes at return."",""root_checkpoints_released_after_last_use"":true,""remaining_layer_input_tensors"":0},""native_projection_SAC"":{""public_API"":""torch.utils.checkpoint.create_selective_checkpoint_contexts"",""installed_source_sha256"":""255ec2eccfa184eb3e13ef4791955d1f6f010d8ef1f59e7a8eccb9da26161314"",""recording_memory_scope"":""Allocator counters in per-layer records are graph-recording snapshots, not per-replay measurements. The outer complete caller measures every current peak."",""selected_projections"":[],""policy_detail"":""Omit q caching in final12 native layers to leave allocator headroom; other selections unchanged"",""allow_cache_entry_mutation"":false,""native_model_methods_replaced"":false,""saved_mm_outputs"":0,""reused_mm_outputs"":0,""logical_cached_bytes"":0,""maximum_logical_cached_bytes"":0,""regions"":[],""scope"":""One fresh original B2 root and its existing native B2 decoder replay, within one complete graph execution. No inter-call cache.""},""streamed_root"":null,""rematerialized_root"":null,""whole_root_graph"":{""enabled"":true,""external_graph_inputs"":""Fresh B2 token IDs; fixed eval model weights and geometry."",""root_graph_execution_is_original_model_kernels"":true,""model_forward_replaced"":false,""input_mask"":""Public input mask checked all ones; native root decoder attention mask None, checked against original reference."",""host_sections_seconds"":{""input_checks_refresh_and_optional_build"":0.0036589838564395905,""whole_graph_and_complete_CPU_return"":0.12960153259336948},""timing_scope"":""External synchronized complete attribution timer; root and reverse finite GPU work share one graph. Cold includes2 full root+finite warmups,1 capture,1 replay.""},""native_graph_execution"":{""graph_replays"":1,""geometry_cache_entries"":1,""static_input_tensors"":1,""static_input_storage_copies"":1,""every_input_tensor_refreshed"":true,""attribution_results_reused"":false,""build_this_call"":null,""finite_program_warmups_this_call"":0,""native_model_root_calls"":0,""native_model_Python_root_calls"":0,""native_model_GPU_root_executions"":1,""native_model_root_endpoint_batch"":2,""native_decoder_GPU_replays_per_graph_replay"":36,""public_auxiliary_FA_GPU_operations_per_replay"":36,""finite_FA_GPU_operations_per_replay"":36,""native_decoder_Python_calls_this_call"":0},""root_retention_mutation_audit"":null,""graph_input_copy_audit"":{""enabled"":false,""predicates"":0,""all_passed"":true}}",deltatrace_streamed_128
qwen3,deltatrace_streamed,measured,3,128,32,160,128,32,158,125,33,0.14070487022399902,ok,,16.791896064,16.449758208,16.791896064,"{""0"":{""allocated_gb"":16.449758208,""reserved_gb"":16.791896064}}",0.001299448311328888,a002b2c300403d22f024d37a8eb24b2994dfd672408380e860bb7cd6fb8d31bd,"{""allocated_bytes"":16449745408,""reserved_bytes"":16791896064}","{""allocated_bytes"":16449747968,""reserved_bytes"":16791896064}","{""rss_current_bytes"":11970068480,""rss_process_highwater_bytes"":13754990592}","{""checkpoint_lifetime"":{""byte_field_scope"":""Initial captured root unique bytes before finite consumption, not resident bytes at return."",""root_checkpoints_released_after_last_use"":true,""remaining_layer_input_tensors"":0},""native_projection_SAC"":{""public_API"":""torch.utils.checkpoint.create_selective_checkpoint_contexts"",""installed_source_sha256"":""255ec2eccfa184eb3e13ef4791955d1f6f010d8ef1f59e7a8eccb9da26161314"",""recording_memory_scope"":""Allocator counters in per-layer records are graph-recording snapshots, not per-replay measurements. The outer complete caller measures every current peak."",""selected_projections"":[],""policy_detail"":""Omit q caching in final12 native layers to leave allocator headroom; other selections unchanged"",""allow_cache_entry_mutation"":false,""native_model_methods_replaced"":false,""saved_mm_outputs"":0,""reused_mm_outputs"":0,""logical_cached_bytes"":0,""maximum_logical_cached_bytes"":0,""regions"":[],""scope"":""One fresh original B2 root and its existing native B2 decoder replay, within one complete graph execution. No inter-call cache.""},""streamed_root"":null,""rematerialized_root"":null,""whole_root_graph"":{""enabled"":true,""external_graph_inputs"":""Fresh B2 token IDs; fixed eval model weights and geometry."",""root_graph_execution_is_original_model_kernels"":true,""model_forward_replaced"":false,""input_mask"":""Public input mask checked all ones; native root decoder attention mask None, checked against original reference."",""host_sections_seconds"":{""input_checks_refresh_and_optional_build"":0.004033882170915604,""whole_graph_and_complete_CPU_return"":0.13215424492955208},""timing_scope"":""External synchronized complete attribution timer; root and reverse finite GPU work share one graph. Cold includes2 full root+finite warmups,1 capture,1 replay.""},""native_graph_execution"":{""graph_replays"":1,""geometry_cache_entries"":1,""static_input_tensors"":1,""static_input_storage_copies"":1,""every_input_tensor_refreshed"":true,""attribution_results_reused"":false,""build_this_call"":null,""finite_program_warmups_this_call"":0,""native_model_root_calls"":0,""native_model_Python_root_calls"":0,""native_model_GPU_root_executions"":1,""native_model_root_endpoint_batch"":2,""native_decoder_GPU_replays_per_graph_replay"":36,""public_auxiliary_FA_GPU_operations_per_replay"":36,""finite_FA_GPU_operations_per_replay"":36,""native_decoder_Python_calls_this_call"":0},""root_retention_mutation_audit"":null,""graph_input_copy_audit"":{""enabled"":false,""predicates"":0,""all_passed"":true}}",deltatrace_streamed_128
qwen3,deltatrace_streamed,measured,4,128,32,160,128,32,158,125,33,0.13676166534423828,ok,,16.791896064,16.449758208,16.791896064,"{""0"":{""allocated_gb"":16.449758208,""reserved_gb"":16.791896064}}",0.0012164991348981857,a002b2c300403d22f024d37a8eb24b2994dfd672408380e860bb7cd6fb8d31bd,"{""allocated_bytes"":16449745408,""reserved_bytes"":16791896064}","{""allocated_bytes"":16449747968,""reserved_bytes"":16791896064}","{""rss_current_bytes"":11970068480,""rss_process_highwater_bytes"":13754990592}","{""checkpoint_lifetime"":{""byte_field_scope"":""Initial captured root unique bytes before finite consumption, not resident bytes at return."",""root_checkpoints_released_after_last_use"":true,""remaining_layer_input_tensors"":0},""native_projection_SAC"":{""public_API"":""torch.utils.checkpoint.create_selective_checkpoint_contexts"",""installed_source_sha256"":""255ec2eccfa184eb3e13ef4791955d1f6f010d8ef1f59e7a8eccb9da26161314"",""recording_memory_scope"":""Allocator counters in per-layer records are graph-recording snapshots, not per-replay measurements. The outer complete caller measures every current peak."",""selected_projections"":[],""policy_detail"":""Omit q caching in final12 native layers to leave allocator headroom; other selections unchanged"",""allow_cache_entry_mutation"":false,""native_model_methods_replaced"":false,""saved_mm_outputs"":0,""reused_mm_outputs"":0,""logical_cached_bytes"":0,""maximum_logical_cached_bytes"":0,""regions"":[],""scope"":""One fresh original B2 root and its existing native B2 decoder replay, within one complete graph execution. No inter-call cache.""},""streamed_root"":null,""rematerialized_root"":null,""whole_root_graph"":{""enabled"":true,""external_graph_inputs"":""Fresh B2 token IDs; fixed eval model weights and geometry."",""root_graph_execution_is_original_model_kernels"":true,""model_forward_replaced"":false,""input_mask"":""Public input mask checked all ones; native root decoder attention mask None, checked against original reference."",""host_sections_seconds"":{""input_checks_refresh_and_optional_build"":0.0039024874567985535,""whole_graph_and_complete_CPU_return"":0.12894622050225735},""timing_scope"":""External synchronized complete attribution timer; root and reverse finite GPU work share one graph. Cold includes2 full root+finite warmups,1 capture,1 replay.""},""native_graph_execution"":{""graph_replays"":1,""geometry_cache_entries"":1,""static_input_tensors"":1,""static_input_storage_copies"":1,""every_input_tensor_refreshed"":true,""attribution_results_reused"":false,""build_this_call"":null,""finite_program_warmups_this_call"":0,""native_model_root_calls"":0,""native_model_Python_root_calls"":0,""native_model_GPU_root_executions"":1,""native_model_root_endpoint_batch"":2,""native_decoder_GPU_replays_per_graph_replay"":36,""public_auxiliary_FA_GPU_operations_per_replay"":36,""finite_FA_GPU_operations_per_replay"":36,""native_decoder_Python_calls_this_call"":0},""root_retention_mutation_audit"":null,""graph_input_copy_audit"":{""enabled"":false,""predicates"":0,""all_passed"":true}}",deltatrace_streamed_128
qwen3,ifr_multi_hop_both,warm,0,128,32,160,128,32,158,125,33,0.871849775314331,ok,,17.73142016,16.918830592,17.73142016,"{""0"":{""allocated_gb"":16.918830592,""reserved_gb"":17.73142016}}",0.0011764485388994217,a002b2c300403d22f024d37a8eb24b2994dfd672408380e860bb7cd6fb8d31bd,"{""allocated_bytes"":16382543872,""reserved_bytes"":16485711872}","{""allocated_bytes"":16449655296,""reserved_bytes"":16951279616}","{""rss_current_bytes"":10550689792,""rss_process_highwater_bytes"":13755314176}",{},ifr_multi_hop_both_128
qwen3,ifr_multi_hop_both,warm,1,128,32,160,128,32,158,125,33,0.22980761528015137,ok,,16.951279616,16.918830592,16.951279616,"{""0"":{""allocated_gb"":16.918830592,""reserved_gb"":16.951279616}}",0.001223139464855194,a002b2c300403d22f024d37a8eb24b2994dfd672408380e860bb7cd6fb8d31bd,"{""allocated_bytes"":16449652736,""reserved_bytes"":16552820736}","{""allocated_bytes"":16449655296,""reserved_bytes"":16951279616}","{""rss_current_bytes"":10551820288,""rss_process_highwater_bytes"":13755314176}",{},ifr_multi_hop_both_128
qwen3,ifr_multi_hop_both,measured,2,128,32,160,128,32,158,125,33,0.22910547256469727,ok,,16.951279616,16.918830592,16.951279616,"{""0"":{""allocated_gb"":16.918830592,""reserved_gb"":16.951279616}}",0.0013177525252103806,a002b2c300403d22f024d37a8eb24b2994dfd672408380e860bb7cd6fb8d31bd,"{""allocated_bytes"":16449652736,""reserved_bytes"":16552820736}","{""allocated_bytes"":16449655296,""reserved_bytes"":16951279616}","{""rss_current_bytes"":10551984128,""rss_process_highwater_bytes"":13755314176}",{},ifr_multi_hop_both_128
qwen3,ifr_multi_hop_both,measured,3,128,32,160,128,32,158,125,33,0.2277233600616455,ok,,16.951279616,16.918830592,16.951279616,"{""0"":{""allocated_gb"":16.918830592,""reserved_gb"":16.951279616}}",0.0011577941477298737,a002b2c300403d22f024d37a8eb24b2994dfd672408380e860bb7cd6fb8d31bd,"{""allocated_bytes"":16449652736,""reserved_bytes"":16552820736}","{""allocated_bytes"":16449655296,""reserved_bytes"":16951279616}","{""rss_current_bytes"":10551988224,""rss_process_highwater_bytes"":13755314176}",{},ifr_multi_hop_both_128
qwen3,ifr_multi_hop_both,measured,4,128,32,160,128,32,158,125,33,0.2308216094970703,ok,,16.951279616,16.918830592,16.951279616,"{""0"":{""allocated_gb"":16.918830592,""reserved_gb"":16.951279616}}",0.001225767657160759,a002b2c300403d22f024d37a8eb24b2994dfd672408380e860bb7cd6fb8d31bd,"{""allocated_bytes"":16449652736,""reserved_bytes"":16552820736}","{""allocated_bytes"":16449655296,""reserved_bytes"":16951279616}","{""rss_current_bytes"":10551996416,""rss_process_highwater_bytes"":13755314176}",{},ifr_multi_hop_both_128
qwen3,ifr_multi_hop,warm,0,128,32,160,128,32,158,125,33,0.8307673931121826,ok,,17.73142016,16.918581248,17.73142016,"{""0"":{""allocated_gb"":16.918581248,""reserved_gb"":17.73142016}}",0.0011483989655971527,a002b2c300403d22f024d37a8eb24b2994dfd672408380e860bb7cd6fb8d31bd,"{""allocated_bytes"":16382543872,""reserved_bytes"":16485711872}","{""allocated_bytes"":16449655296,""reserved_bytes"":16951279616}","{""rss_current_bytes"":10550943744,""rss_process_highwater_bytes"":13757476864}",{},ifr_multi_hop_128
qwen3,ifr_multi_hop,warm,1,128,32,160,128,32,158,125,33,0.19062209129333496,ok,,16.951279616,16.918581248,16.951279616,"{""0"":{""allocated_gb"":16.918581248,""reserved_gb"":16.951279616}}",0.0012101754546165466,a002b2c300403d22f024d37a8eb24b2994dfd672408380e860bb7cd6fb8d31bd,"{""allocated_bytes"":16449652736,""reserved_bytes"":16552820736}","{""allocated_bytes"":16449655296,""reserved_bytes"":16951279616}","{""rss_current_bytes"":10551881728,""rss_process_highwater_bytes"":13757476864}",{},ifr_multi_hop_128
qwen3,ifr_multi_hop,measured,2,128,32,160,128,32,158,125,33,0.19011378288269043,ok,,16.951279616,16.918581248,16.951279616,"{""0"":{""allocated_gb"":16.918581248,""reserved_gb"":16.951279616}}",0.001191515475511551,a002b2c300403d22f024d37a8eb24b2994dfd672408380e860bb7cd6fb8d31bd,"{""allocated_bytes"":16449652736,""reserved_bytes"":16552820736}","{""allocated_bytes"":16449655296,""reserved_bytes"":16951279616}","{""rss_current_bytes"":10552111104,""rss_process_highwater_bytes"":13757476864}",{},ifr_multi_hop_128
