method,target_input_tokens,actual_total_tokens,mean_seconds,median_seconds,min_seconds,max_seconds,peak_allocated_gb,peak_reserved_gb
deltatrace_streamed,128,158,0.13758452733357748,0.13751661777496338,0.13542699813842773,0.1399071216583252,16.516867072,16.859004928
deltatrace_graphed,128,158,0.15965739885965982,0.16114437580108643,0.1513514518737793,0.16564178466796875,20.878614016,21.248344064
ifr_multi_hop_both,128,158,0.22613632678985596,0.22591328620910645,0.22224068641662598,0.23006772994995117,16.918830592,17.01838848
ifr_multi_hop,128,158,0.20422856012980142,0.20374679565429688,0.1943345069885254,0.2149815559387207,16.918581248,17.01838848
deltatrace_streamed,256,265,0.20981125036875406,0.20983350276947021,0.2087574005126953,0.21085357666015625,16.516938752,16.999514112
deltatrace_graphed,256,265,0.20674451192220053,0.20583832263946533,0.20186114311218262,0.21463346481323242,23.611331072,24.761073664
ifr_multi_hop_both,256,265,0.26820965607961017,0.2682011127471924,0.26636195182800293,0.2706432342529297,17.118198784,17.230200832
ifr_multi_hop,256,265,0.2635030746459961,0.2640904188156128,0.25576114654541016,0.2709958553314209,17.118296064,17.230200832
deltatrace_streamed,512,478,0.29496792952219647,0.2947878837585449,0.29265880584716797,0.2974398136138916,16.517071872,17.548967936
deltatrace_graphed,512,478,0.3014870882034302,0.30177974700927734,0.29879093170166016,0.3031332492828369,28.963429376,30.897340416
ifr_multi_hop_both,512,478,0.35559749603271484,0.35569679737091064,0.3527030944824219,0.35944104194641113,17.66468608,17.92016384
ifr_multi_hop,512,478,0.353801965713501,0.3530975580215454,0.3420124053955078,0.3678767681121826,17.665522688,17.92016384
deltatrace_streamed,1024,905,0.530465563138326,0.5300360918045044,0.5282166004180908,0.5332391262054443,16.517349888,19.52448512
deltatrace_graphed,1024,905,0.5304133097330729,0.5298322439193726,0.5265648365020752,0.5353953838348389,40.01894912,42.765123584
ifr_multi_hop_both,1024,905,0.5673754215240479,0.5667917728424072,0.5657813549041748,0.5703513622283936,19.437133312,19.662897152
ifr_multi_hop,1024,905,0.5676914850870768,0.5662940740585327,0.553579568862915,0.5877158641815186,19.437133312,19.662897152
