method,target_input_tokens,actual_total_tokens,mean_seconds,median_seconds,min_seconds,max_seconds,peak_allocated_gb,peak_reserved_gb
deltatrace_streamed,128,158,0.14033730824788412,0.14002299308776855,0.13924169540405273,0.14253497123718262,16.449758208,16.888365056
ifr_multi_hop_both,128,158,0.22393512725830078,0.22387683391571045,0.21962261199951172,0.22839808464050293,16.918830592,16.951279616
ifr_multi_hop,128,158,0.18131919701894125,0.1806349754333496,0.17936134338378906,0.18449640274047852,16.918581248,16.951279616
deltatrace_streamed,256,265,0.21382522583007812,0.21413791179656982,0.21235346794128418,0.21520352363586426,16.449829888,17.093885952
ifr_multi_hop_both,256,265,0.2570284605026245,0.2569303512573242,0.24695944786071777,0.26802968978881836,17.118198784,17.230200832
ifr_multi_hop,256,265,0.24857314427693686,0.24729561805725098,0.22388458251953125,0.2792985439300537,17.118296064,17.230200832
deltatrace_streamed,512,478,0.2982904513676961,0.2975846529006958,0.29699110984802246,0.3010842800140381,16.449963008,17.634951168
ifr_multi_hop_both,512,478,0.331770380338033,0.3293088674545288,0.3222160339355469,0.3445911407470703,17.66468608,17.92016384
ifr_multi_hop,512,478,0.32572277386983234,0.32639968395233154,0.3233067989349365,0.32717227935791016,17.665522688,17.92016384
deltatrace_streamed,1024,905,0.5437588691711426,0.5437808036804199,0.5426414012908936,0.5445303916931152,16.450241024,19.516096512
ifr_multi_hop_both,1024,905,0.5535634756088257,0.5464396476745605,0.5322320461273193,0.5884711742401123,19.437133312,19.662897152
ifr_multi_hop,1024,905,0.5366040070851644,0.5375171899795532,0.53114914894104,0.5409553050994873,19.437133312,19.662897152
