model,scope,name,status,allocated_before,seconds,peak_allocated,peak_reserved,new_compiled_graphs,compiler_events_seconds_inclusive
qwen3,main,model_load,returned,0,10.154379278421402,17628246016,17731420160,0,{}
qwen3,main,niah_mq_q2_0_DT,returned,16382561792,5.082796718925238,17635111424,18031312896,7,"{'_compile.compile_inner': [1.640985593, 0.135775818, 0.178924275, 0.169977071, 1.065589675, 0.337295094, 0.159600012], 'compile_attempt_0': [1.620635761, 0.11738027, 0.150149592, 0.147624112, 0.875676075, 0.315035098, 0.134660498], 'bytecode_tracing': [0.20485862, 0.071726847, 0.099157706, 0.094401805, 0.592590193, 0.255487257, 0.083440023], 'OutputGraph.call_user_compiler': [1.406600534, 0.040087989, 0.04573177, 0.048266547, 0.277600253, 0.054312895, 0.046412775], 'inductor_codecache_torch_key': [0.100178783], '_recursive_pre_grad_passes': [0.004884171, 0.000455282, 0.000603193, 0.000460867, 0.000796833, 0.000442409, 0.00046123], 'AOTAutogradCache.inductor_load': [0.067601, 0.020128124, 0.01920478, 0.020227702, 0.059646048, 0.021024519, 0.021173888], 'TritonBundler.read_and_emit': [0.000300653, 0.000160217, 0.000172192, 0.000144733, 0.00034972, 0.000208597, 0.000141163], 'PyCodeCache.load_by_key_path': [0.055007725, 0.01888436, 0.017787318, 0.019281867, 0.056364872, 0.01978797, 0.020094099], 'async_compile.precompile': [0.023263418, 0.01142192, 0.013756176, 0.01749261, 0.016311334, 0.017878348, 0.015123434, 0.013720929, 0.013165853, 0.011996937, 0.018382938, 0.018518487], 'async_compile.wait': [0.000441841, 0.000169571, 0.000233272, 0.000163145, 0.000165619, 0.000161419, 0.000158917], 'build_guards': [0.018605762, 0.017106572, 0.026950927, 0.020913092, 0.187982756, 0.019906193, 0.023632908], 'gc': [0.000722367, 0.000711065, 0.001186517, 0.000821603, 0.001330894, 0.001455474, 0.000784893], 'pgo.dynamic_whitelist': [6.2794e-05]}"
qwen3,main,niah_mq_q2_0_DT_positive_original_metrics,returned,16449670656,2.209919173270464,16814944256,18031312896,0,{}
qwen3,main,niah_mq_q2_0_original_FT_K1,returned,16449670656,0.5071911290287971,18091883008,18350080000,0,{}
qwen3,main,niah_mq_q2_0_FT_K1_original_metrics,returned,16449670656,2.2265496887266636,16814944256,18350080000,0,{}
qwen3,main,niah_mq_q2_0_original_FT_K3,returned,16449670656,0.8571345433592796,18091518464,18350080000,0,{}
qwen3,main,niah_mq_q2_1_DT,returned,16449694720,1.1731924712657928,18697520128,19142803456,0,{}
qwen3,main,niah_mq_q2_1_DT_positive_original_metrics,returned,16449694720,4.637601844966412,17187534336,19142803456,0,{}
qwen3,main,niah_mq_q2_1_original_FT_K1,returned,16449694720,0.8179784566164017,21309875712,21682454528,0,{}
qwen3,main,niah_mq_q2_1_FT_K1_original_metrics,returned,16449694720,4.651863269507885,17187732480,21682454528,0,{}
