dataset,index,source_start,source_end,author_eligible,source_eligible,eligible_gold,budget_5,budget_10,budget_20,budget_30,budget_50,original_10pct_budget,reference_input_sha256
niah_mq_q2,0,137,1313,310,243,40,13,25,49,73,122,31,5f3460ea903ef5e15ee5e464e7c6da7f81a59ea59b6f231995dbe47101719505
niah_mq_q2,1,137,4260,863,800,38,40,80,160,240,400,87,dae0474f55faba3a74b5bddf22bc53f18222d2c4098f1fc88241f1090cbed255
niah_mq_q2,2,137,4272,863,800,38,40,80,160,240,400,87,be769bf2db74923161641418bf111315e1f391deab9770d11cbd76dbe07932a4
niah_mq_q2,3,137,1319,304,241,38,13,25,49,73,121,31,e3094b6ab31f0ed27ea81a5c2d9ec3f709aa9e647748727436bca2323ec05f2d
niah_mq_q2,4,137,4264,866,801,39,41,81,161,241,401,87,70171797de7ec3c8656a77f99a237f21a84d43f9802e25616d3cec7bfbf8adcb
niah_mq_q2,5,137,4274,866,801,39,41,81,161,241,401,87,aa7db4edf08887e909f81f04bd8a0fcf4a34d4aa1f241a35dbdbfb42e7227ec2
niah_mq_q2,6,137,1311,301,240,37,12,24,48,72,120,31,ee425ecd64e4dd4ea6c7c942926fae0f4b8cd355a5717dd181b573d5fbe35bd6
niah_mq_q2,7,137,4267,866,801,39,41,81,161,241,401,87,9a09e49a185a82aa04109297f1d0df7494466437536d1308930b5ab41d11a9bf
niah_mq_q2,8,137,1317,304,241,38,13,25,49,73,121,31,ec9bd28ff68a891484e72baa801d93a9e8c9b43ef996873ddccd215456af379f
niah_mq_q2,9,137,1314,310,243,40,13,25,49,73,122,31,14d01d7a75c3555ebed462290ee0ddd5502a0315413fe8663499516635137c39
niah_mq_q2,10,137,1311,307,242,39,13,25,49,73,121,31,77063460ff07e8cf7c6bbd65be0b2b7e9f83e30218ece6356dc29a76c15252b8
niah_mq_q2,11,137,1327,310,243,40,13,25,49,73,122,31,d74b5bd41e47988cb7be5b10adb8f98eb23997bab227b974c32f6596c820cf65
niah_mq_q2,12,137,1311,310,243,40,13,25,49,73,122,31,64b2a6e44fc1ffc9b0d314a751b3849ed9d7ffe84a150aa75b3fa44bbef8f7da
niah_mq_q2,13,137,4271,869,802,40,41,81,161,241,401,87,19173407470bccaae181ea4b25c75f1daa91c30085ae5217b1ccf27eacdde412
niah_mq_q2,14,137,4268,869,802,40,41,81,161,241,401,87,4af0f21c951e1a58b49b5880d7ea9437d554b834f309e975609fe28cb8033a19
niah_mq_q2,15,137,1320,313,244,41,13,25,49,74,122,32,3dba06e81fa32ec9c6da94d26ae03aed8dababace6f47cbd71270cd385d48dae
niah_mq_q2,16,137,1322,304,241,38,13,25,49,73,121,31,c29346b2050d2e434cdeeef60a115cba9d2febe24ec36f55f0b3db463156f8a6
niah_mq_q2,17,137,1315,313,244,41,13,25,49,74,122,32,8685f7bfdeb27134ba6e2a826a642ec0504e7bad5072872bec01905043e59e23
niah_mq_q2,18,137,4266,860,799,37,40,80,160,240,400,86,494d77ec94f37baf53b7bf2af35988b40cc33100a311c791d4cad222cf73689f
niah_mq_q2,19,137,1312,307,242,39,13,25,49,73,121,31,3e5f0be378e4f264b7f90726a59170fda27fd6a1efd456b764f376a42a90856b
niah_mq_q2,20,137,1314,310,243,40,13,25,49,73,122,31,7414c66136bd7fa5c783eea6d9f415b13c2bcc9ee653efff197ff4b00274b7be
niah_mq_q2,21,137,4261,866,801,39,41,81,161,241,401,87,b338166457834bf991592983d77da2349db25365916ac8cbaa80c34f1b8e6015
