dataset,n,view,fraction,DT,FT_K1,FT_K3,difference,ci95_low,ci95_high,joint_exact_ceiling
vt_h2_c3,100,raw,0.05,0.5759767977794256,0.5694837550133712,0.5616624352092927,0.01431436257013286,0.0068049634002393935,0.02167630549752176,False
vt_h2_c3,100,raw,0.1,0.8561683667365675,0.7332635465999622,0.7241013162207546,0.13206705051581302,0.11824505658406341,0.14552533684065602,False
vt_h2_c3,100,raw,0.2,0.941131493416463,0.9220375885701249,0.9171322953917505,0.023999198024712492,0.011376992469162588,0.03640236648779473,False
vt_h2_c3,100,density,0.05,0.5945664184258455,0.5945664184258455,0.5945664184258455,0.0,0.0,0.0,True
vt_h2_c3,100,density,0.1,1.0,1.0,1.0,0.0,0.0,0.0,True
vt_h2_c3,100,density,0.2,1.0,1.0,1.0,0.0,0.0,0.0,True
vt_h4_c1,100,raw,0.05,0.3584397232818965,0.3584397232818965,0.3584397232818965,0.0,0.0,0.0,True
vt_h4_c1,100,raw,0.1,0.713278216875607,0.685488725364575,0.6831578266047122,0.03012039027089459,0.025432555942850297,0.03480895326879527,False
vt_h4_c1,100,raw,0.2,0.9754893216075848,0.9811315003965599,0.9760237066233511,-0.0005343850157664376,-0.006685267262716737,0.005463206787494528,False
vt_h4_c1,100,density,0.05,0.3584397232818965,0.3584397232818965,0.3584397232818965,0.0,0.0,0.0,True
vt_h4_c1,100,density,0.1,0.7137228809072274,0.7137228809072274,0.7137228809072274,0.0,0.0,0.0,True
vt_h4_c1,100,density,0.2,1.0,1.0,1.0,0.0,0.0,0.0,True
vt_h6_c1,100,raw,0.05,0.25899074322975757,0.25899074322975757,0.25899074322975757,0.0,0.0,0.0,True
vt_h6_c1,100,raw,0.1,0.5123060792990306,0.5123060792990306,0.5123060792990306,0.0,0.0,0.0,True
vt_h6_c1,100,raw,0.2,0.9204822773996981,0.8262215735080046,0.8214540424149119,0.0990282349847861,0.09395644083791542,0.10410080704652988,False
vt_h6_c1,100,density,0.05,0.25899074322975757,0.25899074322975757,0.25899074322975757,0.0,0.0,0.0,True
vt_h6_c1,100,density,0.1,0.5123060792990306,0.5123060792990306,0.5123060792990306,0.0,0.0,0.0,True
vt_h6_c1,100,density,0.2,0.994499614338489,0.994499614338489,0.994499614338489,0.0,0.0,0.0,True
vt_h10_c1,100,raw,0.05,0.16537378248954515,0.16537378248954515,0.16537378248954515,0.0,0.0,0.0,True
vt_h10_c1,100,raw,0.1,0.3260639836955653,0.3260639836955653,0.3260639836955653,0.0,0.0,0.0,True
vt_h10_c1,100,raw,0.2,0.6469484209343321,0.6465419318152398,0.6463486545043153,0.000599766430016807,1.9101980414808483e-05,0.0011930656364918535,False
vt_h10_c1,100,density,0.05,0.16537378248954515,0.16537378248954515,0.16537378248954515,0.0,0.0,0.0,True
vt_h10_c1,100,density,0.1,0.3260639836955653,0.3260639836955653,0.3260639836955653,0.0,0.0,0.0,True
vt_h10_c1,100,density,0.2,0.6471371001796151,0.6471371001796151,0.6471371001796151,0.0,0.0,0.0,True
hotpotqa_long,48,raw,0.05,0.26143846072108706,0.31443320810259245,0.31467926129106477,-0.05324080056997774,-0.07490618240989058,-0.03173324595559228,False
hotpotqa_long,48,raw,0.1,0.4063371921011904,0.4532715428183662,0.45345238657907183,-0.04711519447788152,-0.0763956889360829,-0.018700484271525864,False
hotpotqa_long,48,raw,0.2,0.5588295783487234,0.6136606141698487,0.6116024061429084,-0.052772827794185025,-0.09267028933790722,-0.01211202854815234,False
hotpotqa_long,48,density,0.05,0.4453851974780451,0.5006341706143214,0.5080241040774114,-0.06263890659936625,-0.11785388396867212,-0.008843439161577812,False
hotpotqa_long,48,density,0.1,0.7381444180831901,0.7067055015360214,0.7208620695981084,0.017282348485081676,-0.0472601747404903,0.07972643576563196,False
hotpotqa_long,48,density,0.2,0.8805768939914627,0.8333393321272933,0.8326950022303862,0.04788189176107654,-0.0035610213299342146,0.1058809436324709,False
VT,400,raw,0.05,0.3396952616951562,0.3380720010036426,0.336116671052623,0.003578590642533215,0.0017012408500598484,0.00541907637438044,False
VT,400,raw,0.1,0.6019541616516926,0.5642805837397833,0.5614073014550157,0.04054686019667689,0.03696411159001816,0.04413999399140695,False
VT,400,raw,0.2,0.8710128783395195,0.8439831485724822,0.8402396747335823,0.03077320360593723,0.027056218923497046,0.03445871296392729,False
VT,400,density,0.05,0.3443426668567612,0.3443426668567612,0.3443426668567612,0.0,0.0,0.0,True
VT,400,density,0.1,0.6380232359754558,0.6380232359754558,0.6380232359754558,0.0,0.0,0.0,True
VT,400,density,0.2,0.910409178629526,0.910409178629526,0.910409178629526,0.0,0.0,0.0,True
all_five_tasks,448,raw,0.05,0.32404390150034235,0.3333442424234326,0.33182918910031134,-0.007785287599968982,-0.012362985017555027,-0.0032710544404874493,False
all_five_tasks,448,raw,0.1,0.5628307677415921,0.5420787755554999,0.5398163184798269,0.023014449261765203,0.01646169559067097,0.029428145197417033,False
all_five_tasks,448,raw,0.2,0.8085762183413603,0.7979186416919555,0.7945122210154475,0.014063997325912774,0.005500621570169948,0.022554256273706608,False
all_five_tasks,448,density,0.05,0.36455117298101797,0.3756009676082732,0.3770789543008912,-0.012527781319873251,-0.023570776793734427,-0.0017686878323155623,False
all_five_tasks,448,density,0.1,0.6580474723970027,0.651759689087569,0.6545910026999864,0.003456469697016336,-0.00945203494809806,0.015945287153126392,False
all_five_tasks,448,density,0.2,0.9044427217019134,0.8949952093290794,0.8948663433496981,0.009576378352215309,-0.0007122042659868429,0.021176188726494183,False
