dataset,index,eligible,gold,DT_tie10_recall_low,DT_tie10_recall_high,DT_tie10_cutoff_zero,DT_tie10_tie_changes_recall,DT_recall@05,DT_precision@05,DT_ceiling_adjusted_recall@05,DT_recall@10,DT_precision@10,DT_ceiling_adjusted_recall@10,DT_recall@20,DT_precision@20,DT_ceiling_adjusted_recall@20,DT_recall@30,DT_precision@30,DT_ceiling_adjusted_recall@30,DT_recall@50,DT_precision@50,DT_ceiling_adjusted_recall@50,DT_unit_recall@05,DT_unit_precision@05,DT_unit_ceiling_adjusted_recall@05,DT_unit_selected_token_fraction@05,DT_unit_recall@10,DT_unit_precision@10,DT_unit_ceiling_adjusted_recall@10,DT_unit_selected_token_fraction@10,DT_unit_recall@20,DT_unit_precision@20,DT_unit_ceiling_adjusted_recall@20,DT_unit_selected_token_fraction@20,DT_unit_recall@30,DT_unit_precision@30,DT_unit_ceiling_adjusted_recall@30,DT_unit_selected_token_fraction@30,DT_unit_recall@50,DT_unit_precision@50,DT_unit_ceiling_adjusted_recall@50,DT_unit_selected_token_fraction@50,DT_rise,DT_mas,DT_full_reference_tie10_recall_low,DT_full_reference_tie10_recall_high,DT_full_reference_tie10_cutoff_zero,DT_full_reference_tie10_tie_changes_recall,DT_full_reference_recall@05,DT_full_reference_precision@05,DT_full_reference_ceiling_adjusted_recall@05,DT_full_reference_recall@10,DT_full_reference_precision@10,DT_full_reference_ceiling_adjusted_recall@10,DT_full_reference_recall@20,DT_full_reference_precision@20,DT_full_reference_ceiling_adjusted_recall@20,DT_full_reference_recall@30,DT_full_reference_precision@30,DT_full_reference_ceiling_adjusted_recall@30,DT_full_reference_recall@50,DT_full_reference_precision@50,DT_full_reference_ceiling_adjusted_recall@50,DT_full_reference_unit_recall@05,DT_full_reference_unit_precision@05,DT_full_reference_unit_ceiling_adjusted_recall@05,DT_full_reference_unit_selected_token_fraction@05,DT_full_reference_unit_recall@10,DT_full_reference_unit_precision@10,DT_full_reference_unit_ceiling_adjusted_recall@10,DT_full_reference_unit_selected_token_fraction@10,DT_full_reference_unit_recall@20,DT_full_reference_unit_precision@20,DT_full_reference_unit_ceiling_adjusted_recall@20,DT_full_reference_unit_selected_token_fraction@20,DT_full_reference_unit_recall@30,DT_full_reference_unit_precision@30,DT_full_reference_unit_ceiling_adjusted_recall@30,DT_full_reference_unit_selected_token_fraction@30,DT_full_reference_unit_recall@50,DT_full_reference_unit_precision@50,DT_full_reference_unit_ceiling_adjusted_recall@50,DT_full_reference_unit_selected_token_fraction@50,DT_full_reference_rise,DT_full_reference_mas,FT_K1_tie10_recall_low,FT_K1_tie10_recall_high,FT_K1_tie10_cutoff_zero,FT_K1_tie10_tie_changes_recall,FT_K1_recall@05,FT_K1_precision@05,FT_K1_ceiling_adjusted_recall@05,FT_K1_recall@10,FT_K1_precision@10,FT_K1_ceiling_adjusted_recall@10,FT_K1_recall@20,FT_K1_precision@20,FT_K1_ceiling_adjusted_recall@20,FT_K1_recall@30,FT_K1_precision@30,FT_K1_ceiling_adjusted_recall@30,FT_K1_recall@50,FT_K1_precision@50,FT_K1_ceiling_adjusted_recall@50,FT_K1_unit_recall@05,FT_K1_unit_precision@05,FT_K1_unit_ceiling_adjusted_recall@05,FT_K1_unit_selected_token_fraction@05,FT_K1_unit_recall@10,FT_K1_unit_precision@10,FT_K1_unit_ceiling_adjusted_recall@10,FT_K1_unit_selected_token_fraction@10,FT_K1_unit_recall@20,FT_K1_unit_precision@20,FT_K1_unit_ceiling_adjusted_recall@20,FT_K1_unit_selected_token_fraction@20,FT_K1_unit_recall@30,FT_K1_unit_precision@30,FT_K1_unit_ceiling_adjusted_recall@30,FT_K1_unit_selected_token_fraction@30,FT_K1_unit_recall@50,FT_K1_unit_precision@50,FT_K1_unit_ceiling_adjusted_recall@50,FT_K1_unit_selected_token_fraction@50,FT_K1_rise,FT_K1_mas,FT_K3_tie10_recall_low,FT_K3_tie10_recall_high,FT_K3_tie10_cutoff_zero,FT_K3_tie10_tie_changes_recall,FT_K3_recall@05,FT_K3_precision@05,FT_K3_ceiling_adjusted_recall@05,FT_K3_recall@10,FT_K3_precision@10,FT_K3_ceiling_adjusted_recall@10,FT_K3_recall@20,FT_K3_precision@20,FT_K3_ceiling_adjusted_recall@20,FT_K3_recall@30,FT_K3_precision@30,FT_K3_ceiling_adjusted_recall@30,FT_K3_recall@50,FT_K3_precision@50,FT_K3_ceiling_adjusted_recall@50,FT_K3_unit_recall@05,FT_K3_unit_precision@05,FT_K3_unit_ceiling_adjusted_recall@05,FT_K3_unit_selected_token_fraction@05,FT_K3_unit_recall@10,FT_K3_unit_precision@10,FT_K3_unit_ceiling_adjusted_recall@10,FT_K3_unit_selected_token_fraction@10,FT_K3_unit_recall@20,FT_K3_unit_precision@20,FT_K3_unit_ceiling_adjusted_recall@20,FT_K3_unit_selected_token_fraction@20,FT_K3_unit_recall@30,FT_K3_unit_precision@30,FT_K3_unit_ceiling_adjusted_recall@30,FT_K3_unit_selected_token_fraction@30,FT_K3_unit_recall@50,FT_K3_unit_precision@50,FT_K3_unit_ceiling_adjusted_recall@50,FT_K3_unit_selected_token_fraction@50,FT_K3_rise,FT_K3_mas,rerun_full_reference_max_abs_vs_frozen
vt_h4_c1,0,336,51,0.6470588235294118,0.6470588235294118,False,False,0.3137254901960784,0.9411764705882353,0.9411764705882353,0.6470588235294118,0.9705882352941176,0.9705882352941176,0.9019607843137255,0.6764705882352942,0.9019607843137255,0.9215686274509803,0.46534653465346537,0.9215686274509803,0.9215686274509803,0.27976190476190477,0.9215686274509803,0.8,1.0,1.0,0.12202380952380952,1.0,0.625,1.0,0.18452380952380953,1.0,0.3125,1.0,0.2857142857142857,1.0,0.20833333333333334,1.0,0.375,1.0,0.125,1.0,0.5535714285714286,0.05728952772073922,0.07645554841661106,0.6666666666666666,0.6666666666666666,False,False,0.3333333333333333,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,0.75,1.0,1.0,0.504950495049505,1.0,1.0,0.30357142857142855,1.0,0.8,1.0,1.0,0.12202380952380952,1.0,0.625,1.0,0.18452380952380953,1.0,0.3125,1.0,0.28273809523809523,1.0,0.20833333333333334,1.0,0.375,1.0,0.125,1.0,0.5505952380952381,0.07941478439425051,0.09206277713389124,0.6666666666666666,0.6666666666666666,False,False,0.3333333333333333,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,0.75,1.0,1.0,0.504950495049505,1.0,1.0,0.30357142857142855,1.0,0.8,1.0,1.0,0.11904761904761904,1.0,0.625,1.0,0.19642857142857142,1.0,0.3125,1.0,0.28273809523809523,1.0,0.20833333333333334,1.0,0.35714285714285715,1.0,0.125,1.0,0.5208333333333334,0.08285420944558523,0.16884195413915642,0.6666666666666666,0.6666666666666666,False,False,0.3333333333333333,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,0.75,1.0,1.0,0.504950495049505,1.0,1.0,0.30357142857142855,1.0,0.8,1.0,1.0,0.11904761904761904,1.0,0.625,1.0,0.19642857142857142,1.0,0.3125,1.0,0.28273809523809523,1.0,0.20833333333333334,1.0,0.35714285714285715,1.0,0.125,1.0,0.5208333333333334,,,0.0015148787140217834
vt_h4_c1,1,333,48,0.6666666666666666,0.6666666666666666,False,False,0.3333333333333333,0.9411764705882353,0.9411764705882353,0.6666666666666666,0.9411764705882353,0.9411764705882353,0.7916666666666666,0.5671641791044776,0.7916666666666666,0.8333333333333334,0.4,0.8333333333333334,0.8958333333333334,0.25748502994011974,0.8958333333333334,0.8,1.0,1.0,0.11411411411411411,1.0,0.625,1.0,0.1831831831831832,1.0,0.3125,1.0,0.2822822822822823,1.0,0.20833333333333334,1.0,0.37537537537537535,1.0,0.125,1.0,0.5585585585585585,0.0733140655105973,0.0836219740222166,0.7083333333333334,0.7083333333333334,False,False,0.3541666666666667,1.0,1.0,0.7083333333333334,1.0,1.0,1.0,0.7164179104477612,1.0,1.0,0.48,1.0,1.0,0.2874251497005988,1.0,0.8,1.0,1.0,0.11411411411411411,1.0,0.625,1.0,0.1831831831831832,1.0,0.3125,1.0,0.2882882882882883,1.0,0.20833333333333334,1.0,0.37537537537537535,1.0,0.125,1.0,0.5615615615615616,0.08159922928709054,0.10720152315528271,0.7083333333333334,0.7083333333333334,False,False,0.3541666666666667,1.0,1.0,0.7083333333333334,1.0,1.0,1.0,0.7164179104477612,1.0,1.0,0.48,1.0,1.0,0.2874251497005988,1.0,0.8,1.0,1.0,0.11411411411411411,1.0,0.625,1.0,0.1831831831831832,1.0,0.3125,1.0,0.27627627627627627,1.0,0.20833333333333334,1.0,0.35135135135135137,1.0,0.125,1.0,0.5285285285285285,0.06618497109826589,0.15986916106471108,0.7083333333333334,0.7083333333333334,False,False,0.3541666666666667,1.0,1.0,0.7083333333333334,1.0,1.0,1.0,0.7164179104477612,1.0,1.0,0.48,1.0,1.0,0.2874251497005988,1.0,0.8,1.0,1.0,0.11411411411411411,1.0,0.625,1.0,0.1831831831831832,1.0,0.3125,1.0,0.27627627627627627,1.0,0.20833333333333334,1.0,0.35135135135135137,1.0,0.125,1.0,0.5285285285285285,,,0.0020050138693159525
vt_h4_c1,2,331,46,0.6956521739130435,0.6956521739130435,False,False,0.34782608695652173,0.9411764705882353,0.9411764705882353,0.6956521739130435,0.9411764705882353,0.9411764705882353,0.8695652173913043,0.5970149253731343,0.8695652173913043,0.9130434782608695,0.42,0.9130434782608695,0.9347826086956522,0.25903614457831325,0.9347826086956522,0.8,1.0,1.0,0.11178247734138973,1.0,0.625,1.0,0.1782477341389728,1.0,0.3125,1.0,0.2688821752265861,1.0,0.20833333333333334,1.0,0.36253776435045315,1.0,0.125,1.0,0.5498489425981873,0.0738404452690167,0.0878869882230365,0.7391304347826086,0.7391304347826086,False,False,0.3695652173913043,1.0,1.0,0.7391304347826086,1.0,1.0,1.0,0.6865671641791045,1.0,1.0,0.46,1.0,1.0,0.27710843373493976,1.0,0.8,1.0,1.0,0.11178247734138973,1.0,0.625,1.0,0.1782477341389728,1.0,0.3125,1.0,0.2688821752265861,1.0,0.20833333333333334,1.0,0.3716012084592145,1.0,0.125,1.0,0.5558912386706949,0.09169758812615958,0.12677410930568614,0.717391304347826,0.717391304347826,False,False,0.3695652173913043,1.0,1.0,0.717391304347826,0.9705882352941176,0.9705882352941176,1.0,0.6865671641791045,1.0,1.0,0.46,1.0,1.0,0.27710843373493976,1.0,0.8,1.0,1.0,0.10876132930513595,1.0,0.625,1.0,0.17220543806646527,1.0,0.3125,1.0,0.2719033232628399,1.0,0.20833333333333334,1.0,0.3504531722054381,1.0,0.125,1.0,0.5196374622356495,0.12421150278293133,0.20066200669912,0.717391304347826,0.717391304347826,False,False,0.3695652173913043,1.0,1.0,0.717391304347826,0.9705882352941176,0.9705882352941176,1.0,0.6865671641791045,1.0,1.0,0.46,1.0,1.0,0.27710843373493976,1.0,0.8,1.0,1.0,0.11178247734138973,1.0,0.625,1.0,0.17220543806646527,1.0,0.3125,1.0,0.2719033232628399,1.0,0.20833333333333334,1.0,0.3504531722054381,1.0,0.125,1.0,0.5196374622356495,,,0.004263284348060337
vt_h4_c1,3,332,47,0.6170212765957447,0.6170212765957447,False,False,0.3404255319148936,0.9411764705882353,0.9411764705882353,0.6170212765957447,0.8529411764705882,0.8529411764705882,0.7446808510638298,0.5223880597014925,0.7446808510638298,0.8297872340425532,0.39,0.8297872340425532,0.8723404255319149,0.2469879518072289,0.8723404255319149,0.6,0.75,0.75,0.10240963855421686,1.0,0.625,1.0,0.18674698795180722,1.0,0.3125,1.0,0.27710843373493976,1.0,0.20833333333333334,1.0,0.37349397590361444,1.0,0.125,1.0,0.5451807228915663,0.027647058823529403,0.07246956639060739,0.723404255319149,0.723404255319149,False,False,0.3617021276595745,1.0,1.0,0.723404255319149,1.0,1.0,1.0,0.7014925373134329,1.0,1.0,0.47,1.0,1.0,0.28313253012048195,1.0,0.8,1.0,1.0,0.11144578313253012,1.0,0.625,1.0,0.18674698795180722,1.0,0.3125,1.0,0.28012048192771083,1.0,0.20833333333333334,1.0,0.37349397590361444,1.0,0.125,1.0,0.5481927710843374,0.10068627450980391,0.15742872386142087,0.723404255319149,0.723404255319149,False,False,0.3617021276595745,1.0,1.0,0.723404255319149,1.0,1.0,1.0,0.7014925373134329,1.0,1.0,0.47,1.0,1.0,0.28313253012048195,1.0,0.8,1.0,1.0,0.11746987951807229,1.0,0.625,1.0,0.18072289156626506,1.0,0.3125,1.0,0.2710843373493976,1.0,0.20833333333333334,1.0,0.3493975903614458,1.0,0.125,1.0,0.5240963855421686,0.09215686274509798,0.1810978559580528,0.723404255319149,0.723404255319149,False,False,0.3617021276595745,1.0,1.0,0.723404255319149,1.0,1.0,1.0,0.7014925373134329,1.0,1.0,0.47,1.0,1.0,0.28313253012048195,1.0,0.8,1.0,1.0,0.11746987951807229,1.0,0.625,1.0,0.18674698795180722,1.0,0.3125,1.0,0.2710843373493976,1.0,0.20833333333333334,1.0,0.3493975903614458,1.0,0.125,1.0,0.5301204819277109,,,0.0021066501320958775
vt_h4_c1,4,337,52,0.6153846153846154,0.6153846153846154,False,False,0.3076923076923077,0.9411764705882353,0.9411764705882353,0.6153846153846154,0.9411764705882353,0.9411764705882353,0.8269230769230769,0.6323529411764706,0.8269230769230769,0.8461538461538461,0.43137254901960786,0.8461538461538461,0.9038461538461539,0.2781065088757396,0.9038461538461539,0.8,1.0,1.0,0.12462908011869436,1.0,0.625,1.0,0.19287833827893175,1.0,0.3125,1.0,0.2818991097922849,1.0,0.20833333333333334,1.0,0.3768545994065282,1.0,0.125,1.0,0.5727002967359051,0.0940829694323144,0.1113878481289374,0.6538461538461539,0.6538461538461539,False,False,0.3269230769230769,1.0,1.0,0.6538461538461539,1.0,1.0,1.0,0.7647058823529411,1.0,1.0,0.5098039215686274,1.0,1.0,0.3076923076923077,1.0,0.8,1.0,1.0,0.12462908011869436,1.0,0.625,1.0,0.18694362017804153,1.0,0.3125,1.0,0.29080118694362017,1.0,0.20833333333333334,1.0,0.3768545994065282,1.0,0.125,1.0,0.5667655786350149,0.09168122270742363,0.1169051119170271,0.6538461538461539,0.6538461538461539,False,False,0.3269230769230769,1.0,1.0,0.6538461538461539,1.0,1.0,1.0,0.7647058823529411,1.0,1.0,0.5098039215686274,1.0,1.0,0.3076923076923077,1.0,0.8,1.0,1.0,0.12166172106824925,1.0,0.625,1.0,0.19287833827893175,1.0,0.3125,1.0,0.2818991097922849,1.0,0.20833333333333334,1.0,0.3620178041543027,1.0,0.125,1.0,0.5311572700296736,0.07504366812227074,0.16152319657791445,0.6538461538461539,0.6538461538461539,False,False,0.3269230769230769,1.0,1.0,0.6538461538461539,1.0,1.0,1.0,0.7647058823529411,1.0,1.0,0.5098039215686274,1.0,1.0,0.3076923076923077,1.0,0.8,1.0,1.0,0.12462908011869436,1.0,0.625,1.0,0.19287833827893175,1.0,0.3125,1.0,0.2818991097922849,1.0,0.20833333333333334,1.0,0.3649851632047478,1.0,0.125,1.0,0.5311572700296736,,,0.004027375303170988
vt_h4_c1,5,331,46,0.6739130434782609,0.6739130434782609,False,False,0.34782608695652173,0.9411764705882353,0.9411764705882353,0.6739130434782609,0.9117647058823529,0.9117647058823529,0.8260869565217391,0.5671641791044776,0.8260869565217391,0.8695652173913043,0.4,0.8695652173913043,0.8695652173913043,0.24096385542168675,0.8695652173913043,0.8,1.0,1.0,0.1148036253776435,1.0,0.625,1.0,0.18429003021148035,1.0,0.3125,1.0,0.2719033232628399,1.0,0.20833333333333334,1.0,0.3685800604229607,1.0,0.125,1.0,0.552870090634441,0.057057416267942584,0.08068141640206168,0.7391304347826086,0.7391304347826086,False,False,0.3695652173913043,1.0,1.0,0.7391304347826086,1.0,1.0,0.9347826086956522,0.6417910447761194,0.9347826086956522,0.9347826086956522,0.43,0.9347826086956522,0.9565217391304348,0.26506024096385544,0.9565217391304348,0.8,1.0,1.0,0.1148036253776435,1.0,0.625,1.0,0.17220543806646527,1.0,0.3125,1.0,0.27794561933534745,1.0,0.20833333333333334,1.0,0.3716012084592145,1.0,0.125,1.0,0.552870090634441,0.12284688995215313,0.18680765669228064,0.7391304347826086,0.7391304347826086,False,False,0.3695652173913043,1.0,1.0,0.7391304347826086,1.0,1.0,1.0,0.6865671641791045,1.0,1.0,0.46,1.0,1.0,0.27710843373493976,1.0,0.8,1.0,1.0,0.10876132930513595,1.0,0.625,1.0,0.18429003021148035,1.0,0.3125,1.0,0.27492447129909364,1.0,0.20833333333333334,1.0,0.3504531722054381,1.0,0.125,1.0,0.5166163141993958,0.04394736842105264,0.15501343914817128,0.7391304347826086,0.7391304347826086,False,False,0.3695652173913043,1.0,1.0,0.7391304347826086,1.0,1.0,1.0,0.6865671641791045,1.0,1.0,0.46,1.0,1.0,0.27710843373493976,1.0,0.8,1.0,1.0,0.10876132930513595,1.0,0.625,1.0,0.18429003021148035,1.0,0.3125,1.0,0.27492447129909364,1.0,0.20833333333333334,1.0,0.35347432024169184,1.0,0.125,1.0,0.5196374622356495,,,0.001956064615582953
vt_h4_c1,6,331,46,0.6956521739130435,0.6956521739130435,False,False,0.34782608695652173,0.9411764705882353,0.9411764705882353,0.6956521739130435,0.9411764705882353,0.9411764705882353,0.9130434782608695,0.6268656716417911,0.9130434782608695,0.9347826086956522,0.43,0.9347826086956522,0.9565217391304348,0.26506024096385544,0.9565217391304348,0.6,0.75,0.75,0.09969788519637462,1.0,0.625,1.0,0.17220543806646527,1.0,0.3125,1.0,0.2688821752265861,1.0,0.20833333333333334,1.0,0.3595166163141994,1.0,0.125,1.0,0.5558912386706949,0.07944225074037511,0.10319904408836185,0.7391304347826086,0.7391304347826086,False,False,0.3695652173913043,1.0,1.0,0.7391304347826086,1.0,1.0,1.0,0.6865671641791045,1.0,1.0,0.46,1.0,1.0,0.27710843373493976,1.0,0.8,1.0,1.0,0.11178247734138973,1.0,0.625,1.0,0.17220543806646527,1.0,0.3125,1.0,0.26586102719033233,1.0,0.20833333333333334,1.0,0.3685800604229607,1.0,0.125,1.0,0.5498489425981873,0.10041954590325766,0.13783671893633637,0.7391304347826086,0.7391304347826086,False,False,0.3695652173913043,1.0,1.0,0.7391304347826086,1.0,1.0,1.0,0.6865671641791045,1.0,1.0,0.46,1.0,1.0,0.27710843373493976,1.0,0.8,1.0,1.0,0.10876132930513595,1.0,0.625,1.0,0.1782477341389728,1.0,0.3125,1.0,0.2719033232628399,1.0,0.20833333333333334,1.0,0.3504531722054381,1.0,0.125,1.0,0.5226586102719033,0.059896347482724564,0.1694050260539038,0.7391304347826086,0.7391304347826086,False,False,0.3695652173913043,1.0,1.0,0.7391304347826086,1.0,1.0,1.0,0.6865671641791045,1.0,1.0,0.46,1.0,1.0,0.27710843373493976,1.0,0.8,1.0,1.0,0.11178247734138973,1.0,0.625,1.0,0.1782477341389728,1.0,0.3125,1.0,0.2719033232628399,1.0,0.20833333333333334,1.0,0.3504531722054381,1.0,0.125,1.0,0.5226586102719033,,,0.002301005633717601
vt_h4_c1,7,330,45,0.6666666666666666,0.6666666666666666,False,False,0.35555555555555557,0.9411764705882353,0.9411764705882353,0.6666666666666666,0.9090909090909091,0.9090909090909091,0.8666666666666667,0.5909090909090909,0.8666666666666667,0.9333333333333333,0.42424242424242425,0.9333333333333333,0.9333333333333333,0.2545454545454545,0.9333333333333333,0.6,0.75,0.75,0.09090909090909091,1.0,0.625,1.0,0.17575757575757575,1.0,0.3125,1.0,0.2727272727272727,1.0,0.20833333333333334,1.0,0.36363636363636365,1.0,0.125,1.0,0.5636363636363636,0.06053008595988539,0.0750226713152661,0.7333333333333333,0.7333333333333333,False,False,0.37777777777777777,1.0,1.0,0.7333333333333333,1.0,1.0,0.9777777777777777,0.6666666666666666,0.9777777777777777,0.9777777777777777,0.4444444444444444,0.9777777777777777,0.9777777777777777,0.26666666666666666,0.9777777777777777,0.8,1.0,1.0,0.10303030303030303,1.0,0.625,1.0,0.17575757575757575,1.0,0.3125,1.0,0.27575757575757576,1.0,0.20833333333333334,1.0,0.3575757575757576,1.0,0.125,1.0,0.5515151515151515,0.09988061127029609,0.13961923482679459,0.7333333333333333,0.7333333333333333,False,False,0.37777777777777777,1.0,1.0,0.7333333333333333,1.0,1.0,1.0,0.6818181818181818,1.0,1.0,0.45454545454545453,1.0,1.0,0.2727272727272727,1.0,0.8,1.0,1.0,0.10909090909090909,1.0,0.625,1.0,0.18181818181818182,1.0,0.3125,1.0,0.26666666666666666,1.0,0.20833333333333334,1.0,0.3484848484848485,1.0,0.125,1.0,0.5151515151515151,0.06081661891117476,0.16706182014108842,0.7333333333333333,0.7333333333333333,False,False,0.37777777777777777,1.0,1.0,0.7333333333333333,1.0,1.0,1.0,0.6818181818181818,1.0,1.0,0.45454545454545453,1.0,1.0,0.2727272727272727,1.0,0.8,1.0,1.0,0.10303030303030303,1.0,0.625,1.0,0.18181818181818182,1.0,0.3125,1.0,0.2696969696969697,1.0,0.20833333333333334,1.0,0.3484848484848485,1.0,0.125,1.0,0.5151515151515151,,,0.0017572602313076224
vt_h4_c1,8,331,46,0.717391304347826,0.717391304347826,False,False,0.3695652173913043,1.0,1.0,0.717391304347826,0.9705882352941176,0.9705882352941176,0.8260869565217391,0.5671641791044776,0.8260869565217391,0.8695652173913043,0.4,0.8695652173913043,0.9130434782608695,0.25301204819277107,0.9130434782608695,0.8,1.0,1.0,0.1148036253776435,1.0,0.625,1.0,0.17522658610271905,1.0,0.3125,1.0,0.27794561933534745,1.0,0.20833333333333334,1.0,0.3685800604229607,1.0,0.125,1.0,0.5619335347432024,0.11079088471849863,0.16572734162337419,0.7391304347826086,0.7391304347826086,False,False,0.3695652173913043,1.0,1.0,0.7391304347826086,1.0,1.0,1.0,0.6865671641791045,1.0,1.0,0.46,1.0,1.0,0.27710843373493976,1.0,0.8,1.0,1.0,0.1148036253776435,1.0,0.625,1.0,0.17522658610271905,1.0,0.3125,1.0,0.2598187311178248,1.0,0.20833333333333334,1.0,0.3595166163141994,1.0,0.125,1.0,0.540785498489426,0.1418900804289544,0.23260030961704298,0.7391304347826086,0.7391304347826086,False,False,0.3695652173913043,1.0,1.0,0.7391304347826086,1.0,1.0,1.0,0.6865671641791045,1.0,1.0,0.46,1.0,1.0,0.27710843373493976,1.0,0.8,1.0,1.0,0.10876132930513595,1.0,0.625,1.0,0.1782477341389728,1.0,0.3125,1.0,0.2688821752265861,1.0,0.20833333333333334,1.0,0.3474320241691843,1.0,0.125,1.0,0.5105740181268882,0.08719839142091154,0.18911814291346873,0.7391304347826086,0.7391304347826086,False,False,0.3695652173913043,1.0,1.0,0.7391304347826086,1.0,1.0,1.0,0.6865671641791045,1.0,1.0,0.46,1.0,1.0,0.27710843373493976,1.0,0.8,1.0,1.0,0.11178247734138973,1.0,0.625,1.0,0.1782477341389728,1.0,0.3125,1.0,0.2719033232628399,1.0,0.20833333333333334,1.0,0.35347432024169184,1.0,0.125,1.0,0.513595166163142,,,0.0023473560986428943
vt_h4_c1,9,334,49,0.6122448979591837,0.6122448979591837,False,False,0.32653061224489793,0.9411764705882353,0.9411764705882353,0.6122448979591837,0.8823529411764706,0.8823529411764706,0.8571428571428571,0.6268656716417911,0.8571428571428571,0.8571428571428571,0.4158415841584158,0.8571428571428571,0.8775510204081632,0.25748502994011974,0.8775510204081632,0.6,0.75,0.75,0.10479041916167664,1.0,0.625,1.0,0.18562874251497005,1.0,0.3125,1.0,0.27844311377245506,1.0,0.20833333333333334,1.0,0.37425149700598803,1.0,0.125,1.0,0.5538922155688623,0.057765737874097015,0.08655964172652734,0.6938775510204082,0.6938775510204082,False,False,0.3469387755102041,1.0,1.0,0.6938775510204082,1.0,1.0,0.9795918367346939,0.7164179104477612,0.9795918367346939,1.0,0.48514851485148514,1.0,1.0,0.2934131736526946,1.0,0.8,1.0,1.0,0.11976047904191617,1.0,0.625,1.0,0.18562874251497005,1.0,0.3125,1.0,0.2754491017964072,1.0,0.20833333333333334,1.0,0.3562874251497006,1.0,0.125,1.0,0.5508982035928144,0.10327657378740966,0.1412121994208449,0.6938775510204082,0.6938775510204082,False,False,0.3469387755102041,1.0,1.0,0.6938775510204082,1.0,1.0,1.0,0.7313432835820896,1.0,1.0,0.48514851485148514,1.0,1.0,0.2934131736526946,1.0,0.8,1.0,1.0,0.11377245508982035,1.0,0.625,1.0,0.18562874251497005,1.0,0.3125,1.0,0.27844311377245506,1.0,0.20833333333333334,1.0,0.3532934131736527,1.0,0.125,1.0,0.5329341317365269,0.08795149638802886,0.17934449662932353,0.6938775510204082,0.6938775510204082,False,False,0.3469387755102041,1.0,1.0,0.6938775510204082,1.0,1.0,1.0,0.7313432835820896,1.0,1.0,0.48514851485148514,1.0,1.0,0.2934131736526946,1.0,0.8,1.0,1.0,0.11377245508982035,1.0,0.625,1.0,0.18562874251497005,1.0,0.3125,1.0,0.27844311377245506,1.0,0.20833333333333334,1.0,0.3532934131736527,1.0,0.125,1.0,0.5389221556886228,,,0.0017085161090855117
