dataset,index,method,view,fraction,recall,budget,gold,ceiling
vt_h4_c1,0,DT_body_forward,raw,0.05,0.3137254901960784,17,51,0.3333333333333333
vt_h4_c1,0,DT_body_forward,raw,0.1,0.6470588235294118,34,51,0.6666666666666666
vt_h4_c1,0,DT_body_forward,raw,0.2,0.9019607843137255,68,51,1.0
vt_h4_c1,0,DT_body_forward,density,0.05,0.3333333333333333,17,51,0.3333333333333333
vt_h4_c1,0,DT_body_forward,density,0.1,0.6666666666666666,34,51,0.6666666666666666
vt_h4_c1,0,DT_body_forward,density,0.2,1.0,68,51,1.0
vt_h4_c1,0,DT_body_reverse,raw,0.05,0.29411764705882354,17,51,0.3333333333333333
vt_h4_c1,0,DT_body_reverse,raw,0.1,0.5686274509803921,34,51,0.6666666666666666
vt_h4_c1,0,DT_body_reverse,raw,0.2,0.8627450980392157,68,51,1.0
vt_h4_c1,0,DT_body_reverse,density,0.05,0.3333333333333333,17,51,0.3333333333333333
vt_h4_c1,0,DT_body_reverse,density,0.1,0.5686274509803921,34,51,0.6666666666666666
vt_h4_c1,0,DT_body_reverse,density,0.2,1.0,68,51,1.0
vt_h4_c1,0,DT_full_forward,raw,0.05,0.3333333333333333,17,51,0.3333333333333333
vt_h4_c1,0,DT_full_forward,raw,0.1,0.6666666666666666,34,51,0.6666666666666666
vt_h4_c1,0,DT_full_forward,raw,0.2,1.0,68,51,1.0
vt_h4_c1,0,DT_full_forward,density,0.05,0.3333333333333333,17,51,0.3333333333333333
vt_h4_c1,0,DT_full_forward,density,0.1,0.6666666666666666,34,51,0.6666666666666666
vt_h4_c1,0,DT_full_forward,density,0.2,1.0,68,51,1.0
vt_h4_c1,0,DT_full_reverse,raw,0.05,0.3333333333333333,17,51,0.3333333333333333
vt_h4_c1,0,DT_full_reverse,raw,0.1,0.6666666666666666,34,51,0.6666666666666666
vt_h4_c1,0,DT_full_reverse,raw,0.2,1.0,68,51,1.0
vt_h4_c1,0,DT_full_reverse,density,0.05,0.3333333333333333,17,51,0.3333333333333333
vt_h4_c1,0,DT_full_reverse,density,0.1,0.6666666666666666,34,51,0.6666666666666666
vt_h4_c1,0,DT_full_reverse,density,0.2,1.0,68,51,1.0
vt_h4_c1,0,DT_body_symmetric,raw,0.05,0.3137254901960784,17,51,0.3333333333333333
vt_h4_c1,0,DT_body_symmetric,raw,0.1,0.6078431372549019,34,51,0.6666666666666666
vt_h4_c1,0,DT_body_symmetric,raw,0.2,0.9215686274509803,68,51,1.0
vt_h4_c1,0,DT_body_symmetric,density,0.05,0.3333333333333333,17,51,0.3333333333333333
vt_h4_c1,0,DT_body_symmetric,density,0.1,0.5686274509803921,34,51,0.6666666666666666
vt_h4_c1,0,DT_body_symmetric,density,0.2,1.0,68,51,1.0
vt_h4_c1,0,DT_full_symmetric,raw,0.05,0.3333333333333333,17,51,0.3333333333333333
vt_h4_c1,0,DT_full_symmetric,raw,0.1,0.6666666666666666,34,51,0.6666666666666666
vt_h4_c1,0,DT_full_symmetric,raw,0.2,1.0,68,51,1.0
vt_h4_c1,0,DT_full_symmetric,density,0.05,0.3333333333333333,17,51,0.3333333333333333
vt_h4_c1,0,DT_full_symmetric,density,0.1,0.6666666666666666,34,51,0.6666666666666666
vt_h4_c1,0,DT_full_symmetric,density,0.2,1.0,68,51,1.0
vt_h4_c1,0,FT_K1,raw,0.05,0.3333333333333333,17,51,0.3333333333333333
vt_h4_c1,0,FT_K1,raw,0.1,0.6666666666666666,34,51,0.6666666666666666
vt_h4_c1,0,FT_K1,raw,0.2,1.0,68,51,1.0
vt_h4_c1,0,FT_K1,density,0.05,0.3333333333333333,17,51,0.3333333333333333
vt_h4_c1,0,FT_K1,density,0.1,0.6666666666666666,34,51,0.6666666666666666
vt_h4_c1,0,FT_K1,density,0.2,1.0,68,51,1.0
vt_h4_c1,0,FT_K3,raw,0.05,0.3333333333333333,17,51,0.3333333333333333
vt_h4_c1,0,FT_K3,raw,0.1,0.6666666666666666,34,51,0.6666666666666666
vt_h4_c1,0,FT_K3,raw,0.2,1.0,68,51,1.0
