dataset,index,method,view,fraction,recall,budget,gold,ceiling
vt_h2_c3,0,DT_eos,raw,0.05,0.6538461538461539,17,26,0.6538461538461539
vt_h2_c3,0,DT_eos,raw,0.1,0.8076923076923077,33,26,1.0
vt_h2_c3,0,DT_eos,raw,0.2,0.9615384615384616,66,26,1.0
vt_h2_c3,0,DT_eos,density,0.05,0.6538461538461539,17,26,0.6538461538461539
vt_h2_c3,0,DT_eos,density,0.1,1.0,33,26,1.0
vt_h2_c3,0,DT_eos,density,0.2,1.0,66,26,1.0
vt_h2_c3,0,DT_space,raw,0.05,0.5384615384615384,17,26,0.6538461538461539
vt_h2_c3,0,DT_space,raw,0.1,0.8076923076923077,33,26,1.0
vt_h2_c3,0,DT_space,raw,0.2,0.9230769230769231,66,26,1.0
vt_h2_c3,0,DT_space,density,0.05,0.6538461538461539,17,26,0.6538461538461539
vt_h2_c3,0,DT_space,density,0.1,1.0,33,26,1.0
vt_h2_c3,0,DT_space,density,0.2,1.0,66,26,1.0
vt_h2_c3,0,DT_mean,raw,0.05,0.6153846153846154,17,26,0.6538461538461539
vt_h2_c3,0,DT_mean,raw,0.1,0.8846153846153846,33,26,1.0
vt_h2_c3,0,DT_mean,raw,0.2,0.9615384615384616,66,26,1.0
vt_h2_c3,0,DT_mean,density,0.05,0.6538461538461539,17,26,0.6538461538461539
vt_h2_c3,0,DT_mean,density,0.1,1.0,33,26,1.0
vt_h2_c3,0,DT_mean,density,0.2,1.0,66,26,1.0
vt_h2_c3,0,FT_K1,raw,0.05,0.5769230769230769,17,26,0.6538461538461539
vt_h2_c3,0,FT_K1,raw,0.1,0.6538461538461539,33,26,1.0
vt_h2_c3,0,FT_K1,raw,0.2,0.8461538461538461,66,26,1.0
vt_h2_c3,0,FT_K1,density,0.05,0.6538461538461539,17,26,0.6538461538461539
vt_h2_c3,0,FT_K1,density,0.1,1.0,33,26,1.0
vt_h2_c3,0,FT_K1,density,0.2,1.0,66,26,1.0
vt_h2_c3,0,FT_K3,raw,0.05,0.5769230769230769,17,26,0.6538461538461539
vt_h2_c3,0,FT_K3,raw,0.1,0.6538461538461539,33,26,1.0
vt_h2_c3,0,FT_K3,raw,0.2,0.8461538461538461,66,26,1.0
vt_h2_c3,0,FT_K3,density,0.05,0.6538461538461539,17,26,0.6538461538461539
vt_h2_c3,0,FT_K3,density,0.1,1.0,33,26,1.0
vt_h2_c3,0,FT_K3,density,0.2,1.0,66,26,1.0
vt_h2_c3,1,DT_eos,raw,0.05,0.6296296296296297,17,27,0.6296296296296297
vt_h2_c3,1,DT_eos,raw,0.1,0.8888888888888888,33,27,1.0
vt_h2_c3,1,DT_eos,raw,0.2,0.9629629629629629,66,27,1.0
vt_h2_c3,1,DT_eos,density,0.05,0.6296296296296297,17,27,0.6296296296296297
vt_h2_c3,1,DT_eos,density,0.1,1.0,33,27,1.0
vt_h2_c3,1,DT_eos,density,0.2,1.0,66,27,1.0
