dataset,index,method,target_mode,aggregation,view,budget_unit,fraction,eligible,gold,budget,gold_density,ceiling,random_expected_recall,recall,precision,ceiling_adjusted_recall,cutoff,cutoff_tie_size,recall_tie_low,recall_tie_high
vt_h6_c1,0,DT,answer_only,signed_sum,raw,eligible_body_tokens,0.1,329,63,33,0.19148936170212766,0.5238095238095238,0.10030395136778116,0.5238095238095238,1.0,1.0,0.7032702565193176,1,0.5238095238095238,0.5238095238095238
vt_h6_c1,0,DT,answer_only,signed_sum,raw,eligible_body_tokens,0.2,329,63,66,0.19148936170212766,1.0,0.2006079027355623,0.9365079365079365,0.8939393939393939,0.9365079365079365,0.06482645124197006,1,0.9365079365079365,0.9365079365079365
vt_h6_c1,0,DT,answer_only,signed_sum,raw,eligible_body_tokens,0.3,329,63,99,0.19148936170212766,1.0,0.3009118541033435,0.9523809523809523,0.6060606060606061,0.9523809523809523,0.03849699720740318,1,0.9523809523809523,0.9523809523809523
vt_h6_c1,0,DT,answer_only,signed_sum,raw,eligible_body_tokens,0.4,329,63,132,0.19148936170212766,1.0,0.4012158054711246,0.9523809523809523,0.45454545454545453,0.9523809523809523,0.028545204550027847,1,0.9523809523809523,0.9523809523809523
vt_h6_c1,0,FT_K3,answer_only,signed_sum,raw,eligible_body_tokens,0.1,329,63,33,0.19148936170212766,0.5238095238095238,0.10030395136778116,0.5238095238095238,1.0,1.0,0.214579239487648,1,0.5238095238095238,0.5238095238095238
vt_h6_c1,0,FT_K3,answer_only,signed_sum,raw,eligible_body_tokens,0.2,329,63,66,0.19148936170212766,1.0,0.2006079027355623,0.8412698412698413,0.803030303030303,0.8412698412698413,0.07431919872760773,1,0.8412698412698413,0.8412698412698413
vt_h6_c1,0,FT_K3,answer_only,signed_sum,raw,eligible_body_tokens,0.3,329,63,99,0.19148936170212766,1.0,0.3009118541033435,1.0,0.6363636363636364,1.0,0.03526310250163078,1,1.0,1.0
vt_h6_c1,0,FT_K3,answer_only,signed_sum,raw,eligible_body_tokens,0.4,329,63,132,0.19148936170212766,1.0,0.4012158054711246,1.0,0.4772727272727273,1.0,0.020874489098787308,1,1.0,1.0
vt_h6_c1,0,Perturbation,answer_only,signed_sum,raw,eligible_body_tokens,0.1,329,63,33,0.19148936170212766,0.5238095238095238,0.10030395136778116,0.12698412698412698,0.24242424242424243,0.24242424242424243,36.02492904663086,42,0.0,0.12698412698412698
vt_h6_c1,0,Perturbation,answer_only,signed_sum,raw,eligible_body_tokens,0.2,329,63,66,0.19148936170212766,1.0,0.2006079027355623,0.2698412698412698,0.25757575757575757,0.2698412698412698,12.373103141784668,42,0.12698412698412698,0.2698412698412698
vt_h6_c1,0,Perturbation,answer_only,signed_sum,raw,eligible_body_tokens,0.3,329,63,99,0.19148936170212766,1.0,0.3009118541033435,0.42857142857142855,0.2727272727272727,0.42857142857142855,11.208212852478027,39,0.2698412698412698,0.42857142857142855
vt_h6_c1,0,Perturbation,answer_only,signed_sum,raw,eligible_body_tokens,0.4,329,63,132,0.19148936170212766,1.0,0.4012158054711246,0.42857142857142855,0.20454545454545456,0.42857142857142855,3.2682361602783203,43,0.42857142857142855,0.5714285714285714
vt_h6_c1,0,REAGENT,answer_only,signed_sum,raw,eligible_body_tokens,0.1,329,63,33,0.19148936170212766,0.5238095238095238,0.10030395136778116,0.12698412698412698,0.24242424242424243,0.24242424242424243,29.581314086914062,42,0.0,0.12698412698412698
vt_h6_c1,0,REAGENT,answer_only,signed_sum,raw,eligible_body_tokens,0.2,329,63,66,0.19148936170212766,1.0,0.2006079027355623,0.2698412698412698,0.25757575757575757,0.2698412698412698,16.29768180847168,42,0.12698412698412698,0.2698412698412698
vt_h6_c1,0,REAGENT,answer_only,signed_sum,raw,eligible_body_tokens,0.3,329,63,99,0.19148936170212766,1.0,0.3009118541033435,0.3333333333333333,0.21212121212121213,0.3333333333333333,14.351097106933594,43,0.2698412698412698,0.47619047619047616
vt_h6_c1,0,REAGENT,answer_only,signed_sum,raw,eligible_body_tokens,0.4,329,63,132,0.19148936170212766,1.0,0.4012158054711246,0.5555555555555556,0.26515151515151514,0.5555555555555556,12.620423316955566,39,0.47619047619047616,0.5555555555555556
vt_h6_c1,0,CLP,answer_only,signed_sum,raw,eligible_body_tokens,0.1,329,63,33,0.19148936170212766,0.5238095238095238,0.10030395136778116,0.2222222222222222,0.42424242424242425,0.42424242424242425,41416288.0,43,0.06349206349206349,0.2222222222222222
vt_h6_c1,0,CLP,answer_only,signed_sum,raw,eligible_body_tokens,0.2,329,63,66,0.19148936170212766,1.0,0.2006079027355623,0.36507936507936506,0.3484848484848485,0.36507936507936506,37420068.0,42,0.2222222222222222,0.36507936507936506
vt_h6_c1,0,CLP,answer_only,signed_sum,raw,eligible_body_tokens,0.3,329,63,99,0.19148936170212766,1.0,0.3009118541033435,0.4126984126984127,0.26262626262626265,0.4126984126984127,31914638.0,43,0.36507936507936506,0.5714285714285714
vt_h6_c1,0,CLP,answer_only,signed_sum,raw,eligible_body_tokens,0.4,329,63,132,0.19148936170212766,1.0,0.4012158054711246,0.6349206349206349,0.30303030303030304,0.6349206349206349,31470598.0,39,0.5714285714285714,0.6349206349206349
vt_h6_c1,0,IFR,answer_only,signed_sum,raw,eligible_body_tokens,0.1,329,63,33,0.19148936170212766,0.5238095238095238,0.10030395136778116,0.5238095238095238,1.0,1.0,0.7326385378837585,1,0.5238095238095238,0.5238095238095238
vt_h6_c1,0,IFR,answer_only,signed_sum,raw,eligible_body_tokens,0.2,329,63,66,0.19148936170212766,1.0,0.2006079027355623,0.8412698412698413,0.803030303030303,0.8412698412698413,0.2127840220928192,1,0.8412698412698413,0.8412698412698413
vt_h6_c1,0,IFR,answer_only,signed_sum,raw,eligible_body_tokens,0.3,329,63,99,0.19148936170212766,1.0,0.3009118541033435,1.0,0.6363636363636364,1.0,0.08567880094051361,1,1.0,1.0
vt_h6_c1,0,IFR,answer_only,signed_sum,raw,eligible_body_tokens,0.4,329,63,132,0.19148936170212766,1.0,0.4012158054711246,1.0,0.4772727272727273,1.0,0.04938933998346329,1,1.0,1.0
vt_h6_c1,0,AttnLRP,answer_only,signed_sum,raw,eligible_body_tokens,0.1,329,63,33,0.19148936170212766,0.5238095238095238,0.10030395136778116,0.5238095238095238,1.0,1.0,1.3035259246826172,1,0.5238095238095238,0.5238095238095238
vt_h6_c1,0,AttnLRP,answer_only,signed_sum,raw,eligible_body_tokens,0.2,329,63,66,0.19148936170212766,1.0,0.2006079027355623,0.8412698412698413,0.803030303030303,0.8412698412698413,0.4470212459564209,1,0.8412698412698413,0.8412698412698413
vt_h6_c1,0,AttnLRP,answer_only,signed_sum,raw,eligible_body_tokens,0.3,329,63,99,0.19148936170212766,1.0,0.3009118541033435,1.0,0.6363636363636364,1.0,0.267907977104187,1,1.0,1.0
