dataset,method,fraction,cases,recall,precision,ceiling,ceiling_adjusted_recall,budget,gold_density,random_expected_recall,recall_tie_low,recall_tie_high,at_ceiling_cases,full_recall_cases
vt_h6_c1,DT,0.1,100,0.5123060792990306,1.0,0.5123060792990306,1.0,33.64,0.19806076426545174,0.10141075449267933,0.5123060792990306,0.5123060792990306,100,0
vt_h6_c1,DT,0.2,100,0.9204822773996981,0.907018783089898,0.994499614338489,0.9256524057798411,66.67,0.19806076426545174,0.20098856627861403,0.9204822773996981,0.9204822773996981,0,0
vt_h6_c1,DT,0.3,100,0.9665803211026135,0.6357630857203369,1.0,0.9665803211026135,99.89,0.19806076426545174,0.30113479240856855,0.9665803211026135,0.9665803211026135,11,11
vt_h6_c1,DT,0.4,100,0.976786127168999,0.48265046112374294,1.0,0.976786127168999,132.97,0.19806076426545174,0.4008622033349281,0.976786127168999,0.976786127168999,18,18
vt_h6_c1,FT_K3,0.1,100,0.5123060792990306,1.0,0.5123060792990306,1.0,33.64,0.19806076426545174,0.10141075449267933,0.5123060792990306,0.5123060792990306,100,0
vt_h6_c1,FT_K3,0.2,100,0.8214540424149119,0.8093918109984835,0.994499614338489,0.8260512324481826,66.67,0.19806076426545174,0.20098856627861403,0.8214540424149119,0.8214540424149119,0,0
vt_h6_c1,FT_K3,0.3,100,0.9994115709524917,0.6573074783948982,1.0,0.9994115709524917,99.89,0.19806076426545174,0.30113479240856855,0.9994115709524917,0.9994115709524917,96,96
vt_h6_c1,FT_K3,0.4,100,1.0,0.4940891741981672,1.0,1.0,132.97,0.19806076426545174,0.4008622033349281,1.0,1.0,100,100
vt_h6_c1,Perturbation,0.1,100,0.15784615429180116,0.30820855614973264,0.5123060792990306,0.30820855614973264,33.64,0.19806076426545174,0.10141075449267933,0.09793634869428951,0.22273794865522423,0,0
vt_h6_c1,Perturbation,0.2,100,0.33574564484312774,0.3310360630005054,0.994499614338489,0.3376485643280318,66.67,0.19806076426545174,0.20098856627861403,0.22769792546520173,0.40210425465866256,0,0
vt_h6_c1,Perturbation,0.3,100,0.4604637398370659,0.30273453462993355,1.0,0.4604637398370659,99.89,0.19806076426545174,0.30113479240856855,0.403987374227061,0.5507917448643362,0,0
vt_h6_c1,Perturbation,0.4,100,0.5714974788464158,0.28218488372183653,1.0,0.5714974788464158,132.97,0.19806076426545174,0.4008622033349281,0.5531982204356889,0.6504221347002028,0,0
vt_h6_c1,REAGENT,0.1,100,0.15952669363427538,0.31158645276292335,0.5123060792990306,0.31158645276292335,33.64,0.19806076426545174,0.10141075449267933,0.09811676571800321,0.21965311033184107,0,0
vt_h6_c1,REAGENT,0.2,100,0.3247010892093769,0.32000053209886403,0.994499614338489,0.3265199182768031,66.67,0.19806076426545174,0.20098856627861403,0.2244589053096747,0.39774494051827114,0,0
vt_h6_c1,REAGENT,0.3,100,0.45726460707235844,0.30061997788014094,1.0,0.45726460707235844,99.89,0.19806076426545174,0.30113479240856855,0.39847170948672805,0.5474457813761272,0,0
vt_h6_c1,REAGENT,0.4,100,0.5728776504296735,0.28286027720994666,1.0,0.5728776504296735,132.97,0.19806076426545174,0.4008622033349281,0.5521297967661956,0.6501040389369054,0,0
vt_h6_c1,CLP,0.1,100,0.17062758444913664,0.33323529411764696,0.5123060792990306,0.33323529411764696,33.64,0.19806076426545174,0.10141075449267933,0.09979315843123385,0.24166906655053194,0,0
vt_h6_c1,CLP,0.2,100,0.3385196611195446,0.33339299491845586,0.994499614338489,0.3403987524489165,66.67,0.19806076426545174,0.20098856627861403,0.24300946614886063,0.4186970143063148,0,0
vt_h6_c1,CLP,0.3,100,0.4670372177910002,0.3069501008924422,1.0,0.4670372177910002,99.89,0.19806076426545174,0.30113479240856855,0.41899552176900134,0.5635130600128941,0,0
vt_h6_c1,CLP,0.4,100,0.5795902770120426,0.28611331312978816,1.0,0.5795902770120426,132.97,0.19806076426545174,0.4008622033349281,0.564828730302749,0.6505092623311609,0,0
vt_h6_c1,IFR,0.1,100,0.5123060792990306,1.0,0.5123060792990306,1.0,33.64,0.19806076426545174,0.10141075449267933,0.5123060792990306,0.5123060792990306,100,0
vt_h6_c1,IFR,0.2,100,0.8373865598376902,0.8251406736371617,0.994499614338489,0.8420955286945384,66.67,0.19806076426545174,0.20098856627861403,0.8373865598376902,0.8373865598376902,0,0
vt_h6_c1,IFR,0.3,100,0.9977492532107349,0.6562084284899078,1.0,0.9977492532107349,99.89,0.19806076426545174,0.30113479240856855,0.9977492532107349,0.9977492532107349,86,86
vt_h6_c1,IFR,0.4,100,1.0,0.4940891741981672,1.0,1.0,132.97,0.19806076426545174,0.4008622033349281,1.0,1.0,100,100
vt_h6_c1,AttnLRP,0.1,100,0.5123060792990306,1.0,0.5123060792990306,1.0,33.64,0.19806076426545174,0.10141075449267933,0.5123060792990306,0.5123060792990306,100,0
vt_h6_c1,AttnLRP,0.2,100,0.8457088552409473,0.8328902945167213,0.994499614338489,0.8503157105939474,66.67,0.19806076426545174,0.20098856627861403,0.8457088552409473,0.8457088552409473,0,0
vt_h6_c1,AttnLRP,0.3,100,0.9726142715112914,0.639610162780984,1.0,0.9726142715112914,99.89,0.19806076426545174,0.30113479240856855,0.9726142715112914,0.9726142715112914,18,18
vt_h6_c1,AttnLRP,0.4,100,0.9869544848471817,0.48762765458094376,1.0,0.9869544848471817,132.97,0.19806076426545174,0.4008622033349281,0.9869544848471817,0.9869544848471817,41,41
vt_h6_c1,FT_K1,0.1,100,0.5123060792990306,1.0,0.5123060792990306,1.0,33.64,0.19806076426545174,0.10141075449267933,0.5123060792990306,0.5123060792990306,100,0
vt_h6_c1,FT_K1,0.2,100,0.8262215735080046,0.814054925905233,0.994499614338489,0.830838202335612,66.67,0.19806076426545174,0.20098856627861403,0.8262215735080046,0.8262215735080046,0,0
vt_h6_c1,FT_K1,0.3,100,0.9995586297760211,0.6574064882958883,1.0,0.9995586297760211,99.89,0.19806076426545174,0.30113479240856855,0.9995586297760211,0.9995586297760211,97,97
vt_h6_c1,FT_K1,0.4,100,1.0,0.4940891741981672,1.0,1.0,132.97,0.19806076426545174,0.4008622033349281,1.0,1.0,100,100
vt_h10_c1,DT,0.1,100,0.3260639836955653,1.0,0.3260639836955653,1.0,33.53,0.3108751996836609,0.10133292651112605,0.3260639836955653,0.3260639836955653,100,0
vt_h10_c1,DT,0.2,100,0.6469484209343321,0.9997014925373133,0.6471371001796151,0.9997014925373133,66.54,0.3108751996836609,0.20110068207540344,0.6469484209343321,0.6469484209343321,98,0
vt_h10_c1,DT,0.3,100,0.8774465790989281,0.9054768130769094,0.9687020885665012,0.9060199013914191,99.67,0.3108751996836609,0.3012267998826448,0.8774465790989281,0.8774465790989281,0,0
vt_h10_c1,DT,0.4,100,0.9332787725404574,0.7232942584858558,1.0,0.9332787725404574,132.72,0.3108751996836609,0.40111357354759164,0.9332787725404574,0.9332787725404574,0,0
vt_h10_c1,FT_K3,0.1,100,0.3260639836955653,1.0,0.3260639836955653,1.0,33.53,0.3108751996836609,0.10133292651112605,0.3260639836955653,0.3260639836955653,100,0
vt_h10_c1,FT_K3,0.2,100,0.6463486545043153,0.9987901402080506,0.6471371001796151,0.9987901402080506,66.54,0.3108751996836609,0.20110068207540344,0.6463486545043153,0.6463486545043153,92,0
vt_h10_c1,FT_K3,0.3,100,0.8340681130317464,0.8605840419978433,0.9687020885665012,0.8611132546974,99.67,0.3108751996836609,0.3012267998826448,0.8340681130317464,0.8340681130317464,0,0
vt_h10_c1,FT_K3,0.4,100,0.9896817984984154,0.7669990271140681,1.0,0.9896817984984154,132.72,0.3108751996836609,0.40111357354759164,0.9896817984984154,0.9896817984984154,42,42
vt_h10_c1,Perturbation,0.1,100,0.11156209489397567,0.34244206773618546,0.3260639836955653,0.34244206773618546,33.53,0.3108751996836609,0.10133292651112605,0.07224055139246852,0.17299955197304442,0,0
vt_h10_c1,Perturbation,0.2,100,0.2625284668503535,0.405829708921456,0.6471371001796151,0.405829708921456,66.54,0.3108751996836609,0.20110068207540344,0.1859144167614253,0.3197332176901936,0,0
vt_h10_c1,Perturbation,0.3,100,0.4069830621236315,0.4198742751505631,0.9687020885665012,0.42013212461629806,99.67,0.3108751996836609,0.3012267998826448,0.3273627886328417,0.4490990312929988,0,0
